どこ	名詞,代名詞,一般,*,*,*,どこ,ドコ,ドコ,i
もん	助詞,終助詞,*,*,*,*,もん,モン,モン,i
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,i
、	記号,読点,*,*,*,*,、,、,、,i
いく	名詞,数,*,*,*,*,いく,イク,イク,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
三	名詞,数,*,*,*,*,三,サン,サン,i
号館	名詞,接尾,助数詞,*,*,*,号館,ゴウカン,ゴーカン,i
EOS
え	感動詞,*,*,*,*,*,え,エ,エ,i
、	記号,読点,*,*,*,*,、,、,、,i
いか	動詞,自立,*,*,五段・カ行促音便,未然形,いく,イカ,イカ,i
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
、	記号,読点,*,*,*,*,、,、,、,s
あんま	副詞,助詞類接続・縮約形,*,*,*,*,あんまり,アンマ,アンマ,s
わから	動詞,自立,*,*,五段・ラ行,未然形,わかる,ワカラ,ワカラ,s
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,s
EC	名詞,固有名詞,一般,*,*,*,EC,EC,EC,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
、	記号,読点,*,*,*,*,、,、,、,s
EC	名詞,固有名詞,一般,*,*,*,EC,EC,EC,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
いっ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,いく,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
よく	副詞,一般,*,*,*,*,よく,ヨク,ヨク,s
、	記号,読点,*,*,*,*,、,、,、,s
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
っけ	助詞,終助詞,*,*,*,*,っけ,ッケ,ッケ,s
プレゼン	名詞,サ変接続,*,*,*,*,プレゼン,プレゼン,プレゼン,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
プレゼン	名詞,サ変接続,*,*,*,*,プレゼン,プレゼン,プレゼン,s
とき	名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ,s
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,s
いっ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,いく,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なつかしい	形容詞,自立,*,*,形容詞・イ段,基本形,なつかしい,ナツカシイ,ナツカシイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
EC	名詞,固有名詞,一般,*,*,*,EC,EC,EC,i
しんどかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,しんどい,シンドカッ,シンドカッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
うーん	感動詞,*,*,*,*,*,うーん,ウーン,ウーン,i
、	記号,読点,*,*,*,*,、,、,、,i
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,i
ぼちぼち	副詞,一般,*,*,*,*,ぼちぼち,ボチボチ,ボチボチ,i
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,i
私	名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,i
一	名詞,数,*,*,*,*,一,イチ,イチ,i
スタート	名詞,サ変接続,*,*,*,*,スタート,スタート,スタート,i
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
まだ	副詞,助詞類接続,*,*,*,*,まだ,マダ,マダ,i
そんなに	副詞,一般,*,*,*,*,そんなに,ソンナニ,ソンナニ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
まし	名詞,形容動詞語幹,*,*,*,*,まし,マシ,マシ,i
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
一	名詞,数,*,*,*,*,一,イチ,イチ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
まだ	副詞,助詞類接続,*,*,*,*,まだ,マダ,マダ,s
簡単	名詞,形容動詞語幹,*,*,*,*,簡単,カンタン,カンタン,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
三	名詞,数,*,*,*,*,三,サン,サン,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
リーディング	名詞,一般,*,*,*,*,リーディング,リーディング,リーディング,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
、	記号,読点,*,*,*,*,、,、,、,s
しんどかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,しんどい,シンドカッ,シンドカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あ	感動詞,*,*,*,*,*,あ,ア,ア,i
、	記号,読点,*,*,*,*,、,、,、,i
三	名詞,数,*,*,*,*,三,サン,サン,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
ほんまに	副詞,一般,*,*,*,*,ほんまに,ホンマニ,ホンマニ,i
しんどかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,しんどい,シンドカッ,シンドカッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
本	名詞,一般,*,*,*,*,本,ホン,ホン,i
読ま	動詞,自立,*,*,五段・マ行,未然形,読む,ヨマ,ヨマ,i
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
ん	助詞,格助詞,一般,*,*,*,ん,ン,ン,i
やつ	名詞,代名詞,一般,*,*,*,やつ,ヤツ,ヤツ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー,s
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
ずっと	副詞,一般,*,*,*,*,ずっと,ズット,ズット,s
読む	動詞,自立,*,*,五段・マ行,基本形,読む,ヨム,ヨム,s
ばっかり	助詞,副助詞,*,*,*,*,ばっかり,バッカリ,バッカリ,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
、	記号,読点,*,*,*,*,、,、,、,s
読ん	動詞,自立,*,*,五段・マ行,連用タ接続,読む,ヨン,ヨン,s
で	助詞,接続助詞,*,*,*,*,で,デ,デ,s
答え	動詞,自立,*,*,一段,連用形,答える,コタエ,コタエ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
セミナー	名詞,一般,*,*,*,*,セミナー,セミナー,セミナー,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
しんどかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,しんどい,シンドカッ,シンドカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
しんどかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,しんどい,シンドカッ,シンドカッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
、	記号,読点,*,*,*,*,、,、,、,i
しんどかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,しんどい,シンドカッ,シンドカッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
セミナー	名詞,一般,*,*,*,*,セミナー,セミナー,セミナー,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
部屋	名詞,一般,*,*,*,*,部屋,ヘヤ,ヘヤ,s
私	名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,s
机	名詞,一般,*,*,*,*,机,ツクエ,ツクエ,s
と	助詞,並立助詞,*,*,*,*,と,ト,ト,s
いす	名詞,一般,*,*,*,*,いす,イス,イス,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
つながっ	動詞,自立,*,*,五段・ラ行,連用タ接続,つながる,ツナガッ,ツナガッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
とこ	名詞,一般,*,*,*,*,とこ,トコ,トコ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
めっちゃ	副詞,一般,*,*,*,*,めっちゃ,メッチャ,メッチャ,s
動き	動詞,自立,*,*,五段・カ行イ音便,連用形,動く,ウゴキ,ウゴキ,s
づらく	形容詞,非自立,*,*,形容詞・アウオ段,連用テ接続,づらい,ヅラク,ズラク,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
二階	名詞,固有名詞,地域,一般,*,*,二階,ニカイ,ニカイ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
つながっ	動詞,自立,*,*,五段・ラ行,連用タ接続,つながる,ツナガッ,ツナガッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
部屋	名詞,一般,*,*,*,*,部屋,ヘヤ,ヘヤ,s
つながっ	動詞,自立,*,*,五段・ラ行,連用タ接続,つながる,ツナガッ,ツナガッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
いす	名詞,一般,*,*,*,*,いす,イス,イス,s
と	助詞,並立助詞,*,*,*,*,と,ト,ト,s
机	名詞,一般,*,*,*,*,机,ツクエ,ツクエ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
わたし	名詞,代名詞,一般,*,*,*,わたし,ワタシ,ワタシ,s
むっちゃ	副詞,一般,*,*,*,*,むっちゃ,ムッチャ,ムッチャ,s
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,s
苦手	名詞,形容動詞語幹,*,*,*,*,苦手,ニガテ,ニガテ,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,s
つらく	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,つらい,ツラク,ツラク,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
むっちゃ	副詞,一般,*,*,*,*,むっちゃ,ムッチャ,ムッチャ,s
移動	名詞,サ変接続,*,*,*,*,移動,イドウ,イドー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
づらい	形容詞,非自立,*,*,形容詞・アウオ段,基本形,づらい,ヅライ,ズライ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
わかる	動詞,自立,*,*,五段・ラ行,基本形,わかる,ワカル,ワカル,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
、	記号,読点,*,*,*,*,、,、,、,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
先生	名詞,一般,*,*,*,*,先生,センセイ,センセイ,s
誰	名詞,代名詞,一般,*,*,*,誰,ダレ,ダレ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
いっこ	名詞,副詞可能,*,*,*,*,いっこ,イッコ,イッコ,i
も	助詞,係助詞,*,*,*,*,も,モ,モ,i
覚え	動詞,自立,*,*,一段,連用形,覚える,オボエ,オボエ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
なく	助動詞,*,*,*,特殊・ナイ,連用テ接続,ない,ナク,ナク,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
マイク	名詞,固有名詞,人名,名,*,*,マイク,マイク,マイク,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
一番	名詞,副詞可能,*,*,*,*,一番,イチバン,イチバン,i
厳しかっ	形容詞,自立,*,*,形容詞・イ段,連用タ接続,厳しい,キビシカッ,キビシカッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
先生	名詞,一般,*,*,*,*,先生,センセイ,センセイ,i
だれ	動詞,自立,*,*,一段,連用形,だれる,ダレ,ダレ,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
日本人	名詞,一般,*,*,*,*,日本人,ニッポンジン,ニッポンジン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
私	名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
日本人	名詞,一般,*,*,*,*,日本人,ニッポンジン,ニッポンジン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
女	名詞,一般,*,*,*,*,女,オンナ,オンナ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
山本	名詞,固有名詞,人名,姓,*,*,山本,ヤマモト,ヤマモト,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
ライティング	名詞,一般,*,*,*,*,ライティング,ライティング,ライティング,s
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
日本人	名詞,一般,*,*,*,*,日本人,ニッポンジン,ニッポンジン,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
先生	名詞,一般,*,*,*,*,先生,センセイ,センセイ,i
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
、	記号,読点,*,*,*,*,、,、,、,s
それで	接続詞,*,*,*,*,*,それで,ソレデ,ソレデ,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ,s
あたっ	動詞,自立,*,*,五段・ラ行,連用タ接続,あたる,アタッ,アタッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
めっちゃ	副詞,一般,*,*,*,*,めっちゃ,メッチャ,メッチャ,s
厳しかっ	形容詞,自立,*,*,形容詞・イ段,連用タ接続,厳しい,キビシカッ,キビシカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
二	名詞,数,*,*,*,*,二,ニ,ニ,s
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
年生	名詞,接尾,助数詞,*,*,*,年生,ネンセイ,ネンセイ,s
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
リスニング	名詞,一般,*,*,*,*,リスニング,リスニング,リスニング,s
春	名詞,一般,*,*,*,*,春,ハル,ハル,s
ので	助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ,s
、	記号,読点,*,*,*,*,、,、,、,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ,s
目	名詞,接尾,助数詞,*,*,*,目,モク,モク,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
回生	名詞,接尾,助数詞,*,*,*,回生,カイセイ,カイセイ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
春	名詞,一般,*,*,*,*,春,ハル,ハル,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
ライティング	名詞,一般,*,*,*,*,ライティング,ライティング,ライティング,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ライティング	名詞,一般,*,*,*,*,ライティング,ライティング,ライティング,s
むっちゃ	副詞,一般,*,*,*,*,むっちゃ,ムッチャ,ムッチャ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
毎回	名詞,副詞可能,*,*,*,*,毎回,マイカイ,マイカイ,s
LAC	英語,*,*,*,*,*,*,*,*,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
わかる	動詞,自立,*,*,五段・ラ行,基本形,わかる,ワカル,ワカル,i
わかる	動詞,自立,*,*,五段・ラ行,基本形,わかる,ワカル,ワカル,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
無視	名詞,サ変接続,*,*,*,*,無視,ムシ,ムシ,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
LAC	英語,*,*,*,*,*,*,*,*,i
行け	動詞,自立,*,*,五段・カ行促音便,命令ｅ,行く,イケ,イケ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,i
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,i
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,i
無視	名詞,サ変接続,*,*,*,*,無視,ムシ,ムシ,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
ぎりぎり	名詞,一般,*,*,*,*,ぎりぎり,ギリギリ,ギリギリ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
点数	名詞,一般,*,*,*,*,点数,テンスウ,テンスー,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
通っ	動詞,自立,*,*,五段・ラ行,連用タ接続,通る,トオッ,トーッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,i
でし	助動詞,*,*,*,特殊・デス,連用形,です,デシ,デシ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
直し	動詞,自立,*,*,五段・サ行,連用形,直す,ナオシ,ナオシ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ペット	名詞,一般,*,*,*,*,ペット,ペット,ペット,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
飼っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,飼う,カッ,カッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
ペット	名詞,一般,*,*,*,*,ペット,ペット,ペット,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
、	記号,読点,*,*,*,*,、,、,、,s
マンション	名詞,一般,*,*,*,*,マンション,マンション,マンション,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
マンション	名詞,一般,*,*,*,*,マンション,マンション,マンション,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
だめ	名詞,形容動詞語幹,*,*,*,*,だめ,ダメ,ダメ,i
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
、	記号,読点,*,*,*,*,、,、,、,i
ほしい	形容詞,自立,*,*,形容詞・イ段,基本形,ほしい,ホシイ,ホシイ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
ペット	名詞,一般,*,*,*,*,ペット,ペット,ペット,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
おる	動詞,自立,*,*,五段・ラ行,基本形,おる,オル,オル,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
んー	フィラー,*,*,*,*,*,んー,ンー,ンー,s
犬	名詞,一般,*,*,*,*,犬,イヌ,イヌ,s
派	名詞,接尾,助数詞,*,*,*,派,ハ,ハ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
むっちゃ	副詞,一般,*,*,*,*,むっちゃ,ムッチャ,ムッチャ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あー	フィラー,*,*,*,*,*,あー,アー,アー,i
猫	名詞,一般,*,*,*,*,猫,ネコ,ネコ,i
より	助詞,格助詞,一般,*,*,*,より,ヨリ,ヨリ,i
も	助詞,係助詞,*,*,*,*,も,モ,モ,i
犬	名詞,一般,*,*,*,*,犬,イヌ,イヌ,i
派	名詞,接尾,助数詞,*,*,*,派,ハ,ハ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
、	記号,読点,*,*,*,*,、,、,、,s
おっきい	形容詞,自立,*,*,形容詞・イ段,基本形,おっきい,オッキイ,オッキイ,s
犬	名詞,一般,*,*,*,*,犬,イヌ,イヌ,s
おっきく	形容詞,自立,*,*,形容詞・イ段,連用テ接続,おっきい,オッキク,オッキク,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
おとなしい	形容詞,自立,*,*,形容詞・イ段,基本形,おとなしい,オトナシイ,オトナシイ,s
犬	名詞,一般,*,*,*,*,犬,イヌ,イヌ,s
むっちゃ	副詞,一般,*,*,*,*,むっちゃ,ムッチャ,ムッチャ,s
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
飼っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,飼う,カッ,カッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
鳥	名詞,一般,*,*,*,*,鳥,トリ,トリ,i
二	名詞,数,*,*,*,*,二,ニ,ニ,i
匹	名詞,接尾,助数詞,*,*,*,匹,ヒキ,ヒキ,i
、	記号,読点,*,*,*,*,、,、,、,i
セキセイインコ	名詞,一般,*,*,*,*,セキセイインコ,セキセイインコ,セキセイインコ,i
と	助詞,並立助詞,*,*,*,*,と,ト,ト,i
コザクラインコ	名詞,固有名詞,一般,*,*,*,コザクラインコ,コザクラインコ,コザクラインコ,i
と	助詞,格助詞,一般,*,*,*,と,ト,ト,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
別	名詞,形容動詞語幹,*,*,*,*,別,ベツ,ベツ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
種類	名詞,一般,*,*,*,*,種類,シュルイ,シュルイ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
別	名詞,形容動詞語幹,*,*,*,*,別,ベツ,ベツ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
