ふん	感動詞,*,*,*,*,*,ふん,フン,フン,s
？	記号,一般,*,*,*,*,？,？,？,i
EOS
なんか	助詞,副助詞,*,*,*,*,なんか,ナンカ,ナンカ,i
、	記号,読点,*,*,*,*,、,、,、,i
家族	名詞,一般,*,*,*,*,家族,カゾク,カゾク,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
やっぱり	副詞,一般,*,*,*,*,やっぱり,ヤッパリ,ヤッパリ,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
四	名詞,数,*,*,*,*,四,ヨン,ヨン,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
役	名詞,一般,*,*,*,*,役,ヤク,ヤク,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
当たる	動詞,自立,*,*,五段・ラ行,基本形,当たる,アタル,アタル,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
青年	名詞,一般,*,*,*,*,青年,セイネン,セイネン,s
団	名詞,接尾,助数詞,*,*,*,団,ダン,ダン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
、	記号,読点,*,*,*,*,、,、,、,s
団長	名詞,一般,*,*,*,*,団長,ダンチョウ,ダンチョー,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
あたる	動詞,自立,*,*,五段・ラ行,基本形,あたる,アタル,アタル,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
たち	名詞,一般,*,*,*,*,たち,タチ,タチ,s
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
うーん	感動詞,*,*,*,*,*,うーん,ウーン,ウーン,s
、	記号,読点,*,*,*,*,、,、,、,s
用意	名詞,サ変接続,*,*,*,*,用意,ヨウイ,ヨーイ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
下	名詞,一般,*,*,*,*,下,シタ,シタ,s
払い	動詞,自立,*,*,五段・ワ行促音便,連用形,払う,ハライ,ハライ,s
、	記号,読点,*,*,*,*,、,、,、,s
下	名詞,一般,*,*,*,*,下,シタ,シタ,s
払い	動詞,自立,*,*,五段・ワ行促音便,連用形,払う,ハライ,ハライ,s
ゆう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
、	記号,読点,*,*,*,*,、,、,、,s
下働き	名詞,一般,*,*,*,*,下働き,シタバタラキ,シタバタラキ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そっ	名詞,代名詞,一般,*,*,*,そっ,ソッ,ソッ,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
楽しい	形容詞,自立,*,*,形容詞・イ段,基本形,楽しい,タノシイ,タノシイ,s
わ	助詞,終助詞,*,*,*,*,わ,ワ,ワ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
パシリ	副詞,一般,*,*,*,*,パシリ,パシリ,パシリ,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
て	助詞,格助詞・縮約形,引用,*,*,*,って,テ,テ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,s
とっ	動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋おる,トッ,トッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
やっぱり	副詞,一般,*,*,*,*,やっぱり,ヤッパリ,ヤッパリ,s
、	記号,読点,*,*,*,*,、,、,、,s
やっぱり	副詞,一般,*,*,*,*,やっぱり,ヤッパリ,ヤッパリ,s
徐々に	副詞,一般,*,*,*,*,徐々に,ジョジョニ,ジョジョニ,s
そういう	連体詞,*,*,*,*,*,そういう,ソウイウ,ソーユウ,s
、	記号,読点,*,*,*,*,、,、,、,s
役	名詞,一般,*,*,*,*,役,ヤク,ヤク,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
勉強	名詞,サ変接続,*,*,*,*,勉強,ベンキョウ,ベンキョー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
いく	動詞,非自立,*,*,五段・カ行促音便,基本形,いく,イク,イク,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
地域	名詞,一般,*,*,*,*,地域,チイキ,チイキ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
へえ	感動詞,*,*,*,*,*,へえ,ヘエ,ヘー,i
、	記号,読点,*,*,*,*,、,、,、,i
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
え	感動詞,*,*,*,*,*,え,エ,エ,i
、	記号,読点,*,*,*,*,、,、,、,i
団長	名詞,一般,*,*,*,*,団長,ダンチョウ,ダンチョー,i
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,i
とっ	動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋おる,トッ,トッ,i
たん	助動詞,*,*,*,特殊・タ,基本形,たん,タン,タン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
ううん	感動詞,*,*,*,*,*,ううん,ウウン,ウーン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
え	感動詞,*,*,*,*,*,え,エ,エ,i
、	記号,読点,*,*,*,*,、,、,、,i
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
地位	名詞,一般,*,*,*,*,地位,チイ,チイ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
会計	名詞,サ変接続,*,*,*,*,会計,カイケイ,カイケイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
会計	名詞,サ変接続,*,*,*,*,会計,カイケイ,カイケイ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
せ	副詞,助詞類接続・短音化,*,*,*,*,そう,セ,セ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
太鼓	名詞,一般,*,*,*,*,太鼓,タイコ,タイコ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
練習	名詞,サ変接続,*,*,*,*,練習,レンシュウ,レンシュー,s
終わっ	動詞,自立,*,*,五段・ラ行,連用タ接続,終わる,オワッ,オワッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
子ども	名詞,一般,*,*,*,*,子ども,コドモ,コドモ,s
ら	名詞,接尾,一般,*,*,*,ら,ラ,ラ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
飲み	動詞,自立,*,*,五段・マ行,連用形,飲む,ノミ,ノミ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
連れ	動詞,自立,*,*,一段,連用形,連れる,ツレ,ツレ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
飲み	動詞,自立,*,*,五段・マ行,連用形,飲む,ノミ,ノミ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
ちゃう	動詞,自立,*,*,五段・特殊,基本形,ちゃう,チャウ,チャウ,s
わ	助詞,終助詞,*,*,*,*,わ,ワ,ワ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
飲み	動詞,自立,*,*,五段・マ行,連用形,飲む,ノミ,ノミ,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
ちゃう	動詞,自立,*,*,五段・特殊,基本形,ちゃう,チャウ,チャウ,i
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
あか	動詞,非自立,*,*,五段・カ行イ音便,未然形,あく,アカ,アカ,i
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,i
で	助詞,終助詞,*,*,*,*,で,デ,デ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
ご飯	名詞,一般,*,*,*,*,ご飯,ゴハン,ゴハン,s
、	記号,読点,*,*,*,*,、,、,、,s
ご飯	名詞,一般,*,*,*,*,ご飯,ゴハン,ゴハン,s
食べ	動詞,自立,*,*,一段,連用形,食べる,タベ,タベ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
、	記号,読点,*,*,*,*,、,、,、,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
週間	名詞,接尾,助数詞,*,*,*,週間,シュウカン,シューカン,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ,s
ほど	助詞,副助詞,*,*,*,*,ほど,ホド,ホド,s
飯	名詞,一般,*,*,*,*,飯,メシ,メシ,s
食い	名詞,接尾,一般,*,*,*,食い,グイ,グイ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
行かす	動詞,自立,*,*,五段・サ行,基本形,行かす,イカス,イカス,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほんで	接続詞,*,*,*,*,*,ほんで,ホンデ,ホンデ,s
、	記号,読点,*,*,*,*,、,、,、,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
時間	名詞,接尾,助数詞,*,*,*,時間,ジカン,ジカン,s
ほど	助詞,副助詞,*,*,*,*,ほど,ホド,ホド,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
練習	名詞,サ変接続,*,*,*,*,練習,レンシュウ,レンシュー,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
時間	名詞,接尾,助数詞,*,*,*,時間,ジカン,ジカン,s
、	記号,読点,*,*,*,*,、,、,、,s
後に	副詞,一般,*,*,*,*,後に,ノチニ,ノチニ,s
、	記号,読点,*,*,*,*,、,、,、,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
時間	名詞,接尾,助数詞,*,*,*,時間,ジカン,ジカン,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
休憩	名詞,サ変接続,*,*,*,*,休憩,キュウケイ,キューケイ,s
入る	動詞,自立,*,*,五段・ラ行,基本形,入る,ハイル,ハイル,s
のに	助詞,接続助詞,*,*,*,*,のに,ノニ,ノニ,s
、	記号,読点,*,*,*,*,、,、,、,s
ジュース	名詞,一般,*,*,*,*,ジュース,ジュース,ジュース,s
こう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,かう,コウ,コー,s
たっ	動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋ある,タッ,タッ,s
たり	助詞,並立助詞,*,*,*,*,たり,タリ,タリ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そういう	連体詞,*,*,*,*,*,そういう,ソウイウ,ソーユウ,s
出費	名詞,サ変接続,*,*,*,*,出費,シュッピ,シュッピ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
全部	名詞,副詞可能,*,*,*,*,全部,ゼンブ,ゼンブ,s
つけ	動詞,自立,*,*,一段,連用形,つける,ツケ,ツケ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほんで	接続詞,*,*,*,*,*,ほんで,ホンデ,ホンデ,s
ハネヨセ	名詞,一般,*,*,*,*,ハネヨセ,ハネヨセ,ハネヨセ,s
ゆう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ユウ,ユー,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
お金	名詞,一般,*,*,*,*,お金,オカネ,オカネ,s
寄付	名詞,サ変接続,*,*,*,*,寄付,キフ,キフ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
集め	動詞,自立,*,*,一段,連用形,集める,アツメ,アツメ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
、	記号,読点,*,*,*,*,、,、,、,s
そのー	フィラー,*,*,*,*,*,そのー,ソノー,ソノー,s
、	記号,読点,*,*,*,*,、,、,、,s
つけ	名詞,一般,*,*,*,*,つけ,ツケ,ツケ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
みんな	名詞,代名詞,一般,*,*,*,みんな,ミンナ,ミンナ,s
そんなん	名詞,一般,副詞可能,*,*,*,そんなん,ソンナン,ソンナン,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
支払い	名詞,一般,*,*,*,*,支払い,シハライ,シハライ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
行き	動詞,自立,*,*,五段・カ行促音便,連用形,行く,イキ,イキ,s
おっ	動詞,非自立,*,*,五段・ラ行,連用タ接続,おる,オッ,オッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
へー	感動詞,*,*,*,*,*,へー,ヘー,ヘー,i
、	記号,読点,*,*,*,*,、,、,、,i
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,i
じゃあ	助詞,副助詞,*,*,*,*,じゃあ,ジャア,ジャー,i
結構	副詞,一般,*,*,*,*,結構,ケッコウ,ケッコー,i
もう	副詞,一般,*,*,*,*,もう,モウ,モー,i
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,i
て	助詞,格助詞・縮約形,引用,*,*,*,って,テ,テ,i
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,i
ん	助詞,終助詞,*,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
地域	名詞,一般,*,*,*,*,地域,チイキ,チイキ,i
コミュニティ	名詞,一般,*,*,*,*,コミュニティ,コミュニティ,コミュニティ,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
がっちり	副詞,一般,*,*,*,*,がっちり,ガッチリ,ガッチリ,i
、	記号,読点,*,*,*,*,、,、,、,i
連帯	名詞,サ変接続,*,*,*,*,連帯,レンタイ,レンタイ,i
、	記号,読点,*,*,*,*,、,、,、,i
連携	名詞,サ変接続,*,*,*,*,連携,レンケイ,レンケイ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
そ	副詞,助詞類接続・短音化,*,*,*,*,そう,ソ,ソ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
昔	名詞,副詞可能,*,*,*,*,昔,ムカシ,ムカシ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
商店	名詞,一般,*,*,*,*,商店,ショウテン,ショーテン,s
街	名詞,一般,*,*,*,*,街,マチ,マチ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
ら	名詞,接尾,一般,*,*,*,ら,ラ,ラ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
厳し	形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,厳しい,キビシ,キビシ,s
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,s
とう	助動詞,*,*,*,特殊・タ,基本形,とう,トウ,トー,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
、	記号,読点,*,*,*,*,、,、,、,s
つけ	名詞,一般,*,*,*,*,つけ,ツケ,ツケ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
そういう	連体詞,*,*,*,*,*,そういう,ソウイウ,ソーユウ,s
飲ん	動詞,自立,*,*,五段・マ行,連用タ接続,飲む,ノン,ノン,s
だり	助詞,並立助詞,*,*,*,*,だり,ダリ,ダリ,s
食っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,食う,クッ,クッ,s
たり	助詞,並立助詞,*,*,*,*,たり,タリ,タリ,s
ゆう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
さし	動詞,自立,*,*,五段・サ行,連用形,さす,サシ,サシ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
くれ	動詞,非自立,*,*,一段・クレル,未然形,くれる,クレ,クレ,s
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
聞い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,聞く,キイ,キイ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
話	名詞,サ変接続,*,*,*,*,話,ハナシ,ハナシ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ふーん	感動詞,*,*,*,*,*,ふーん,フーン,フーン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
え	感動詞,*,*,*,*,*,え,エ,エ,i
、	記号,読点,*,*,*,*,、,、,、,i
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
さあ	感動詞,*,*,*,*,*,さあ,サア,サー,i
、	記号,読点,*,*,*,*,、,、,、,i
昔	名詞,副詞可能,*,*,*,*,昔,ムカシ,ムカシ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,i
、	記号,読点,*,*,*,*,、,、,、,i
やっぱり	副詞,一般,*,*,*,*,やっぱり,ヤッパリ,ヤッパリ,i
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,i
地域	名詞,一般,*,*,*,*,地域,チイキ,チイキ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
一つ	名詞,一般,*,*,*,*,一つ,ヒトツ,ヒトツ,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,i
とっ	動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋おる,トッ,トッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,i
、	記号,読点,*,*,*,*,、,、,、,i
お父さん	名詞,一般,*,*,*,*,お父さん,オトウサン,オトーサン,i
子ども	名詞,一般,*,*,*,*,子ども,コドモ,コドモ,i
ん	助詞,格助詞,一般,*,*,*,ん,ン,ン,i
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
も	助詞,係助詞,*,*,*,*,も,モ,モ,i
こう	副詞,助詞類接続,*,*,*,*,こう,コウ,コー,i
お隣	名詞,一般,*,*,*,*,お隣,オトナリ,オトナリ,i
さん	名詞,接尾,人名,*,*,*,さん,サン,サン,i
と	助詞,格助詞,一般,*,*,*,と,ト,ト,i
、	記号,読点,*,*,*,*,、,、,、,i
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,i
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,i
、	記号,読点,*,*,*,*,、,、,、,i
隣	名詞,一般,*,*,*,*,隣,トナリ,トナリ,i
近所	名詞,一般,*,*,*,*,近所,キンジョ,キンジョ,i
と	助詞,格助詞,一般,*,*,*,と,ト,ト,i
助け合い	動詞,自立,*,*,五段・ワ行促音便,連用形,助け合う,タスケアイ,タスケアイ,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,i
とっ	動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋おる,トッ,トッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,s
とっ	動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋おる,トッ,トッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ちっちゃな	連体詞,*,*,*,*,*,ちっちゃな,チッチャナ,チッチャナ,s
子お	名詞,一般・長音形,*,*,*,*,こお,コー,コー,s
、	記号,読点,*,*,*,*,、,、,、,s
一緒	名詞,サ変接続,*,*,*,*,一緒,イッショ,イッショ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
あそん	動詞,自立,*,*,五段・バ行,連用タ接続,あそぶ,アソン,アソン,s
どっ	動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋おる,ドッ,ドッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
上	名詞,非自立,副詞可能,*,*,*,上,ウエ,ウエ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
子	名詞,一般,*,*,*,*,子,コ,コ,s
、	記号,読点,*,*,*,*,、,、,、,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
ら	名詞,接尾,一般,*,*,*,ら,ラ,ラ,s
とも	助詞,副助詞,*,*,*,*,とも,トモ,トモ,s
遊ん	動詞,自立,*,*,五段・バ行,連用タ接続,遊ぶ,アソン,アソン,s
どっ	動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋おる,ドッ,ドッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ふうん	感動詞,*,*,*,*,*,ふうん,フウン,フーン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,i
