四	名詞,数,*,*,*,*,四,ヨン,ヨン,s
くれ	動詞,非自立,*,*,一段・クレル,命令ｅ,くれる,クレ,クレ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
」	記号,括弧閉,*,*,*,*,」,」,」,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
、	記号,読点,*,*,*,*,、,、,、,s
言わ	動詞,自立,*,*,五段・ワ行促音便,未然形,言う,ユワ,ユワ,s
はっ	動詞,非自立,*,*,五段・ラ行,連用タ接続,はる,ハッ,ハッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
、	記号,読点,*,*,*,*,、,、,、,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
出来る	動詞,自立,*,*,一段,基本形,出来る,デキル,デキル,s
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ,s
帰れ	動詞,自立,*,*,一段,未然形,帰れる,カエレ,カエレ,s
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そ	副詞,助詞類接続・短音化,*,*,*,*,そう,ソ,ソ,s
、	記号,読点,*,*,*,*,、,、,、,s
請負	名詞,サ変接続,*,*,*,*,請負,ウケオイ,ウケオイ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そっか	感動詞,*,*,*,*,*,そっか,ソッカ,ソッカ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そ	副詞,助詞類接続・短音化,*,*,*,*,そう,ソ,ソ,s
、	記号,読点,*,*,*,*,、,、,、,s
会社	名詞,一般,*,*,*,*,会社,カイシャ,カイシャ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,s
じゃ	助動詞,*,*,*,特殊・ジャ,未然形,じゃ,ジャ,ジャ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
会社	名詞,一般,*,*,*,*,会社,カイシャ,カイシャ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
社員	名詞,一般,*,*,*,*,社員,シャイン,シャイン,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
何時	名詞,代名詞,一般,*,*,*,何時,イツ,イツ,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
何時	名詞,代名詞,一般,*,*,*,何時,イツ,イツ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
決まっ	動詞,自立,*,*,五段・ラ行,連用タ接続,決まる,キマッ,キマッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そ	副詞,助詞類接続・短音化,*,*,*,*,そう,ソ,ソ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
ほな	接続詞,*,*,*,*,*,ほな,ホナ,ホナ,s
、	記号,読点,*,*,*,*,、,、,、,s
えーっと	フィラー,*,*,*,*,*,えーっと,エーット,エーット,s
、	記号,読点,*,*,*,*,、,、,、,s
朝	名詞,副詞可能,*,*,*,*,朝,アサ,アサ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
八時	名詞,一般,*,*,*,*,八時,ハチジ,ハチジ,s
頃	名詞,接尾,副詞可能,*,*,*,頃,ゴロ,ゴロ,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
出	動詞,自立,*,*,一段,連用形,出る,デ,デ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
行っ	動詞,非自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
遅い	形容詞,自立,*,*,形容詞・アウオ段,基本形,遅い,オソイ,オソイ,s
とき	名詞,非自立,一般,*,*,*,とき,トキ,トキ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
、	記号,読点,*,*,*,*,、,、,、,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
時	名詞,接尾,助数詞,*,*,*,時,ジ,ジ,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
時	名詞,接尾,助数詞,*,*,*,時,ジ,ジ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
とき	名詞,非自立,一般,*,*,*,とき,トキ,トキ,s
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
もん	助詞,終助詞,*,*,*,*,もん,モン,モン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
うんー	感動詞,*,*,*,*,*,うんー,ウンー,ウンー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
仕上げ	動詞,自立,*,*,一段,未然形,仕上げる,シアゲ,シアゲ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
帰れ	動詞,自立,*,*,一段,未然形,帰れる,カエレ,カエレ,s
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あ	感動詞,*,*,*,*,*,あ,ア,ア,i
、	記号,読点,*,*,*,*,、,、,、,i
そっか	感動詞,*,*,*,*,*,そっか,ソッカ,ソッカ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そ	副詞,助詞類接続・短音化,*,*,*,*,そう,ソ,ソ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
なー	助詞,終助詞,*,*,*,*,なー,ナー,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
まっ	接頭詞,名詞接続,*,*,*,*,まっ,マッ,マッ,s
そ	副詞,助詞類接続・短音化,*,*,*,*,そう,ソ,ソ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
すごい	副詞,一般,*,*,*,*,すごい,スゴイ,スゴイ,s
良かっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,良い,ヨカッ,ヨカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
、	記号,読点,*,*,*,*,、,、,、,s
お金	名詞,一般,*,*,*,*,お金,オカネ,オカネ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あー	フィラー,*,*,*,*,*,あー,アー,アー,i
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
うんー	感動詞,*,*,*,*,*,うんー,ウンー,ウンー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,s
て	助詞,格助詞・縮約形,引用,*,*,*,って,テ,テ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
普通	名詞,形容動詞語幹,*,*,*,*,普通,フツウ,フツー,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
サラリーマン	名詞,一般,*,*,*,*,サラリーマン,サラリーマン,サラリーマン,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,s
当時	名詞,副詞可能,*,*,*,*,当時,トウジ,トージ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
多い	形容詞,自立,*,*,形容詞・アウオ段,基本形,多い,オオイ,オーイ,s
とき	名詞,非自立,一般,*,*,*,とき,トキ,トキ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
、	記号,読点,*,*,*,*,、,、,、,s
なんぼ	副詞,助詞類接続,*,*,*,*,なんぼ,ナンボ,ナンボ,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
万	名詞,一般,*,*,*,*,万,ヨロズ,ヨロズ,s
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
貰う	動詞,自立,*,*,五段・ワ行促音便,基本形,貰う,モラウ,モラウ,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
普通	名詞,形容動詞語幹,*,*,*,*,普通,フツウ,フツー,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
普通	名詞,形容動詞語幹,*,*,*,*,普通,フツウ,フツー,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
、	記号,読点,*,*,*,*,、,、,、,s
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,s
、	記号,読点,*,*,*,*,、,、,、,s
パート	名詞,一般,*,*,*,*,パート,パート,パート,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
いっ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,いう,イッ,ユッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ま	感動詞,*,*,*,*,*,ま,マ,マ,s
、	記号,読点,*,*,*,*,、,、,、,s
ま	感動詞,*,*,*,*,*,ま,マ,マ,s
、	記号,読点,*,*,*,*,、,、,、,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
万	名詞,一般,*,*,*,*,万,ヨロズ,ヨロズ,s
て	助詞,格助詞・縮約形,引用,*,*,*,って,テ,テ,s
多い	形容詞,自立,*,*,形容詞・アウオ段,基本形,多い,オオイ,オーイ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
四	名詞,数,*,*,*,*,四,ヨン,ヨン,s
、	記号,読点,*,*,*,*,、,、,、,s
五	名詞,数,*,*,*,*,五,ゴ,ゴ,s
万	副詞,一般,*,*,*,*,万,バン,バン,s
もろ	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,もらう,モロ,モロ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
えー	フィラー,*,*,*,*,*,えー,エー,エー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
すご	感動詞,*,*,*,*,*,すご,スゴ,スゴ,s
いえー	感動詞,*,*,*,*,*,いいえ,イイエ,イーエ,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,i
でも	助詞,副助詞,*,*,*,*,でも,デモ,デモ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
なんか	助詞,副助詞,*,*,*,*,なんか,ナンカ,ナンカ,s
、	記号,読点,*,*,*,*,、,、,、,s
そんなん	名詞,一般,副詞可能,*,*,*,そんなん,ソンナン,ソンナン,s
とんでもない	形容詞,自立,*,*,形容詞・イ段,基本形,とんでもない,トンデモナイ,トンデモナイ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
二	名詞,数,*,*,*,*,二,ニ,ニ,i
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,i
五	名詞,数,*,*,*,*,五,ゴ,ゴ,i
万	副詞,一般,*,*,*,*,万,バン,バン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
すごい	形容詞,自立,*,*,形容詞・アウオ段,基本形,すごい,スゴイ,スゴイ,s
よー	助詞,終助詞,*,*,*,*,よー,ヨー,ヨー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
んー	フィラー,*,*,*,*,*,んー,ンー,ンー,s
、	記号,読点,*,*,*,*,、,、,、,s
せ	副詞,助詞類接続・短音化,*,*,*,*,そう,セ,セ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
四	名詞,数,*,*,*,*,四,ヨン,ヨン,s
人	名詞,接尾,助数詞,*,*,*,人,ニン,ニン,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
百	名詞,数,*,*,*,*,百,ヒャク,ヒャク,s
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,s
万	副詞,一般,*,*,*,*,万,バン,バン,s
売り上げ	名詞,一般,*,*,*,*,売り上げ,ウリアゲ,ウリアゲ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,s
てん	助動詞,*,*,*,特殊・タ,基本形,た,テン,テン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あー	フィラー,*,*,*,*,*,あー,アー,アー,i
、	記号,読点,*,*,*,*,、,、,、,i
四	名詞,数,*,*,*,*,四,ヨン,ヨン,i
人	名詞,接尾,助数詞,*,*,*,人,ニン,ニン,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
四	名詞,数,*,*,*,*,四,ヨン,ヨン,s
人	名詞,接尾,助数詞,*,*,*,人,ニン,ニン,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そ	副詞,助詞類接続・短音化,*,*,*,*,そう,ソ,ソ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
分ける	動詞,自立,*,*,一段,基本形,分ける,ワケル,ワケル,s
わ	助詞,終助詞,*,*,*,*,わ,ワ,ワ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
分配	名詞,サ変接続,*,*,*,*,分配,ブンパイ,ブンパイ,s
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,s
わけ	名詞,非自立,一般,*,*,*,わけ,ワケ,ワケ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そ	副詞,助詞類接続・短音化,*,*,*,*,そう,ソ,ソ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
もちろん	副詞,一般,*,*,*,*,もちろん,モチロン,モチロン,s
保険	名詞,一般,*,*,*,*,保険,ホケン,ホケン,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
わ	助詞,終助詞,*,*,*,*,わ,ワ,ワ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
保証	名詞,サ変接続,*,*,*,*,保証,ホショウ,ホショー,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
わ	助詞,終助詞,*,*,*,*,わ,ワ,ワ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ただ	接続詞,*,*,*,*,*,ただ,タダ,タダ,s
それだけ	副詞,助詞類接続,*,*,*,*,それだけ,ソレダケ,ソレダケ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほて	接続詞,*,*,*,*,*,ほて,ホテ,ホテ,s
、	記号,読点,*,*,*,*,、,、,、,s
バイク	名詞,一般,*,*,*,*,バイク,バイク,バイク,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
山科	名詞,固有名詞,地域,一般,*,*,山科,ヤマシナ,ヤマシナ,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,s
川田	名詞,固有名詞,人名,姓,*,*,川田,カワタ,カワタ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
家	名詞,一般,*,*,*,*,家,イエ,イエ,s
からー	副詞,一般,*,*,*,*,からー,カラー,カラー,s
、	記号,読点,*,*,*,*,、,、,、,s
バイク	名詞,一般,*,*,*,*,バイク,バイク,バイク,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
山科	名詞,固有名詞,地域,一般,*,*,山科,ヤマシナ,ヤマシナ,s
駅	名詞,接尾,地域,*,*,*,駅,エキ,エキ,s
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ,s
行く	動詞,自立,*,*,五段・カ行促音便,基本形,行く,イク,イク,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほて	接続詞,*,*,*,*,*,ほて,ホテ,ホテ,s
置い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,置く,オイ,オイ,s
とい	動詞,非自立,*,*,五段・カ行イ音便,連用タ接続・縮約形,て＋おく,トイ,トイ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
JR	名詞,固有名詞,一般,*,*,*,JR,JR,JR,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
草津	名詞,固有名詞,一般,*,*,*,草津,クサツ,クサツ,s
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ,s
行く	動詞,自立,*,*,五段・カ行促音便,基本形,行く,イク,イク,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
んー	フィラー,*,*,*,*,*,んー,ンー,ンー,s
、	記号,読点,*,*,*,*,、,、,、,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
四	名詞,数,*,*,*,*,四,ヨン,ヨン,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
五	名詞,数,*,*,*,*,五,ゴ,ゴ,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
、	記号,読点,*,*,*,*,、,、,、,s
三	名詞,数,*,*,*,*,三,サン,サン,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
、	記号,読点,*,*,*,*,、,、,、,s
四	名詞,数,*,*,*,*,四,ヨン,ヨン,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
結構	副詞,一般,*,*,*,*,結構,ケッコウ,ケッコー,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
忘れ	動詞,自立,*,*,一段,連用形,忘れる,ワスレ,ワスレ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
すごい	形容詞,自立,*,*,形容詞・アウオ段,基本形,すごい,スゴイ,スゴイ,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
頑張っ	動詞,自立,*,*,五段・ラ行,連用タ接続,頑張る,ガンバッ,ガンバッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
んで	接続詞,*,*,*,*,*,んで,ンデ,ンデ,s
なんか	助詞,副助詞,*,*,*,*,なんか,ナンカ,ナンカ,s
知ら	動詞,自立,*,*,五段・ラ行,未然形,知る,シラ,シラ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
頑張ら	動詞,自立,*,*,五段・ラ行,未然形,頑張る,ガンバラ,ガンバラ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
なら	動詞,非自立,*,*,五段・ラ行,未然形,なる,ナラ,ナラ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
出来	動詞,自立,*,*,一段,連用形,出来る,デキ,デキ,s
てん	動詞,非自立,*,*,一段撥音便,基本形・縮約形,て＋いる,テン,テン,s
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そのー	フィラー,*,*,*,*,*,そのー,ソノー,ソノー,s
、	記号,読点,*,*,*,*,、,、,、,s
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,s
て	助詞,格助詞・縮約形,引用,*,*,*,って,テ,テ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
ん	助詞,終助詞,*,*,*,*,ん,ン,ン,s
、	記号,読点,*,*,*,*,、,、,、,s
働き	動詞,自立,*,*,五段・カ行イ音便,連用形,働く,ハタラキ,ハタラキ,s
づめ	名詞,接尾,一般,*,*,*,詰め,ヅメ,ズメ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
どっち	名詞,代名詞,一般,*,*,*,どっち,ドッチ,ドッチ,s
