一本	名詞,固有名詞,地域,一般,*,*,一本,イッポン,イッポン,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
鉄	名詞,一般,*,*,*,*,鉄,テツ,テツ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
鈴	名詞,一般,*,*,*,*,鈴,スズ,スズ,s
メッキ	名詞,一般,*,*,*,*,メッキ,メッキ,メッキ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
やつ	名詞,代名詞,一般,*,*,*,やつ,ヤツ,ヤツ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
ブリキ	名詞,一般,*,*,*,*,ブリキ,ブリキ,ブリキ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
亜鉛	名詞,一般,*,*,*,*,亜鉛,アエン,アエン,s
メッキ	名詞,一般,*,*,*,*,メッキ,メッキ,メッキ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
、	記号,読点,*,*,*,*,、,、,、,s
塗炭	名詞,一般,*,*,*,*,塗炭,トタン,トタン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
弁当	名詞,一般,*,*,*,*,弁当,ベントウ,ベントー,s
缶	名詞,接尾,助数詞,*,*,*,缶,カン,カン,s
、	記号,読点,*,*,*,*,、,、,、,s
弁当	名詞,一般,*,*,*,*,弁当,ベントウ,ベントー,s
箱	名詞,接尾,助数詞,*,*,*,箱,ハコ,ハコ,s
こしらえ	動詞,自立,*,*,一段,連用形,こしらえる,コシラエ,コシラエ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
ほんで	接続詞,*,*,*,*,*,ほんで,ホンデ,ホンデ,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
弁当	名詞,一般,*,*,*,*,弁当,ベントウ,ベントー,s
詰め	動詞,自立,*,*,一段,連用形,詰める,ツメ,ツメ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
こう	副詞,助詞類接続,*,*,*,*,こう,コウ,コー,s
ご飯	名詞,一般,*,*,*,*,ご飯,ゴハン,ゴハン,s
詰め	動詞,自立,*,*,一段,連用形,詰める,ツメ,ツメ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
行き	動詞,非自立,*,*,五段・カ行促音便,連用形,行く,イキ,イキ,s
よっ	動詞,非自立,*,*,五段・ラ行,連用タ接続,よる,ヨッ,ヨッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
ゆう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ユウ,ユー,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
のー	助詞,終助詞,*,*,*,*,の,ノー,ノー,s
、	記号,読点,*,*,*,*,、,、,、,s
こうゆう	連体詞,*,*,*,*,*,こうゆう,コウユウ,コーユウ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
もん	名詞,非自立,一般,*,*,*,もん,モン,モン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
、	記号,読点,*,*,*,*,、,、,、,s
見	動詞,自立,*,*,一段,連用形,見る,ミ,ミ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
、	記号,読点,*,*,*,*,、,、,、,s
無鉛	名詞,一般,*,*,*,*,無鉛,ムエン,ムエン,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
火	名詞,一般,*,*,*,*,火,ヒ,ヒ,s
つけ	動詞,自立,*,*,一段,連用形,つける,ツケ,ツケ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
シュシューっと	副詞,一般,*,*,*,*,シュシューっと,シュシューット,シュシューット,s
燃えん	動詞,自立,*,*,一段撥音便,基本形,燃える,モエン,モエン,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
せ	副詞,助詞類接続・短音化,*,*,*,*,そう,セ,セ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
危ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,危ない,アブナイ,アブナイ,s
さかいに	助詞,接続助詞,*,*,*,*,さかいに,サカイニ,サカイニ,s
、	記号,読点,*,*,*,*,、,、,、,s
みんな	名詞,代名詞,一般,*,*,*,みんな,ミンナ,ミンナ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
、	記号,読点,*,*,*,*,、,、,、,s
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
鉛筆	名詞,一般,*,*,*,*,鉛筆,エンピツ,エンピツ,s
系統	名詞,一般,*,*,*,*,系統,ケイトウ,ケイトー,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
しも	動詞,非自立,*,*,五段・ワ行ウ音便,連用タ接続,しまう,シモ,シモ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
プラスチック	名詞,一般,*,*,*,*,プラスチック,プラスチック,プラスチック,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
何で	副詞,一般,*,*,*,*,何で,ナンデ,ナンデ,i
でき	動詞,自立,*,*,一段,連用形,できる,デキ,デキ,i
とん	動詞,非自立,*,*,五段・ラ行撥音便,基本形・縮約形,て＋おる,トン,トン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
さあ	感動詞,*,*,*,*,*,さあ,サア,サー,s
、	記号,読点,*,*,*,*,、,、,、,s
知ら	動詞,自立,*,*,五段・ラ行,未然形,知る,シラ,シラ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
石油	名詞,一般,*,*,*,*,石油,セキユ,セキユ,s
違う	動詞,自立,*,*,五段・ワ行促音便,基本形,違う,チガウ,チガウ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
せ	副詞,助詞類接続・短音化,*,*,*,*,そう,セ,セ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
こんな	連体詞,*,*,*,*,*,こんな,コンナ,コンナ,s
もん	助詞,終助詞,*,*,*,*,もん,モン,モン,s
、	記号,読点,*,*,*,*,、,、,、,s
石油	名詞,一般,*,*,*,*,石油,セキユ,セキユ,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
セルロイド	名詞,一般,*,*,*,*,セルロイド,セルロイド,セルロイド,s
何で	副詞,一般,*,*,*,*,何で,ナンデ,ナンデ,s
でき	動詞,自立,*,*,一段,連用形,できる,デキ,デキ,s
とう	助動詞,*,*,*,特殊・タ,基本形,とう,トウ,トー,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
知ら	動詞,自立,*,*,五段・ラ行,未然形,知る,シラ,シラ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
わ	助詞,終助詞,*,*,*,*,わ,ワ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
そんなん	名詞,一般,副詞可能,*,*,*,そんなん,ソンナン,ソンナン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
そんなん	名詞,一般,副詞可能,*,*,*,そんなん,ソンナン,ソンナン,s
、	記号,読点,*,*,*,*,、,、,、,s
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,s
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,s
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ,s
、	記号,読点,*,*,*,*,、,、,、,s
考え	動詞,自立,*,*,一段,連用形,考える,カンガエ,カンガエ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
事	名詞,非自立,一般,*,*,*,事,コト,コト,s
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,i
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,i
五	名詞,数,*,*,*,*,五,ゴ,ゴ,i
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,i
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,i
後	接頭詞,名詞接続,*,*,*,*,後,コウ,コー,i
どんな	連体詞,*,*,*,*,*,どんな,ドンナ,ドンナ,i
素材	名詞,一般,*,*,*,*,素材,ソザイ,ソザイ,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
でき	動詞,自立,*,*,一段,連用形,できる,デキ,デキ,i
とん	動詞,非自立,*,*,五段・ラ行撥音便,基本形・縮約形,て＋おる,トン,トン,i
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
ねえ	助詞,終助詞,*,*,*,*,ねえ,ネエ,ネー,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
昼	名詞,副詞可能,*,*,*,*,昼,ヒル,ヒル,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
のー	助詞,終助詞,*,*,*,*,の,ノー,ノー,s
、	記号,読点,*,*,*,*,、,、,、,s
学校	名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー,s
、	記号,読点,*,*,*,*,、,、,、,s
弁当	名詞,一般,*,*,*,*,弁当,ベントウ,ベントー,s
作っ	動詞,自立,*,*,五段・ラ行,連用タ接続,作る,ツクッ,ツクッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
もらわ	動詞,自立,*,*,五段・ワ行促音便,未然形,もらう,モラワ,モラワ,s
れ	動詞,接尾,*,*,一段,未然形,れる,レ,レ,s
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,s
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,s
なんか	助詞,副助詞,*,*,*,*,なんか,ナンカ,ナンカ,s
、	記号,読点,*,*,*,*,、,、,、,s
家	名詞,一般,*,*,*,*,家,イエ,イエ,s
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ,s
食べ	動詞,自立,*,*,一段,連用形,食べる,タベ,タベ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
帰り	動詞,自立,*,*,五段・ラ行,連用形,帰る,カエリ,カエリ,s
よっ	動詞,非自立,*,*,五段・ラ行,連用タ接続,よる,ヨッ,ヨッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
こっから	名詞,代名詞・縮約形,*,*,*,*,ここから,コッカラ,コッカラ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
キロ	名詞,接尾,助数詞,*,*,*,キロ,キロ,キロ,s
半	接頭詞,名詞接続,*,*,*,*,半,ハン,ハン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
時間	名詞,副詞可能,*,*,*,*,時間,ジカン,ジカン,i
間に合う	動詞,自立,*,*,五段・ワ行促音便,基本形,間に合う,マニアウ,マニアウ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
昼	名詞,副詞可能,*,*,*,*,昼,ヒル,ヒル,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
走っ	動詞,自立,*,*,五段・ラ行,連用タ接続,走る,ハシッ,ハシッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
帰ん	動詞,自立,*,*,五段・ラ行撥音便,基本形,帰る,カエン,カエン,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほんで	接続詞,*,*,*,*,*,ほんで,ホンデ,ホンデ,s
帰っ	動詞,自立,*,*,五段・ラ行,連用タ接続,帰る,カエッ,カエッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
のー	助詞,終助詞,*,*,*,*,の,ノー,ノー,s
、	記号,読点,*,*,*,*,、,、,、,s
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ,s
粥	名詞,一般,*,*,*,*,粥,カユ,カユ,s
さん	名詞,接尾,人名,*,*,*,さん,サン,サン,s
、	記号,読点,*,*,*,*,、,、,、,s
米	名詞,固有名詞,地域,一般,*,*,米,アメリカ,アメリカ,s
やら	助詞,並立助詞,*,*,*,*,やら,ヤラ,ヤラ,s
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,s
、	記号,読点,*,*,*,*,、,、,、,s
どう	副詞,助詞類接続,*,*,*,*,どう,ドウ,ドー,s
ゆう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
ん	助詞,終助詞,*,*,*,*,ん,ン,ン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
量	名詞,一般,*,*,*,*,量,リョウ,リョー,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
、	記号,読点,*,*,*,*,、,、,、,s
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
豆	名詞,一般,*,*,*,*,豆,マメ,マメ,i
、	記号,読点,*,*,*,*,、,、,、,i
芋	名詞,一般,*,*,*,*,芋,イモ,イモ,i
、	記号,読点,*,*,*,*,、,、,、,i
大根	名詞,一般,*,*,*,*,大根,ダイコン,ダイコン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
色んな	連体詞,*,*,*,*,*,色んな,イロンナ,イロンナ,s
もん	助詞,終助詞,*,*,*,*,もん,モン,モン,s
、	記号,読点,*,*,*,*,、,、,、,s
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,s
もん	名詞,非自立,一般,*,*,*,もん,モン,モン,s
入れ	動詞,自立,*,*,一段,連用形,入れる,イレ,イレ,s
たり	助詞,並立助詞,*,*,*,*,たり,タリ,タリ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ,s
粥	名詞,一般,*,*,*,*,粥,カユ,カユ,s
さん	名詞,接尾,人名,*,*,*,さん,サン,サン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほんで	接続詞,*,*,*,*,*,ほんで,ホンデ,ホンデ,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
、	記号,読点,*,*,*,*,、,、,、,s
がばがば	副詞,助詞類接続,*,*,*,*,がばがば,ガバガバ,ガバガバ,s
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ,s
粥	名詞,一般,*,*,*,*,粥,カユ,カユ,s
さん	名詞,接尾,人名,*,*,*,さん,サン,サン,s
食べ	動詞,自立,*,*,一段,連用形,食べる,タベ,タベ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほんで	接続詞,*,*,*,*,*,ほんで,ホンデ,ホンデ,s
今度	名詞,副詞可能,*,*,*,*,今度,コンド,コンド,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
学校	名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー,s
、	記号,読点,*,*,*,*,、,、,、,s
昼	名詞,副詞可能,*,*,*,*,昼,ヒル,ヒル,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー,s
始まる	動詞,自立,*,*,五段・ラ行,基本形,始まる,ハジマル,ハジマル,s
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ,s
、	記号,読点,*,*,*,*,、,、,、,s
走っ	動詞,自立,*,*,五段・ラ行,連用タ接続,走る,ハシッ,ハシッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
行き	動詞,自立,*,*,五段・カ行促音便,連用形,行く,イキ,イキ,s
よっ	動詞,非自立,*,*,五段・ラ行,連用タ接続,よる,ヨッ,ヨッ,s
たん	助動詞,*,*,*,特殊・タ,基本形,たん,タン,タン,s
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほんなら	接続詞,*,*,*,*,*,ほんなら,ホンナラ,ホンナラ,s
、	記号,読点,*,*,*,*,、,、,、,s
腹	名詞,一般,*,*,*,*,腹,ハラ,ハラ,s
ん	助詞,格助詞,一般,*,*,*,ん,ン,ン,s
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ,s
、	記号,読点,*,*,*,*,、,、,、,s
ちょっぷんちょっぷん	感動詞,*,*,*,*,*,ちょっぷんちょっぷん,チョップンチョップン,チョップンチョップン,s
、	記号,読点,*,*,*,*,、,、,、,s
音	名詞,一般,*,*,*,*,音,オト,オト,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
ずっと	副詞,一般,*,*,*,*,ずっと,ズット,ズット,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
え	感動詞,*,*,*,*,*,え,エ,エ,s
、	記号,読点,*,*,*,*,、,、,、,s
いや	感動詞,*,*,*,*,*,いや,イヤ,イヤ,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
ほんま	副詞,一般,*,*,*,*,ほんま,ホンマ,ホンマ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
事実	名詞,副詞可能,*,*,*,*,事実,ジジツ,ジジツ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
で	助詞,終助詞,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
私	名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,i
、	記号,読点,*,*,*,*,、,、,、,i
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ,i
水飲み	名詞,一般,*,*,*,*,水飲み,ミズノミ,ミズノミ,i
過ぎ	動詞,自立,*,*,一段,連用形,過ぎる,スギ,スギ,i
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,i
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル,i
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そういう	連体詞,*,*,*,*,*,そういう,ソウイウ,ソーユー,s
日	名詞,非自立,副詞可能,*,*,*,日,ヒ,ヒ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
、	記号,読点,*,*,*,*,、,、,、,s
真冬	名詞,一般,*,*,*,*,真冬,マフユ,マフユ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
範囲	名詞,一般,*,*,*,*,範囲,ハンイ,ハンイ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
、	記号,読点,*,*,*,*,、,、,、,s
大根	名詞,一般,*,*,*,*,大根,ダイコン,ダイコン,s
炊い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,炊く,タイ,タイ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
のー	助詞,終助詞,*,*,*,*,の,ノー,ノー,s
、	記号,読点,*,*,*,*,、,、,、,s
大根	名詞,一般,*,*,*,*,大根,ダイコン,ダイコン,s
飯	名詞,一般,*,*,*,*,飯,メシ,メシ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ,i
米	名詞,一般,*,*,*,*,米,コメ,コメ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
もちろん	副詞,一般,*,*,*,*,もちろん,モチロン,モチロン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
学校	名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
バサッて	副詞,一般,*,*,*,*,バサッて,バサッテ,バサッテ,s
ひっくり返し	動詞,自立,*,*,五段・サ行,連用形,ひっくり返す,ヒックリカエシ,ヒックリカエシ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
のー	助詞,終助詞,*,*,*,*,の,ノー,ノー,s
、	記号,読点,*,*,*,*,、,、,、,s
昼	名詞,副詞可能,*,*,*,*,昼,ヒル,ヒル,s
食べ	動詞,自立,*,*,一段,連用形,食べる,タベ,タベ,s
よっ	動詞,非自立,*,*,五段・ラ行,連用タ接続,よる,ヨッ,ヨッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
、	記号,読点,*,*,*,*,、,、,、,s
未だに	副詞,一般,*,*,*,*,未だに,イマダニ,イマダニ,s
覚え	動詞,自立,*,*,一段,連用形,覚える,オボエ,オボエ,s
とん	動詞,非自立,*,*,五段・ラ行撥音便,基本形・縮約形,て＋おる,トン,トン,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,s
、	記号,読点,*,*,*,*,、,、,、,s
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,s
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
ええ	形容詞,非自立,*,*,形容詞・イイ,基本形,いい,エエ,エー,s
で	助詞,終助詞,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
友達	名詞,一般,*,*,*,*,友達,トモダチ,トモダチ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
ええ	形容詞,自立,*,*,形容詞・イイ,基本形,いい,エエ,エー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
、	記号,読点,*,*,*,*,、,、,、,s
大西	名詞,固有名詞,人名,姓,*,*,大西,オオニシ,オーニシ,s
家	名詞,接尾,一般,*,*,*,家,カ,カ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
嫁入り	名詞,一般,*,*,*,*,嫁入り,ヨメイリ,ヨメイリ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
とる	動詞,非自立,*,*,五段・ラ行,基本形・縮約形,て＋おる,トル,トル,s
子	名詞,一般,*,*,*,*,子,コ,コ,s
、	記号,読点,*,*,*,*,、,、,、,s
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,s
子	名詞,一般,*,*,*,*,子,コ,コ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
「	記号,括弧開,*,*,*,*,「,「,「,s
たも	名詞,固有名詞,人名,名,*,*,たも,タモ,タモ,s
ちゃーん	名詞,接尾,人名,*,*,*,ちゃーん,チャーン,チャーン,s
、	記号,読点,*,*,*,*,、,、,、,s
あんた	名詞,代名詞,一般,*,*,*,あんた,アンタ,アンタ,s
大根	名詞,一般,*,*,*,*,大根,ダイコン,ダイコン,s
飯	名詞,一般,*,*,*,*,飯,メシ,メシ,s
、	記号,読点,*,*,*,*,、,、,、,s
弁当	名詞,一般,*,*,*,*,弁当,ベントウ,ベントー,s
、	記号,読点,*,*,*,*,、,、,、,s
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ,s
弁当	名詞,一般,*,*,*,*,弁当,ベントウ,ベントー,s
箱	名詞,接尾,一般,*,*,*,箱,バコ,バコ,s
ひっくり返し	動詞,自立,*,*,五段・サ行,連用形,ひっくり返す,ヒックリカエシ,ヒックリカエシ,s
