お願い	名詞,サ変接続,*,*,*,*,お願い,オネガイ,オネガイ,i
雪	名詞,一般,*,*,*,*,雪,ユキ,ユキ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
書い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,書く,カイ,カイ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
あん	動詞,非自立,*,*,五段・ラ行撥音便,基本形,ある,アン,アン,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
誰	名詞,代名詞,一般,*,*,*,誰,ダレ,ダレ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
わから	動詞,自立,*,*,五段・ラ行,未然形,わかる,ワカラ,ワカラ,s
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
すごい	形容詞,自立,*,*,形容詞・アウオ段,基本形,すごい,スゴイ,スゴイ,s
もん	名詞,非自立,一般,*,*,*,もん,モン,モン,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
置い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,置く,オイ,オイ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
けっこう	名詞,サ変接続,*,*,*,*,けっこう,ケッコウ,ケッコー,i
分厚い	形容詞,自立,*,*,形容詞・アウオ段,基本形,分厚い,ブアツイ,ブアツイ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
襖	名詞,一般,*,*,*,*,襖,フスマ,フスマ,i
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,i
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
これ	名詞,代名詞,一般,*,*,*,これ,コレ,コレ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
大阪	名詞,固有名詞,地域,一般,*,*,大阪,オオサカ,オーサカ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
三越	名詞,固有名詞,地域,一般,*,*,三越,ミコシ,ミコシ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
、	記号,読点,*,*,*,*,、,、,、,s
三越	名詞,固有名詞,地域,一般,*,*,三越,ミコシ,ミコシ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
裏	名詞,一般,*,*,*,*,裏,ウラ,ウラ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
美術	名詞,一般,*,*,*,*,美術,ビジュツ,ビジュツ,s
院	名詞,接尾,一般,*,*,*,院,イン,イン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
そこ	名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
買う	動詞,自立,*,*,五段・ワ行促音便,基本形,買う,カウ,カウ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
はん	動詞,非自立,*,*,五段・ラ行撥音便,基本形,はる,ハン,ハン,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
昔	名詞,副詞可能,*,*,*,*,昔,ムカシ,ムカシ,i
っ	助詞,格助詞・縮約形,連語,*,*,*,って,ッ,ッ,i
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,i
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,i
ん	助詞,終助詞,*,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
昔	名詞,副詞可能,*,*,*,*,昔,ムカシ,ムカシ,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
せ	副詞,助詞類接続・短音化,*,*,*,*,そう,セ,セ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
おばあちゃん	名詞,一般,*,*,*,*,おばあちゃん,オバアチャン,オバアチャン,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
結婚	名詞,サ変接続,*,*,*,*,結婚,ケッコン,ケッコン,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
買う	動詞,自立,*,*,五段・ワ行促音便,基本形,買う,カウ,カウ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
はん	動詞,非自立,*,*,五段・ラ行撥音便,基本形,はる,ハン,ハン,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
ずいぶん	副詞,助詞類接続,*,*,*,*,ずいぶん,ズイブン,ズイブン,s
古い	形容詞,自立,*,*,形容詞・アウオ段,基本形,古い,フルイ,フルイ,s
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
だから	接続詞,*,*,*,*,*,だから,ダカラ,ダカラ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
剥げ	動詞,自立,*,*,一段,連用形,剥げる,ハゲ,ハゲ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
き	動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ボロボロ	名詞,一般,*,*,*,*,ボロボロ,ボロボロ,ボロボロ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
上	名詞,非自立,副詞可能,*,*,*,上,ウエ,ウエ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
方	名詞,非自立,一般,*,*,*,方,ホウ,ホー,s
まだ	副詞,助詞類接続,*,*,*,*,まだ,マダ,マダ,s
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
、	記号,読点,*,*,*,*,、,、,、,s
綺麗	名詞,形容動詞語幹,*,*,*,*,綺麗,キレイ,キレイ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほんま	副詞,一般,*,*,*,*,ほんま,ホンマ,ホンマ,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほんで	接続詞,*,*,*,*,*,ほんで,ホンデ,ホンデ,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
ちょうど	副詞,一般,*,*,*,*,ちょうど,チョウド,チョード,s
うち	名詞,代名詞,一般,*,*,*,うち,ウチ,ウチ,s
置ける	動詞,自立,*,*,一段,基本形,置ける,オケル,オケル,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
置い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,置く,オイ,オイ,s
とく	動詞,非自立,*,*,五段・カ行イ音便,基本形・縮約形,て＋おく,トク,トク,s
わー	助詞,終助詞,*,*,*,*,わ,ワア,ワー,s
いう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ユウ,ユー,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
置い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,置く,オイ,オイ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
、	記号,読点,*,*,*,*,、,、,、,s
おばあちゃん	名詞,一般,*,*,*,*,おばあちゃん,オバアチャン,オバアチャン,s
ら	名詞,接尾,一般,*,*,*,ら,ラ,ラ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
時代	名詞,一般,*,*,*,*,時代,ジダイ,ジダイ,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
時代	名詞,一般,*,*,*,*,時代,ジダイ,ジダイ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
変わっ	動詞,自立,*,*,五段・ラ行,連用タ接続,変わる,カワッ,カワッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
き	動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
言う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,言う,ユウ,ユー,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ,s
、	記号,読点,*,*,*,*,、,、,、,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ,s
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
やっぱ	副詞,一般,*,*,*,*,やっぱ,ヤッパ,ヤッパ,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ,s
三	名詞,数,*,*,*,*,三,サン,サン,s
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ,s
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
時代	名詞,一般,*,*,*,*,時代,ジダイ,ジダイ,s
変わっ	動詞,自立,*,*,五段・ラ行,連用タ接続,変わる,カワッ,カワッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
おばあちゃん	名詞,一般,*,*,*,*,おばあちゃん,オバアチャン,オバアチャン,s
昭和	名詞,固有名詞,一般,*,*,*,昭和,ショウワ,ショーワ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
三	名詞,数,*,*,*,*,三,サン,サン,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
でしょ	助動詞,*,*,*,特殊・デス,未然形,です,デショ,デショ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
それから	接続詞,*,*,*,*,*,それから,ソレカラ,ソレカラ,s
戦争	名詞,サ変接続,*,*,*,*,戦争,センソウ,センソー,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
終わっ	動詞,自立,*,*,五段・ラ行,連用タ接続,終わる,オワッ,オワッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
それから	接続詞,*,*,*,*,*,それから,ソレカラ,ソレカラ,s
結婚	名詞,サ変接続,*,*,*,*,結婚,ケッコン,ケッコン,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
三	名詞,数,*,*,*,*,三,サン,サン,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
六	名詞,数,*,*,*,*,六,ロク,ロク,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
学生	名詞,一般,*,*,*,*,学生,ガクセイ,ガクセイ,s
時代	名詞,一般,*,*,*,*,時代,ジダイ,ジダイ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
ずーっと	副詞,一般,*,*,*,*,ずーっと,ズーット,ズーット,s
、	記号,読点,*,*,*,*,、,、,、,s
せ	副詞,助詞類接続・短音化,*,*,*,*,そう,セ,セ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
三	名詞,数,*,*,*,*,三,サン,サン,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
以後	名詞,非自立,副詞可能,*,*,*,以後,イゴ,イゴ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
、	記号,読点,*,*,*,*,、,、,、,s
戦後	名詞,副詞可能,*,*,*,*,戦後,センゴ,センゴ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
学校	名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
せ	副詞,助詞類接続・短音化,*,*,*,*,そう,セ,セ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
物	名詞,一般,*,*,*,*,物,モノ,モノ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
こそ	助詞,係助詞,*,*,*,*,こそ,コソ,コソ,s
鞄	名詞,一般,*,*,*,*,鞄,カバン,カバン,s
でも	助詞,副助詞,*,*,*,*,でも,デモ,デモ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
心斎橋	名詞,固有名詞,地域,一般,*,*,心斎橋,シンサイバシ,シンサイバシ,s
中	名詞,接尾,一般,*,*,*,中,ジュウ,ジュー,s
歩き回っ	動詞,自立,*,*,五段・ラ行,連用タ接続,歩き回る,アルキマワッ,アルキマワッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
そういう	連体詞,*,*,*,*,*,そういう,ソウイウ,ソーユウ,s
トートバッグ	名詞,一般,*,*,*,*,トートバッグ,トートバッグ,トートバッグ,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
売っ	動詞,自立,*,*,五段・ラ行,連用タ接続,売る,ウッ,ウッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
、	記号,読点,*,*,*,*,、,、,、,s
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
学校	名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
持っ	動詞,自立,*,*,五段・タ行,連用タ接続,持つ,モッ,モッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
いく	動詞,非自立,*,*,五段・カ行促音便,基本形,いく,イク,イク,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほな	接続詞,*,*,*,*,*,ほな,ホナ,ホナ,s
、	記号,読点,*,*,*,*,、,、,、,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
学校	名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
決まっ	動詞,自立,*,*,五段・ラ行,連用タ接続,決まる,キマッ,キマッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
鞄	名詞,一般,*,*,*,*,鞄,カバン,カバン,s
じゃ	助動詞,*,*,*,特殊・ジャ,未然形,じゃ,ジャ,ジャ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
と	助詞,接続助詞,*,*,*,*,と,ト,ト,s
あか	動詞,非自立,*,*,五段・カ行イ音便,未然形,あく,アカ,アカ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
プラス	名詞,一般,*,*,*,*,プラス,プラス,プラス,s
なんか	助詞,副助詞,*,*,*,*,なんか,ナンカ,ナンカ,s
持ち	動詞,自立,*,*,五段・タ行,連用形,持つ,モチ,モチ,s
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
だから	接続詞,*,*,*,*,*,だから,ダカラ,ダカラ,s
おばあちゃん	名詞,一般,*,*,*,*,おばあちゃん,オバアチャン,オバアチャン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ,s
姉さん	名詞,一般,*,*,*,*,姉さん,ネエサン,ネーサン,s
い	動詞,自立,*,*,一段,連用形,いる,イ,イ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
縫う	動詞,自立,*,*,五段・ワ行促音便,基本形,縫う,ヌウ,ヌウ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
もう	動詞,非自立,*,*,五段・ワ行ウ音便,連用タ接続・縮約形,もらう,モウ,モー,s
たり	助詞,並立助詞,*,*,*,*,たり,タリ,タリ,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
作っ	動詞,自立,*,*,五段・ラ行,連用タ接続,作る,ツクッ,ツクッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
もう	動詞,非自立,*,*,五段・ワ行ウ音便,連用タ接続・縮約形,もらう,モウ,モー,s
たり	助詞,並立助詞,*,*,*,*,たり,タリ,タリ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
せ	副詞,助詞類接続・短音化,*,*,*,*,そう,セ,セ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
小学校	名詞,一般,*,*,*,*,小学校,ショウガッコウ,ショーガッコー,s
六	名詞,数,*,*,*,*,六,ロク,ロク,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
、	記号,読点,*,*,*,*,、,、,、,s
初めて	副詞,一般,*,*,*,*,初めて,ハジメテ,ハジメテ,s
雨靴	名詞,一般,*,*,*,*,雨靴,雨靴,雨靴,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
雨	名詞,一般,*,*,*,*,雨,アメ,アメ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
日	名詞,非自立,副詞可能,*,*,*,日,ヒ,ヒ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
履く	動詞,自立,*,*,五段・カ行イ音便,基本形,履く,ハク,ハク,s
長靴	名詞,一般,*,*,*,*,長靴,ナガグツ,ナガグツ,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
雨靴	名詞,一般,*,*,*,*,雨靴,雨靴,雨靴,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
でき	動詞,自立,*,*,一段,連用形,できる,デキ,デキ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
買う	動詞,自立,*,*,五段・ワ行促音便,基本形,買う,カウ,カウ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
もう	動詞,非自立,*,*,五段・ワ行ウ音便,連用タ接続・縮約形,もらう,モウ,モー,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
覚え	動詞,自立,*,*,一段,連用形,覚える,オボエ,オボエ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
わ	助詞,終助詞,*,*,*,*,わ,ワ,ワ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
せ	副詞,助詞類接続・短音化,*,*,*,*,そう,セ,セ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,s
時代	名詞,一般,*,*,*,*,時代,ジダイ,ジダイ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
経	動詞,自立,*,*,一段,連用形,経る,ヘ,ヘ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
それから	接続詞,*,*,*,*,*,それから,ソレカラ,ソレカラ,s
三	名詞,数,*,*,*,*,三,サン,サン,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
七	名詞,数,*,*,*,*,七,ナナ,ナナ,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
みさ	名詞,固有名詞,人名,名,*,*,みさ,ミサ,ミサ,s
ちゃん	名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン,s
生まれ	動詞,自立,*,*,一段,連用形,生まれる,ウマレ,ウマレ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,s
でも	助詞,副助詞,*,*,*,*,でも,デモ,デモ,s
まだ	副詞,助詞類接続,*,*,*,*,まだ,マダ,マダ,s
