何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
友達	名詞,一般,*,*,*,*,友達,トモダチ,トモダチ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
あんまり	副詞,助詞類接続,*,*,*,*,あんまり,アンマリ,アンマリ,s
、	記号,読点,*,*,*,*,、,、,、,s
そんなに	副詞,一般,*,*,*,*,そんなに,ソンナニ,ソンナニ,s
すごい	副詞,一般,*,*,*,*,すごい,スゴイ,スゴイ,s
仲良く	副詞,一般,*,*,*,*,仲良く,ナカヨク,ナカヨク,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
なら	接続詞,*,*,*,*,*,なら,ナラ,ナラ,s
なかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,ない,ナカッ,ナカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
今回	名詞,副詞可能,*,*,*,*,今回,コンカイ,コンカイ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
すごい	形容詞,自立,*,*,形容詞・アウオ段,基本形,すごい,スゴイ,スゴイ,s
みんな	名詞,代名詞,一般,*,*,*,みんな,ミンナ,ミンナ,s
友達	名詞,一般,*,*,*,*,友達,トモダチ,トモダチ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
なれ	動詞,自立,*,*,一段,連用形,なれる,ナレ,ナレ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
大人	名詞,一般,*,*,*,*,大人,オトナ,オトナ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
から	名詞,一般,*,*,*,*,から,カラ,カラ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
ほう	名詞,非自立,一般,*,*,*,ほう,ホウ,ホー,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
、	記号,読点,*,*,*,*,、,、,、,s
アメリカ	名詞,固有名詞,地域,一般,*,*,アメリカ,アメリカ,アメリカ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
印象	名詞,一般,*,*,*,*,印象,インショウ,インショー,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
どういう	連体詞,*,*,*,*,*,どういう,ドウイウ,ドーユウ,i
点	名詞,一般,*,*,*,*,点,テン,テン,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
意地悪	名詞,形容動詞語幹,*,*,*,*,意地悪,イジワル,イジワル,i
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
どういう	連体詞,*,*,*,*,*,どういう,ドウイウ,ドーユウ,s
点	名詞,一般,*,*,*,*,点,テン,テン,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
意地悪	名詞,形容動詞語幹,*,*,*,*,意地悪,イジワル,イジワル,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
経験	名詞,サ変接続,*,*,*,*,経験,ケイケン,ケイケン,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
、	記号,読点,*,*,*,*,、,、,、,s
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,s
、	記号,読点,*,*,*,*,、,、,、,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
日本	名詞,固有名詞,地域,一般,*,*,日本,ニッポン,ニッポン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
多分	副詞,一般,*,*,*,*,多分,タブン,タブン,s
高３	名詞,一般,*,*,*,*,高３,コウサン,コーサン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
女の子	名詞,一般,*,*,*,*,女の子,オンナノコ,オンナノコ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
意地悪	名詞,形容動詞語幹,*,*,*,*,意地悪,イジワル,イジワル,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
と	助詞,格助詞,引用,*,*,*,と,ト,ト,s
思う	動詞,自立,*,*,五段・ワ行促音便,基本形,思う,オモウ,オモー,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
できあがっ	動詞,自立,*,*,五段・ラ行,連用タ接続,できあがる,デキアガッ,デキアガッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
グループ	名詞,一般,*,*,*,*,グループ,グループ,グループ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
つるん	動詞,自立,*,*,五段・マ行,連用タ接続,つるむ,ツルン,ツルン,s
だり	助詞,並立助詞,*,*,*,*,だり,ダリ,ダリ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
新しい	形容詞,自立,*,*,形容詞・イ段,基本形,新しい,アタラシイ,アタラシイ,s
子	名詞,一般,*,*,*,*,子,コ,コ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
受け入れる	動詞,自立,*,*,一段,基本形,受け入れる,ウケイレル,ウケイレル,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
こう	副詞,助詞類接続,*,*,*,*,こう,コウ,コー,s
寛大	名詞,形容動詞語幹,*,*,*,*,寛大,カンダイ,カンダイ,s
さ	名詞,接尾,特殊,*,*,*,さ,サ,サ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
、	記号,読点,*,*,*,*,、,、,、,s
みんな	名詞,代名詞,一般,*,*,*,みんな,ミンナ,ミンナ,s
高	接頭詞,名詞接続,*,*,*,*,高,コウ,コー,s
三	名詞,数,*,*,*,*,三,サン,サン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
忙しい	形容詞,自立,*,*,形容詞・イ段,基本形,忙しい,イソガシイ,イソガシイ,s
、	記号,読点,*,*,*,*,、,、,、,s
進路	名詞,一般,*,*,*,*,進路,シンロ,シンロ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
忙しい	形容詞,自立,*,*,形容詞・イ段,基本形,忙しい,イソガシイ,イソガシイ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
ま	感動詞,*,*,*,*,*,ま,マ,マ,s
、	記号,読点,*,*,*,*,、,、,、,s
いう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ユウ,ユー,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
遠く	名詞,副詞可能,*,*,*,*,遠く,トオク,トーク,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
来	動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
、	記号,読点,*,*,*,*,、,、,、,s
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,s
アジア	名詞,固有名詞,地域,一般,*,*,アジア,アジア,アジア,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
子	名詞,一般,*,*,*,*,子,コ,コ,s
なんか	助詞,副助詞,*,*,*,*,なんか,ナンカ,ナンカ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,s
興味	名詞,一般,*,*,*,*,興味,キョウミ,キョーミ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
、	記号,読点,*,*,*,*,、,、,、,s
一生懸命	名詞,副詞可能,*,*,*,*,一生懸命,イッショウケンメイ,イッショーケンメイ,s
お世話	名詞,サ変接続,*,*,*,*,お世話,オセワ,オセワ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
くれる	動詞,非自立,*,*,一段・クレル,基本形,くれる,クレル,クレル,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
い	動詞,自立,*,*,一段,連用形,いる,イ,イ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
、	記号,読点,*,*,*,*,、,、,、,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
EOS
アメリカ	名詞,固有名詞,地域,一般,*,*,アメリカ,アメリカ,アメリカ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,i
個人	名詞,一般,*,*,*,*,個人,コジン,コジン,i
主義	名詞,一般,*,*,*,*,主義,シュギ,シュギ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,i
イメージ	名詞,サ変接続,*,*,*,*,イメージ,イメージ,イメージ,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
強い	形容詞,自立,*,*,形容詞・アウオ段,基本形,強い,ツヨイ,ツヨイ,i
のに	助詞,接続助詞,*,*,*,*,のに,ノニ,ノニ,i
、	記号,読点,*,*,*,*,、,、,、,i
グループ	名詞,一般,*,*,*,*,グループ,グループ,グループ,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
でき	動詞,自立,*,*,一段,連用形,できる,デキ,デキ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
、	記号,読点,*,*,*,*,、,、,、,i
日本	名詞,固有名詞,地域,一般,*,*,日本,ニッポン,ニッポン,i
と	助詞,格助詞,一般,*,*,*,と,ト,ト,i
一緒	名詞,サ変接続,*,*,*,*,一緒,イッショ,イッショ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,i
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,i
変	名詞,形容動詞語幹,*,*,*,*,変,ヘン,ヘン,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
思う	動詞,自立,*,*,五段・ワ行促音便,基本形,思う,オモウ,オモー,i
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,i
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,i
EOS
えー	フィラー,*,*,*,*,*,えー,エー,エー,s
、	記号,読点,*,*,*,*,、,、,、,s
アメリカ	名詞,固有名詞,地域,一般,*,*,アメリカ,アメリカ,アメリカ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
女の子	名詞,一般,*,*,*,*,女の子,オンナノコ,オンナノコ,s
同士	名詞,一般,*,*,*,*,同士,ドウシ,ドーシ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
つるむ	動詞,自立,*,*,五段・マ行,基本形,つるむ,ツルム,ツルム,s
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
グループ	名詞,一般,*,*,*,*,グループ,グループ,グループ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
仲	名詞,一般,*,*,*,*,仲,ナカ,ナカ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,s
子	接頭詞,名詞接続,*,*,*,*,子,コ,コ,s
以外	名詞,非自立,副詞可能,*,*,*,以外,イガイ,イガイ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
来	動詞,自立,*,*,カ変・来ル,未然形,来る,コ,コ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
とい	動詞,非自立,*,*,五段・カ行イ音便,連用タ接続・縮約形,て＋おく,トイ,トイ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
一緒	名詞,サ変接続,*,*,*,*,一緒,イッショ,イッショ,s
一緒	名詞,サ変接続,*,*,*,*,一緒,イッショ,イッショ,s
、	記号,読点,*,*,*,*,、,、,、,s
男の子	名詞,一般,*,*,*,*,男の子,オトコノコ,オトコノコ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
違う	動詞,自立,*,*,五段・ワ行促音便,基本形,違う,チガウ,チガウ,s
ん	助詞,終助詞,*,*,*,*,ん,ン,ン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
まぁ	感動詞,*,*,*,*,*,まぁ,マァ,マー,i
、	記号,読点,*,*,*,*,、,、,、,i
グループ	名詞,一般,*,*,*,*,グループ,グループ,グループ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル,i
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,i
、	記号,読点,*,*,*,*,、,、,、,i
受け入れる	動詞,自立,*,*,一段,基本形,受け入れる,ウケイレル,ウケイレル,i
し	助詞,接続助詞,*,*,*,*,し,シ,シ,i
EOS
バースデー	名詞,一般,*,*,*,*,バースデー,バースデー,バースデー,s
パーティ	名詞,サ変接続,*,*,*,*,パーティ,パーティ,パーティ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
誰	名詞,代名詞,一般,*,*,*,誰,ダレ,ダレ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
呼ばれ	動詞,自立,*,*,一段,連用形,呼ばれる,ヨバレ,ヨバレ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
誰	名詞,代名詞,一般,*,*,*,誰,ダレ,ダレ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
呼ばれ	動詞,自立,*,*,一段,連用形,呼ばれる,ヨバレ,ヨバレ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
、	記号,読点,*,*,*,*,、,、,、,s
やっぱり	副詞,一般,*,*,*,*,やっぱり,ヤッパリ,ヤッパリ,s
一緒	名詞,サ変接続,*,*,*,*,一緒,イッショ,イッショ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
日本	名詞,固有名詞,地域,一般,*,*,日本,ニッポン,ニッポン,s
でも	助詞,副助詞,*,*,*,*,でも,デモ,デモ,s
そういう	連体詞,*,*,*,*,*,そういう,ソウイウ,ソーユウ,s
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,s
でしょ	助動詞,*,*,*,特殊・デス,未然形,です,デショ,デショ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
大人	名詞,一般,*,*,*,*,大人,オトナ,オトナ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
まぁ	感動詞,*,*,*,*,*,まぁ,マァ,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
大人	名詞,一般,*,*,*,*,大人,オトナ,オトナ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
裏	名詞,一般,*,*,*,*,裏,ウラ,ウラ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
悪口	名詞,一般,*,*,*,*,悪口,ワルグチ,ワルグチ,s
みんな	名詞,代名詞,一般,*,*,*,みんな,ミンナ,ミンナ,s
ゆっ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,いう,イッ,ユッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
まぁ	感動詞,*,*,*,*,*,まぁ,マァ,マー,s
それも	接続詞,*,*,*,*,*,それも,ソレモ,ソレモ,s
日本	名詞,固有名詞,地域,一般,*,*,日本,ニッポン,ニッポン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
おば	名詞,一般,*,*,*,*,おば,オバ,オバ,s
ちゃん	名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
一緒	名詞,サ変接続,*,*,*,*,一緒,イッショ,イッショ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
なぁ	助詞,終助詞,*,*,*,*,なぁ,ナァ,ナー,s
と	助詞,格助詞,引用,*,*,*,と,ト,ト,s
思っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,思う,オモッ,オモッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ま	感動詞,*,*,*,*,*,ま,マ,マ,s
、	記号,読点,*,*,*,*,、,、,、,s
子供	名詞,一般,*,*,*,*,子供,コドモ,コドモ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
通し	動詞,自立,*,*,五段・サ行,連用形,通す,トオシ,トーシ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
みんな	名詞,代名詞,一般,*,*,*,みんな,ミンナ,ミンナ,s
知り合っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,知り合う,シリアッ,シリアッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
子供	名詞,一般,*,*,*,*,子供,コドモ,コドモ,s
同士	名詞,一般,*,*,*,*,同士,ドウシ,ドーシ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
一緒	名詞,サ変接続,*,*,*,*,一緒,イッショ,イッショ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
遊ばせ	動詞,自立,*,*,一段,連用形,遊ばせる,アソバセ,アソバセ,s
たり	助詞,並立助詞,*,*,*,*,たり,タリ,タリ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,s
、	記号,読点,*,*,*,*,、,、,、,s
受け入れ	動詞,自立,*,*,一段,連用形,受け入れる,ウケイレ,ウケイレ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
もらい	動詞,非自立,*,*,五段・ワ行促音便,連用形,もらう,モライ,モライ,s
やすかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,やすい,ヤスカッ,ヤスカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
、	記号,読点,*,*,*,*,、,、,、,s
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あー	フィラー,*,*,*,*,*,あー,アー,アー,i
、	記号,読点,*,*,*,*,、,、,、,i
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,i
、	記号,読点,*,*,*,*,、,、,、,i
あんま	副詞,助詞類接続・縮約形,*,*,*,*,あんまり,アンマ,アンマ,i
新しく	形容詞,自立,*,*,形容詞・イ段,連用テ接続,新しい,アタラシク,アタラシク,i
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
ってか	接続詞,*,*,*,*,*,ってか,ッテカ,ッテカ,i
、	記号,読点,*,*,*,*,、,、,、,i
転校	名詞,サ変接続,*,*,*,*,転校,テンコウ,テンコー,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
、	記号,読点,*,*,*,*,、,、,、,i
日本	名詞,固有名詞,地域,一般,*,*,日本,ニッポン,ニッポン,i
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,i
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,i
すごい	形容詞,自立,*,*,形容詞・アウオ段,基本形,すごい,スゴイ,スゴイ,i
外	名詞,非自立,副詞可能,*,*,*,外,ホカ,ホカ,i
国人	名詞,一般,*,*,*,*,国人,クニビト,クニビト,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
来	動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ,i
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,i
世話	名詞,サ変接続,*,*,*,*,世話,セワ,セワ,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
くれる	動詞,非自立,*,*,一段・クレル,基本形,くれる,クレル,クレル,i
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,i
、	記号,読点,*,*,*,*,、,、,、,i
珍しい	形容詞,自立,*,*,形容詞・イ段,基本形,珍しい,メズラシイ,メズラシイ,i
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
見	動詞,自立,*,*,一段,未然形,見る,ミ,ミ,i
られ	動詞,接尾,*,*,一段,連用形,られる,ラレ,ラレ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
世話	名詞,サ変接続,*,*,*,*,世話,セワ,セワ,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
くれる	動詞,非自立,*,*,一段・クレル,基本形,くれる,クレル,クレル,i
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,i
、	記号,読点,*,*,*,*,、,、,、,i
向こう	名詞,一般,*,*,*,*,向こう,ムコウ,ムコー,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
とき	名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
、	記号,読点,*,*,*,*,、,、,、,i
やっぱり	副詞,一般,*,*,*,*,やっぱり,ヤッパリ,ヤッパリ,i
普通	名詞,形容動詞語幹,*,*,*,*,普通,フツウ,フツー,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
いる	動詞,自立,*,*,一段,基本形,いる,イル,イル,i
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,i
、	記号,読点,*,*,*,*,、,、,、,i
