始め	動詞,自立,*,*,一段,連用形,始める,ハジメ,ハジメ,i
一	名詞,数,*,*,*,*,一,イチ,イチ,s
か月	名詞,接尾,助数詞,*,*,*,か月,カゲツ,カゲツ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
か月	名詞,接尾,助数詞,*,*,*,か月,カゲツ,カゲツ,s
半	名詞,数,*,*,*,*,半,ハン,ハン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
のに	助詞,接続助詞,*,*,*,*,のに,ノニ,ノニ,s
、	記号,読点,*,*,*,*,、,、,、,s
ごみ	名詞,一般,*,*,*,*,ごみ,ゴミ,ゴミ,s
屋敷	名詞,一般,*,*,*,*,屋敷,ヤシキ,ヤシキ,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,s
とっ	動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋おる,トッ,トッ,s
てー	助詞,接続助詞,*,*,*,*,て,テー,テー,s
、	記号,読点,*,*,*,*,、,、,、,s
めっちゃ	副詞,一般,*,*,*,*,めっちゃ,メッチャ,メッチャ,s
汚い	形容詞,自立,*,*,形容詞・アウオ段,基本形,汚い,キタナイ,キタナイ,s
で	助詞,終助詞,*,*,*,*,で,デ,デ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
キッチン	名詞,一般,*,*,*,*,キッチン,キッチン,キッチン,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
フライパン	名詞,一般,*,*,*,*,フライパン,フライパン,フライパン,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
積み	動詞,自立,*,*,五段・マ行,連用形,積む,ツミ,ツミ,s
上	名詞,非自立,副詞可能,*,*,*,上,ウエ,ウエ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
っ	感動詞,*,*,*,*,*,っ,ッ,ッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
男の子	名詞,一般,*,*,*,*,男の子,オトコノコ,オトコノコ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
子	名詞,一般,*,*,*,*,子,コ,コ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
物	名詞,一般,*,*,*,*,物,モノ,モノ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
捨て	動詞,自立,*,*,一段,未然形,捨てる,ステ,ステ,s
られ	動詞,接尾,*,*,一段,連用形,られる,ラレ,ラレ,s
へん	名詞,非自立,一般,*,*,*,へん,ヘン,ヘン,s
子	名詞,一般,*,*,*,*,子,コ,コ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
だから	接続詞,*,*,*,*,*,だから,ダカラ,ダカラ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
ほんまに	副詞,一般,*,*,*,*,ほんまに,ホンマニ,ホンマニ,s
写真	名詞,一般,*,*,*,*,写真,シャシン,シャシン,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
しか	助詞,係助詞,*,*,*,*,しか,シカ,シカ,s
まだ	副詞,助詞類接続,*,*,*,*,まだ,マダ,マダ,s
見	動詞,自立,*,*,一段,連用形,見る,ミ,ミ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,s
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
ごみ	名詞,一般,*,*,*,*,ごみ,ゴミ,ゴミ,s
転がっ	動詞,自立,*,*,五段・ラ行,連用タ接続,転がる,コロガッ,コロガッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
もん	助詞,終助詞,*,*,*,*,もん,モン,モン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
みんな	名詞,代名詞,一般,*,*,*,みんな,ミンナ,ミンナ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
めっちゃ	副詞,一般,*,*,*,*,めっちゃ,メッチャ,メッチャ,s
早く	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,早い,ハヤク,ハヤク,s
掃除	名詞,サ変接続,*,*,*,*,掃除,ソウジ,ソージ,s
しろ	動詞,自立,*,*,サ変・スル,命令ｒｏ,する,シロ,シロ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
言わ	動詞,自立,*,*,五段・ワ行促音便,未然形,言う,ユワ,ユワ,s
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
臭く	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,臭い,クサク,クサク,i
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,i
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,i
子	名詞,一般,*,*,*,*,子,コ,コ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
大丈夫	名詞,形容動詞語幹,*,*,*,*,大丈夫,ダイジョウブ,ダイジョーブ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
大丈夫	名詞,形容動詞語幹,*,*,*,*,大丈夫,ダイジョウブ,ダイジョーブ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
子	名詞,一般,*,*,*,*,子,コ,コ,s
自身	名詞,非自立,副詞可能,*,*,*,自身,ジシン,ジシン,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
大丈夫	名詞,形容動詞語幹,*,*,*,*,大丈夫,ダイジョウブ,ダイジョーブ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほんまに	副詞,一般,*,*,*,*,ほんまに,ホンマニ,ホンマニ,s
汚い	形容詞,自立,*,*,形容詞・アウオ段,基本形,汚い,キタナイ,キタナイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ごみ	名詞,一般,*,*,*,*,ごみ,ゴミ,ゴミ,i
屋敷	名詞,一般,*,*,*,*,屋敷,ヤシキ,ヤシキ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
やばい	形容詞,自立,*,*,形容詞・アウオ段,基本形,やばい,ヤバイ,ヤバイ,i
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
物	名詞,一般,*,*,*,*,物,モノ,モノ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
散らかっ	動詞,自立,*,*,五段・ラ行,連用タ接続,散らかる,チラカッ,チラカッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ごみ	名詞,一般,*,*,*,*,ごみ,ゴミ,ゴミ,s
と	助詞,格助詞,引用,*,*,*,と,ト,ト,s
言う	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
物	名詞,一般,*,*,*,*,物,モノ,モノ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
散らかり	動詞,自立,*,*,五段・ラ行,連用形,散らかる,チラカリ,チラカリ,s
すぎ	動詞,非自立,*,*,一段,連用形,すぎる,スギ,スギ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
写真	名詞,一般,*,*,*,*,写真,シャシン,シャシン,s
だけ	助詞,副助詞,*,*,*,*,だけ,ダケ,ダケ,s
見	動詞,自立,*,*,一段,連用形,見る,ミ,ミ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
、	記号,読点,*,*,*,*,、,、,、,s
ごみ	名詞,一般,*,*,*,*,ごみ,ゴミ,ゴミ,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
ごみ	名詞,一般,*,*,*,*,ごみ,ゴミ,ゴミ,s
じゃ	助動詞,*,*,*,特殊・ジャ,未然形,じゃ,ジャ,ジャ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
わから	動詞,自立,*,*,五段・ラ行,未然形,わかる,ワカラ,ワカラ,s
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
足	名詞,一般,*,*,*,*,足,アシ,アシ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
踏み	動詞,自立,*,*,五段・マ行,連用形,踏む,フミ,フミ,i
場	名詞,一般,*,*,*,*,場,バ,バ,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
ほんまに	副詞,一般,*,*,*,*,ほんまに,ホンマニ,ホンマニ,s
寝る	動詞,自立,*,*,一段,基本形,寝る,ネル,ネル,s
スペース	名詞,一般,*,*,*,*,スペース,スペース,スペース,s
だけ	助詞,副助詞,*,*,*,*,だけ,ダケ,ダケ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
状態	名詞,一般,*,*,*,*,状態,ジョウタイ,ジョータイ,s
らしい	助動詞,*,*,*,形容詞・イ段,基本形,らしい,ラシイ,ラシイ,s
、	記号,読点,*,*,*,*,、,、,、,s
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
で	接続詞,*,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
友達	名詞,一般,*,*,*,*,友達,トモダチ,トモダチ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
遊び	動詞,自立,*,*,五段・バ行,連用形,遊ぶ,アソビ,アソビ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
来	動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
、	記号,読点,*,*,*,*,、,、,、,s
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
片づけ	動詞,自立,*,*,一段,連用形,片づける,カタヅケ,カタズケ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほんまに	副詞,一般,*,*,*,*,ほんまに,ホンマニ,ホンマニ,i
、	記号,読点,*,*,*,*,、,、,、,i
捨てれ	動詞,自立,*,*,一段,仮定形,捨てる,ステレ,ステレ,i
ば	助詞,接続助詞,*,*,*,*,ば,バ,バ,i
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,i
のに	助詞,接続助詞,*,*,*,*,のに,ノニ,ノニ,i
、	記号,読点,*,*,*,*,、,、,、,i
全部	名詞,副詞可能,*,*,*,*,全部,ゼンブ,ゼンブ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
、	記号,読点,*,*,*,*,、,、,、,i
自炊	名詞,サ変接続,*,*,*,*,自炊,ジスイ,ジスイ,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
練習	名詞,サ変接続,*,*,*,*,練習,レンシュウ,レンシュー,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
自炊	名詞,サ変接続,*,*,*,*,自炊,ジスイ,ジスイ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
食べ	動詞,自立,*,*,一段,連用形,食べる,タベ,タベ,s
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,s
もん	名詞,非自立,一般,*,*,*,もん,モン,モン,s
作っ	動詞,自立,*,*,五段・ラ行,連用タ接続,作る,ツクッ,ツクッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
食べ	動詞,自立,*,*,一段,連用形,食べる,タベ,タベ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
どんなん	名詞,一般,副詞可能,*,*,*,どんなん,ドンナン,ドンナン,i
食べ	動詞,自立,*,*,一段,連用形,食べる,タベ,タベ,i
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
、	記号,読点,*,*,*,*,、,、,、,s
簡単	名詞,一般,*,*,*,*,簡単,カンタン,カンタン,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
パッ	副詞,助詞類接続,*,*,*,*,パッ,パッ,パッ,s
て	助詞,格助詞・縮約形,引用,*,*,*,って,テ,テ,s
つくれる	動詞,自立,*,*,一段,基本形,つくれる,ツクレル,ツクレル,s
もん	名詞,非自立,一般,*,*,*,もん,モン,モン,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
全然	副詞,助詞類接続,*,*,*,*,全然,ゼンゼン,ゼンゼン,s
、	記号,読点,*,*,*,*,、,、,、,s
栄養	名詞,一般,*,*,*,*,栄養,エイヨウ,エイヨー,s
学部	名詞,一般,*,*,*,*,学部,ガクブ,ガクブ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
全然	副詞,助詞類接続,*,*,*,*,全然,ゼンゼン,ゼンゼン,s
料理	名詞,サ変接続,*,*,*,*,料理,リョウリ,リョーリ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
でき	動詞,自立,*,*,一段,未然形,できる,デキ,デキ,s
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
調理	名詞,サ変接続,*,*,*,*,調理,チョウリ,チョーリ,i
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,i
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
毎週	名詞,副詞可能,*,*,*,*,毎週,マイシュウ,マイシュー,s
調理	名詞,サ変接続,*,*,*,*,調理,チョウリ,チョーリ,s
実習	名詞,サ変接続,*,*,*,*,実習,ジッシュウ,ジッシュー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
レシピ	名詞,一般,*,*,*,*,レシピ,レシピ,レシピ,s
見	動詞,自立,*,*,一段,連用形,見る,ミ,ミ,s
ながら	助詞,接続助詞,*,*,*,*,ながら,ナガラ,ナガラ,s
分量	名詞,一般,*,*,*,*,分量,ブンリョウ,ブンリョー,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
めっちゃ	副詞,一般,*,*,*,*,めっちゃ,メッチャ,メッチャ,s
きっちり	副詞,助詞類接続,*,*,*,*,きっちり,キッチリ,キッチリ,s
計っ	動詞,自立,*,*,五段・ラ行,連用タ接続,計る,ハカッ,ハカッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
ささって	副詞,一般,*,*,*,*,ささって,ササッテ,ササッテ,s
なに	名詞,代名詞,一般,*,*,*,なに,ナニ,ナニ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
見	動詞,自立,*,*,一段,未然形,見る,ミ,ミ,s
ず	助動詞,*,*,*,特殊・ヌ,連用ニ接続,ぬ,ズ,ズ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
作れる	動詞,自立,*,*,一段,基本形,作れる,ツクレル,ツクレル,s
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
なり	動詞,自立,*,*,五段・ラ行,連用形,なる,ナリ,ナリ,s
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
たしかに	副詞,一般,*,*,*,*,たしかに,タシカニ,タシカニ,i
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,i
難しい	形容詞,自立,*,*,形容詞・イ段,基本形,難しい,ムズカシイ,ムズカシイ,i
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
うち	名詞,代名詞,一般,*,*,*,うち,ウチ,ウチ,i
も	助詞,係助詞,*,*,*,*,も,モ,モ,i
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,i
練習	名詞,サ変接続,*,*,*,*,練習,レンシュウ,レンシュー,i
せ	動詞,自立,*,*,サ変・スル,未然形特殊,する,セ,セ,i
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,i
と	助詞,接続助詞,*,*,*,*,と,ト,ト,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
ほかに	副詞,一般,*,*,*,*,ほかに,ホカニ,ホカニ,i
引っ越し	動詞,自立,*,*,五段・サ行,連用形,引っ越す,ヒッコシ,ヒッコシ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
き	動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
ずっと	副詞,一般,*,*,*,*,ずっと,ズット,ズット,s
住ん	動詞,自立,*,*,五段・マ行,連用タ接続,住む,スン,スン,s
で	助詞,接続助詞,*,*,*,*,で,デ,デ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
ところ	名詞,非自立,副詞可能,*,*,*,ところ,トコロ,トコロ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
大阪	名詞,固有名詞,地域,一般,*,*,大阪,オオサカ,オーサカ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
生まれ	名詞,一般,*,*,*,*,生まれ,ウマレ,ウマレ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
和歌山	名詞,固有名詞,地域,一般,*,*,和歌山,ワカヤマ,ワカヤマ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
すぐ	副詞,助詞類接続,*,*,*,*,すぐ,スグ,スグ,s
大阪	名詞,固有名詞,地域,一般,*,*,大阪,オオサカ,オーサカ,s
来	動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
前	名詞,副詞可能,*,*,*,*,前,マエ,マエ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
家	名詞,一般,*,*,*,*,家,イエ,イエ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
家	名詞,一般,*,*,*,*,家,イエ,イエ,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
ほんまに	副詞,一般,*,*,*,*,ほんまに,ホンマニ,ホンマニ,s
自転車	名詞,一般,*,*,*,*,自転車,ジテンシャ,ジテンシャ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
五	名詞,数,*,*,*,*,五,ゴ,ゴ,s
分	名詞,接尾,助数詞,*,*,*,分,フン,フン,s
くらい	助詞,副助詞,*,*,*,*,くらい,クライ,クライ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
マンション	名詞,一般,*,*,*,*,マンション,マンション,マンション,s
住ん	動詞,自立,*,*,五段・マ行,連用タ接続,住む,スン,スン,s
で	助詞,接続助詞,*,*,*,*,で,デ,デ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
前	名詞,副詞可能,*,*,*,*,前,マエ,マエ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
三	名詞,数,*,*,*,*,三,サン,サン,s
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ,s
くらい	助詞,副助詞,*,*,*,*,くらい,クライ,クライ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
家	名詞,一般,*,*,*,*,家,イエ,イエ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
引っ越し	動詞,自立,*,*,五段・サ行,連用形,引っ越す,ヒッコシ,ヒッコシ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
ずっと	副詞,一般,*,*,*,*,ずっと,ズット,ズット,s
住ん	動詞,自立,*,*,五段・マ行,連用タ接続,住む,スン,スン,s
で	助詞,接続助詞,*,*,*,*,で,デ,デ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なんで	副詞,一般,*,*,*,*,なんで,ナンデ,ナンデ,i
引っ越し	動詞,自立,*,*,五段・サ行,連用形,引っ越す,ヒッコシ,ヒッコシ,i
たん	助動詞,*,*,*,特殊・タ,基本形,たん,タン,タン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
普通	名詞,形容動詞語幹,*,*,*,*,普通,フツウ,フツー,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
マンション	名詞,一般,*,*,*,*,マンション,マンション,マンション,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
住ん	動詞,自立,*,*,五段・マ行,連用タ接続,住む,スン,スン,s
で	助詞,接続助詞,*,*,*,*,で,デ,デ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
一軒家	名詞,一般,*,*,*,*,一軒家,イッケンヤ,イッケンヤ,s
買っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,買う,カッ,カッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
そっち	名詞,代名詞,一般,*,*,*,そっち,ソッチ,ソッチ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
