緊張	名詞,サ変接続,*,*,*,*,緊張,キンチョウ,キンチョー,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
温泉	名詞,一般,*,*,*,*,温泉,オンセン,オンセン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
温泉	名詞,一般,*,*,*,*,温泉,オンセン,オンセン,s
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほんと	副詞,一般,*,*,*,*,ほんと,ホント,ホント,s
よかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,よい,ヨカッ,ヨカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
温泉	名詞,一般,*,*,*,*,温泉,オンセン,オンセン,s
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
温泉	名詞,一般,*,*,*,*,温泉,オンセン,オンセン,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
韓国	名詞,固有名詞,地域,国,*,*,韓国,カンコク,カンコク,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
も	助詞,係助詞,*,*,*,*,も,モ,モ,i
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
あー	フィラー,*,*,*,*,*,あー,アー,アー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
チムチルバン	名詞,一般,*,*,*,*,チムチルバン,チムチルバン,チムチルバン,i
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
銭湯	名詞,一般,*,*,*,*,銭湯,セントウ,セントー,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
人工	名詞,一般,*,*,*,*,人工,ジンコウ,ジンコー,s
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
あたため	動詞,自立,*,*,一段,連用形,あたためる,アタタメ,アタタメ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
やつ	名詞,代名詞,一般,*,*,*,やつ,ヤツ,ヤツ,s
じゃん	助動詞,*,*,*,特殊・ジャ,基本形,じゃん,ジャン,ジャン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そっか	感動詞,*,*,*,*,*,そっか,ソッカ,ソッカ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
韓国	名詞,固有名詞,地域,国,*,*,韓国,カンコク,カンコク,s
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
ちゃう	動詞,自立,*,*,五段・特殊,基本形,ちゃう,チャウ,チャウ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
めっちゃ	副詞,一般,*,*,*,*,めっちゃ,メッチャ,メッチャ,i
抵抗	名詞,サ変接続,*,*,*,*,抵抗,テイコウ,テイコー,i
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
全然	副詞,助詞類接続,*,*,*,*,全然,ゼンゼン,ゼンゼン,i
知ら	動詞,自立,*,*,五段・ラ行,未然形,知る,シラ,シラ,i
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,i
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
裸	名詞,一般,*,*,*,*,裸,ハダカ,ハダカ,i
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,i
さあ	助詞,終助詞,*,*,*,*,さ,サア,サー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
銭湯	名詞,一般,*,*,*,*,銭湯,セントウ,セントー,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
裸	名詞,一般,*,*,*,*,裸,ハダカ,ハダカ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
もん	助詞,終助詞,*,*,*,*,もん,モン,モン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あ	感動詞,*,*,*,*,*,あ,ア,ア,i
、	記号,読点,*,*,*,*,、,、,、,i
そっか	感動詞,*,*,*,*,*,そっか,ソッカ,ソッカ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
銭湯	名詞,一般,*,*,*,*,銭湯,セントウ,セントー,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
被っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,被う,オオッ,オオッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
服	名詞,一般,*,*,*,*,服,フク,フク,s
着	動詞,自立,*,*,一段,連用形,着る,キ,キ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
入ら	動詞,自立,*,*,五段・ラ行,未然形,入る,ハイラ,ハイラ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
え	感動詞,*,*,*,*,*,え,エ,エ,i
、	記号,読点,*,*,*,*,、,、,、,i
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
服	名詞,一般,*,*,*,*,服,フク,フク,i
着	動詞,自立,*,*,一段,連用形,着る,キ,キ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
あ	感動詞,*,*,*,*,*,あ,ア,ア,s
、	記号,読点,*,*,*,*,、,、,、,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
場	名詞,一般,*,*,*,*,場,バ,バ,s
だけ	助詞,副助詞,*,*,*,*,だけ,ダケ,ダケ,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
岩盤	名詞,一般,*,*,*,*,岩盤,ガンバン,ガンバン,s
浴	名詞,接尾,一般,*,*,*,浴,ヨク,ヨク,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あー	フィラー,*,*,*,*,*,あー,アー,アー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そこ	名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ,s
だけ	助詞,副助詞,*,*,*,*,だけ,ダケ,ダケ,s
入っ	動詞,自立,*,*,五段・ラ行,連用タ接続,入る,ハイッ,ハイッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
銭湯	名詞,一般,*,*,*,*,銭湯,セントウ,セントー,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
お湯	名詞,一般,*,*,*,*,お湯,オユ,オユ,s
入ら	動詞,自立,*,*,五段・ラ行,未然形,入る,ハイラ,ハイラ,s
な	助動詞,*,*,*,特殊・ナイ,仮定形・縮約形,な,ナ,ナ,s
あか	動詞,非自立,*,*,五段・カ行イ音便,未然形,あく,アカ,アカ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そっか	感動詞,*,*,*,*,*,そっか,ソッカ,ソッカ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
韓国	名詞,固有名詞,地域,国,*,*,韓国,カンコク,カンコク,i
でも	助詞,副助詞,*,*,*,*,でも,デモ,デモ,i
そういう	連体詞,*,*,*,*,*,そういう,ソウイウ,ソーユウ,i
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
温泉	名詞,一般,*,*,*,*,温泉,オンセン,オンセン,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
自然	名詞,形容動詞語幹,*,*,*,*,自然,シゼン,シゼン,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
温泉	名詞,一般,*,*,*,*,温泉,オンセン,オンセン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
かも	助詞,副助詞,*,*,*,*,かも,カモ,カモ,s
しれ	動詞,自立,*,*,一段,未然形,しれる,シレ,シレ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
俺	名詞,代名詞,一般,*,*,*,俺,オレ,オレ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
韓国	名詞,固有名詞,地域,国,*,*,韓国,カンコク,カンコク,s
では	助詞,接続助詞,*,*,*,*,では,デハ,デワ,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,s
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
えー	フィラー,*,*,*,*,*,えー,エー,エー,i
そっか	感動詞,*,*,*,*,*,そっか,ソッカ,ソッカ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
文化	名詞,一般,*,*,*,*,文化,ブンカ,ブンカ,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
結構	副詞,一般,*,*,*,*,結構,ケッコウ,ケッコー,i
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
俺	名詞,代名詞,一般,*,*,*,俺,オレ,オレ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ご飯	名詞,一般,*,*,*,*,ご飯,ゴハン,ゴハン,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
ご飯	名詞,一般,*,*,*,*,ご飯,ゴハン,ゴハン,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ,i
寿司	名詞,一般,*,*,*,*,寿司,スシ,スシ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ,s
寿司	名詞,一般,*,*,*,*,寿司,スシ,スシ,s
一番	名詞,副詞可能,*,*,*,*,一番,イチバン,イチバン,s
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
食べもん	名詞,一般,*,*,*,*,食べもん,タベモン,タベモン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ,s
で	助詞,終助詞,*,*,*,*,で,デ,デ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
ネタ	名詞,一般,*,*,*,*,ネタ,ネタ,ネタ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
俺	名詞,代名詞,一般,*,*,*,俺,オレ,オレ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
サーモン	名詞,一般,*,*,*,*,サーモン,サーモン,サーモン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
サーモン	名詞,一般,*,*,*,*,サーモン,サーモン,サーモン,i
、	記号,読点,*,*,*,*,、,、,、,i
サーモン	名詞,一般,*,*,*,*,サーモン,サーモン,サーモン,i
嫌い	名詞,形容動詞語幹,*,*,*,*,嫌い,キライ,キライ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
え	感動詞,*,*,*,*,*,え,エ,エ,s
、	記号,読点,*,*,*,*,、,、,、,s
なんで	副詞,一般,*,*,*,*,なんで,ナンデ,ナンデ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
脂っこく	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,脂っこい,ヤニッコク,ヤニッコク,i
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
え	感動詞,*,*,*,*,*,え,エ,エ,s
、	記号,読点,*,*,*,*,、,、,、,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
うまい	形容詞,自立,*,*,形容詞・アウオ段,基本形,うまい,ウマイ,ウマイ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
ちゃう	動詞,自立,*,*,五段・特殊,基本形,ちゃう,チャウ,チャウ,s
ん	助詞,終助詞,*,*,*,*,ん,ン,ン,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
あ	感動詞,*,*,*,*,*,あ,ア,ア,i
、	記号,読点,*,*,*,*,、,、,、,i
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
生臭い	形容詞,自立,*,*,形容詞・アウオ段,基本形,生臭い,ナマグサイ,ナマグサイ,i
イメージ	名詞,サ変接続,*,*,*,*,イメージ,イメージ,イメージ,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
全然	副詞,助詞類接続,*,*,*,*,全然,ゼンゼン,ゼンゼン,s
生臭く	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,生臭い,ナマグサク,ナマグサク,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
生臭い	形容詞,自立,*,*,形容詞・アウオ段,基本形,生臭い,ナマグサイ,ナマグサイ,i
イメージ	名詞,サ変接続,*,*,*,*,イメージ,イメージ,イメージ,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
鯛	名詞,一般,*,*,*,*,鯛,タイ,タイ,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
鯛	名詞,一般,*,*,*,*,鯛,タイ,タイ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
食べる	動詞,自立,*,*,一段,基本形,食べる,タベル,タベル,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
鯛	名詞,一般,*,*,*,*,鯛,タイ,タイ,s
食べる	動詞,自立,*,*,一段,基本形,食べる,タベル,タベル,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
鯛	名詞,一般,*,*,*,*,鯛,タイ,タイ,s
めし	名詞,一般,*,*,*,*,めし,メシ,メシ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,i
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,i
、	記号,読点,*,*,*,*,、,、,、,i
美味しい	形容詞,自立,*,*,形容詞・イ段,基本形,美味しい,オイシイ,オイシイ,i
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
鯛	名詞,一般,*,*,*,*,鯛,タイ,タイ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
脂身	名詞,一般,*,*,*,*,脂身,アブラミ,アブラミ,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,i
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
なるほど	感動詞,*,*,*,*,*,なるほど,ナルホド,ナルホド,s
、	記号,読点,*,*,*,*,、,、,、,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
高級	名詞,形容動詞語幹,*,*,*,*,高級,コウキュウ,コーキュー,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
やつ	名詞,代名詞,一般,*,*,*,やつ,ヤツ,ヤツ,s
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
嘘	名詞,一般,*,*,*,*,嘘,ウソ,ウソ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
鯛	名詞,一般,*,*,*,*,鯛,タイ,タイ,s
高く	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,高い,タカク,タカク,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
高い	形容詞,自立,*,*,形容詞・アウオ段,基本形,高い,タカイ,タカイ,s
イメージ	名詞,サ変接続,*,*,*,*,イメージ,イメージ,イメージ,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,i
回転	名詞,サ変接続,*,*,*,*,回転,カイテン,カイテン,i
寿司	名詞,一般,*,*,*,*,寿司,スシ,スシ,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,i
高く	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,高い,タカク,タカク,i
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
海老	名詞,一般,*,*,*,*,海老,エビ,エビ,i
も	助詞,係助詞,*,*,*,*,も,モ,モ,i
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
俺	名詞,代名詞,一般,*,*,*,俺,オレ,オレ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
海老	名詞,一般,*,*,*,*,海老,エビ,エビ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
高い	形容詞,自立,*,*,形容詞・アウオ段,基本形,高い,タカイ,タカイ,s
やつ	名詞,代名詞,一般,*,*,*,やつ,ヤツ,ヤツ,s
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
お洒落	名詞,形容動詞語幹,*,*,*,*,お洒落,オシャレ,オシャレ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
、	記号,読点,*,*,*,*,、,、,、,s
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
サーモン	名詞,一般,*,*,*,*,サーモン,サーモン,サーモン,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
苦手	名詞,形容動詞語幹,*,*,*,*,苦手,ニガテ,ニガテ,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
オレンジ	名詞,一般,*,*,*,*,オレンジ,オレンジ,オレンジ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
やつ	名詞,代名詞,一般,*,*,*,やつ,ヤツ,ヤツ,i
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
オレンジ	名詞,一般,*,*,*,*,オレンジ,オレンジ,オレンジ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
オレンジ	名詞,一般,*,*,*,*,オレンジ,オレンジ,オレンジ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
やつ	名詞,代名詞,一般,*,*,*,やつ,ヤツ,ヤツ,i
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
ご存じ	名詞,一般,*,*,*,*,ご存じ,ゴゾンジ,ゴゾンジ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
通り	名詞,一般,*,*,*,*,通り,トオリ,トーリ,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ,i
寿司	名詞,一般,*,*,*,*,寿司,スシ,スシ,i
以外	名詞,非自立,副詞可能,*,*,*,以外,イガイ,イガイ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,i
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
和食	名詞,一般,*,*,*,*,和食,ワショク,ワショク,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
