出身	名詞,一般,*,*,*,*,出身,シュッシン,シュッシン,i
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,i
持っ	動詞,自立,*,*,五段・タ行,連用タ接続,持つ,モッ,モッ,i
たん	助動詞,*,*,*,特殊・タ,基本形,たん,タン,タン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
興味	名詞,一般,*,*,*,*,興味,キョウミ,キョーミ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
持っ	動詞,自立,*,*,五段・タ行,連用タ接続,持つ,モッ,モッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
きっかけ	名詞,一般,*,*,*,*,きっかけ,キッカケ,キッカケ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,s
、	記号,読点,*,*,*,*,、,、,、,s
私	名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,s
中学校	名詞,一般,*,*,*,*,中学校,チュウガッコウ,チューガッコー,s
一年生	名詞,一般,*,*,*,*,一年生,イチネンセイ,イチネンセイ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
とき	名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
嵐	名詞,固有名詞,人名,姓,*,*,嵐,アラシ,アラシ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,s
だっ	助動詞,*,*,*,特殊・ダ,連用タ接続,だ,ダッ,ダッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
嵐	名詞,固有名詞,人名,姓,*,*,嵐,アラシ,アラシ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
進出	名詞,サ変接続,*,*,*,*,進出,シンシュツ,シンシュツ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
活動	名詞,サ変接続,*,*,*,*,活動,カツドウ,カツドー,s
、	記号,読点,*,*,*,*,、,、,、,s
番組	名詞,一般,*,*,*,*,番組,バングミ,バングミ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
見	動詞,自立,*,*,一段,連用形,見る,ミ,ミ,s
ながら	助詞,接続助詞,*,*,*,*,ながら,ナガラ,ナガラ,s
なんか	助詞,副助詞,*,*,*,*,なんか,ナンカ,ナンカ,s
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
、	記号,読点,*,*,*,*,、,、,、,s
言葉	名詞,一般,*,*,*,*,言葉,コトバ,コトバ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
かわいい	形容詞,自立,*,*,形容詞・イ段,基本形,かわいい,カワイイ,カワイイ,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
思っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,思う,オモッ,オモッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
興味	名詞,一般,*,*,*,*,興味,キョウミ,キョーミ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
持っ	動詞,自立,*,*,五段・タ行,連用タ接続,持つ,モッ,モッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
日本語	名詞,一般,*,*,*,*,日本語,ニホンゴ,ニホンゴ,i
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,i
勉強	名詞,サ変接続,*,*,*,*,勉強,ベンキョウ,ベンキョー,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
始め	動詞,非自立,*,*,一段,連用形,始める,ハジメ,ハジメ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
きっかけ	名詞,一般,*,*,*,*,きっかけ,キッカケ,キッカケ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
、	記号,読点,*,*,*,*,、,、,、,i
やっぱり	副詞,一般,*,*,*,*,やっぱり,ヤッパリ,ヤッパリ,i
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,i
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
興味	名詞,一般,*,*,*,*,興味,キョウミ,キョーミ,i
と	助詞,格助詞,一般,*,*,*,と,ト,ト,i
持っ	動詞,自立,*,*,五段・タ行,連用タ接続,持つ,モッ,モッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,i
と	助詞,格助詞,一般,*,*,*,と,ト,ト,i
関係	名詞,サ変接続,*,*,*,*,関係,カンケイ,カンケイ,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
私	名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
、	記号,読点,*,*,*,*,、,、,、,s
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,s
、	記号,読点,*,*,*,*,、,、,、,s
本	名詞,一般,*,*,*,*,本,ホン,ホン,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
集める	動詞,自立,*,*,一段,基本形,集める,アツメル,アツメル,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
本	名詞,一般,*,*,*,*,本,ホン,ホン,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
集める	動詞,自立,*,*,一段,基本形,集める,アツメル,アツメル,s
と	助詞,接続助詞,*,*,*,*,と,ト,ト,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
、	記号,読点,*,*,*,*,、,、,、,s
買う	動詞,自立,*,*,五段・ワ行促音便,基本形,買う,カウ,カウ,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
買う	動詞,自立,*,*,五段・ワ行促音便,基本形,買う,カウ,カウ,s
自体	名詞,一般,*,*,*,*,自体,ジタイ,ジタイ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
きれい	名詞,形容動詞語幹,*,*,*,*,きれい,キレイ,キレイ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
本	名詞,一般,*,*,*,*,本,ホン,ホン,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
かわいい	形容詞,自立,*,*,形容詞・イ段,基本形,かわいい,カワイイ,カワイイ,s
本	名詞,一般,*,*,*,*,本,ホン,ホン,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
めっちゃ	副詞,一般,*,*,*,*,めっちゃ,メッチャ,メッチャ,s
買う	動詞,自立,*,*,五段・ワ行促音便,基本形,買う,カウ,カウ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
本	名詞,一般,*,*,*,*,本,ホン,ホン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
日本語	名詞,一般,*,*,*,*,日本語,ニホンゴ,ニホンゴ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
書い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,書く,カイ,カイ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
本	名詞,一般,*,*,*,*,本,ホン,ホン,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
見	動詞,自立,*,*,一段,連用形,見る,ミ,ミ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
日本語	名詞,一般,*,*,*,*,日本語,ニホンゴ,ニホンゴ,s
勉強	名詞,サ変接続,*,*,*,*,勉強,ベンキョウ,ベンキョー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
思っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,思う,オモッ,オモッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,i
、	記号,読点,*,*,*,*,、,、,、,i
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン,i
来る	動詞,自立,*,*,カ変・来ル,基本形,来る,クル,クル,i
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
日本語	名詞,一般,*,*,*,*,日本語,ニホンゴ,ニホンゴ,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,i
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
勉強	名詞,サ変接続,*,*,*,*,勉強,ベンキョウ,ベンキョー,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
高校	名詞,一般,*,*,*,*,高校,コウコウ,コーコー,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
とき	名詞,非自立,一般,*,*,*,とき,トキ,トキ,s
学ん	動詞,自立,*,*,五段・バ行,連用タ接続,学ぶ,マナン,マナン,s
だ	助動詞,*,*,*,特殊・タ,基本形,だ,ダ,ダ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
あんまり	副詞,助詞類接続,*,*,*,*,あんまり,アンマリ,アンマリ,s
興味	名詞,一般,*,*,*,*,興味,キョウミ,キョーミ,s
なかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,ない,ナカッ,ナカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
あんまり	副詞,助詞類接続,*,*,*,*,あんまり,アンマリ,アンマリ,s
成績	名詞,一般,*,*,*,*,成績,セイセキ,セイセキ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
よく	副詞,一般,*,*,*,*,よく,ヨク,ヨク,s
なかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,ない,ナカッ,ナカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
、	記号,読点,*,*,*,*,、,、,、,s
平仮名	名詞,一般,*,*,*,*,平仮名,ヒラガナ,ヒラガナ,s
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
しか	助詞,係助詞,*,*,*,*,しか,シカ,シカ,s
覚え	動詞,自立,*,*,一段,連用形,覚える,オボエ,オボエ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
なかっ	助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
じゃ	接続詞,*,*,*,*,*,じゃ,ジャ,ジャ,i
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,i
、	記号,読点,*,*,*,*,、,、,、,i
学校	名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
まだ	副詞,助詞類接続,*,*,*,*,まだ,マダ,マダ,i
日本語	名詞,一般,*,*,*,*,日本語,ニホンゴ,ニホンゴ,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
全く	副詞,助詞類接続,*,*,*,*,全く,マッタク,マッタク,i
興味	名詞,一般,*,*,*,*,興味,キョウミ,キョーミ,i
なかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,ない,ナカッ,ナカッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
で	接続詞,*,*,*,*,*,で,デ,デ,i
、	記号,読点,*,*,*,*,、,、,、,i
日本語	名詞,一般,*,*,*,*,日本語,ニホンゴ,ニホンゴ,i
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,i
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,i
勉強	名詞,サ変接続,*,*,*,*,勉強,ベンキョウ,ベンキョー,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
いく	動詞,非自立,*,*,五段・カ行促音便,基本形,いく,イク,イク,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
当たっ	動詞,自立,*,*,五段・ラ行,連用タ接続,当たる,アタッ,アタッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
難しい	形容詞,自立,*,*,形容詞・イ段,基本形,難しい,ムズカシイ,ムズカシイ,i
と	助詞,格助詞,一般,*,*,*,と,ト,ト,i
思っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,思う,オモッ,オモッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
難しい	形容詞,自立,*,*,形容詞・イ段,基本形,難しい,ムズカシイ,ムズカシイ,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
発音	名詞,サ変接続,*,*,*,*,発音,ハツオン,ハツオン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
発音	名詞,サ変接続,*,*,*,*,発音,ハツオン,ハツオン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
「	記号,括弧開,*,*,*,*,「,「,「,s
じゃ	感動詞,*,*,*,*,*,じゃ,ジャ,ジャ,s
」	記号,括弧閉,*,*,*,*,」,」,」,s
と	助詞,接続助詞,*,*,*,*,と,ト,ト,s
「	記号,括弧開,*,*,*,*,「,「,「,s
ざ	名詞,*,*,*,*,*,*,*,*,s
」	記号,括弧閉,*,*,*,*,」,」,」,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
点	名詞,非自立,一般,*,*,*,点,テン,テン,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,s
、	記号,読点,*,*,*,*,、,、,、,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
でき	動詞,自立,*,*,一段,未然形,できる,デキ,デキ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
一緒	名詞,サ変接続,*,*,*,*,一緒,イッショ,イッショ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
、	記号,読点,*,*,*,*,、,、,、,s
同じ	連体詞,*,*,*,*,*,同じ,オナジ,オナジ,s
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
聞ける	動詞,自立,*,*,一段,基本形,聞ける,キケル,キケル,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
発音	名詞,サ変接続,*,*,*,*,発音,ハツオン,ハツオン,s
難しい	形容詞,自立,*,*,形容詞・イ段,基本形,難しい,ムズカシイ,ムズカシイ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
、	記号,読点,*,*,*,*,、,、,、,s
それと	接続詞,*,*,*,*,*,それと,ソレト,ソレト,s
漢字	名詞,一般,*,*,*,*,漢字,カンジ,カンジ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
漢字	名詞,一般,*,*,*,*,漢字,カンジ,カンジ,s
書く	動詞,自立,*,*,五段・カ行イ音便,基本形,書く,カク,カク,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
難しい	形容詞,自立,*,*,形容詞・イ段,基本形,難しい,ムズカシイ,ムズカシイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
韓国	名詞,固有名詞,地域,国,*,*,韓国,カンコク,カンコク,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
漢字	名詞,一般,*,*,*,*,漢字,カンジ,カンジ,s
使わ	動詞,自立,*,*,五段・ワ行促音便,未然形,使う,ツカワ,ツカワ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
使っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,使う,ツカッ,ツカッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン,s
と	助詞,並立助詞,*,*,*,*,と,ト,ト,s
漢字	名詞,一般,*,*,*,*,漢字,カンジ,カンジ,s
全然	副詞,助詞類接続,*,*,*,*,全然,ゼンゼン,ゼンゼン,s
違う	動詞,自立,*,*,五段・ワ行促音便,基本形,違う,チガウ,チガウ,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
台湾	名詞,固有名詞,地域,国,*,*,台湾,タイワン,タイワン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
漢字	名詞,一般,*,*,*,*,漢字,カンジ,カンジ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
一番	名詞,副詞可能,*,*,*,*,一番,イチバン,イチバン,s
難しい	形容詞,自立,*,*,形容詞・イ段,基本形,難しい,ムズカシイ,ムズカシイ,s
じゃん	助動詞,*,*,*,特殊・ジャ,基本形,じゃん,ジャン,ジャン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
次に	接続詞,*,*,*,*,*,次に,ツギニ,ツギニ,s
韓国	名詞,固有名詞,地域,国,*,*,韓国,カンコク,カンコク,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
漢字	名詞,一般,*,*,*,*,漢字,カンジ,カンジ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
難しく	形容詞,自立,*,*,形容詞・イ段,連用テ接続,難しい,ムズカシク,ムズカシク,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
次に	接続詞,*,*,*,*,*,次に,ツギニ,ツギニ,s
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
漢字	名詞,一般,*,*,*,*,漢字,カンジ,カンジ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
難しく	形容詞,自立,*,*,形容詞・イ段,連用テ接続,難しい,ムズカシク,ムズカシク,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
中国	名詞,一般,*,*,*,*,中国,チュウコク,チューコク,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
漢字	名詞,一般,*,*,*,*,漢字,カンジ,カンジ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
一番	名詞,副詞可能,*,*,*,*,一番,イチバン,イチバン,s
易しい	形容詞,自立,*,*,形容詞・イ段,基本形,易しい,ヤサシイ,ヤサシイ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
じゃ	助動詞,*,*,*,特殊・ジャ,未然形,じゃ,ジャ,ジャ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,i
難しい	形容詞,自立,*,*,形容詞・イ段,基本形,難しい,ムズカシイ,ムズカシイ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
難しい	形容詞,自立,*,*,形容詞・イ段,基本形,難しい,ムズカシイ,ムズカシイ,i
ん	助詞,終助詞,*,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,i
全く	副詞,助詞類接続,*,*,*,*,全く,マッタク,マッタク,i
違う	動詞,自立,*,*,五段・ワ行促音便,基本形,違う,チガウ,チガウ,i
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
形	名詞,一般,*,*,*,*,形,カタチ,カタチ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
形	名詞,一般,*,*,*,*,形,カタチ,カタチ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
、	記号,読点,*,*,*,*,、,、,、,i
字	名詞,一般,*,*,*,*,字,ジ,ジ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
似	動詞,自立,*,*,一段,連用形,似る,ニ,ニ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
なんか	助詞,副助詞,*,*,*,*,なんか,ナンカ,ナンカ,s
、	記号,読点,*,*,*,*,、,、,、,s
書く	動詞,自立,*,*,五段・カ行イ音便,基本形,書く,カク,カク,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
多い	形容詞,自立,*,*,形容詞・アウオ段,基本形,多い,オオイ,オーイ,s
