木村	名詞,固有名詞,人名,姓,*,*,木村,キムラ,キムラ,s
見合い	名詞,サ変接続,*,*,*,*,見合い,ミアイ,ミアイ,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
さあ	感動詞,*,*,*,*,*,さあ,サア,サー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
来	動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
感覚	名詞,一般,*,*,*,*,感覚,カンカク,カンカク,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
親	名詞,一般,*,*,*,*,親,オヤ,オヤ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
結婚	名詞,サ変接続,*,*,*,*,結婚,ケッコン,ケッコン,i
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,i
つもり	名詞,非自立,一般,*,*,*,つもり,ツモリ,ツモリ,i
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,i
、	記号,読点,*,*,*,*,、,、,、,i
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
、	記号,読点,*,*,*,*,、,、,、,s
ほんまに	副詞,一般,*,*,*,*,ほんまに,ホンマニ,ホンマニ,s
結婚	名詞,サ変接続,*,*,*,*,結婚,ケッコン,ケッコン,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
でき	動詞,自立,*,*,一段,未然形,できる,デキ,デキ,s
ひん	助動詞,*,*,*,特殊・ナイ,基本形・母音調和,へん,ヒン,ヒン,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
、	記号,読点,*,*,*,*,、,、,、,s
親	名詞,一般,*,*,*,*,親,オヤ,オヤ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
心配	名詞,サ変接続,*,*,*,*,心配,シンパイ,シンパイ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
入れ	動詞,自立,*,*,一段,連用形,入れる,イレ,イレ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
どっち	名詞,代名詞,一般,*,*,*,どっち,ドッチ,ドッチ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,ユー,s
と	助詞,接続助詞,*,*,*,*,と,ト,ト,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
、	記号,読点,*,*,*,*,、,、,、,s
かなり	名詞,一般,*,*,*,*,かなり,カナリ,カナリ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
手伝い	名詞,一般,*,*,*,*,手伝い,テツダイ,テツダイ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
必要	名詞,形容動詞語幹,*,*,*,*,必要,ヒツヨウ,ヒツヨー,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
たち	名詞,接尾,一般,*,*,*,たち,タチ,タチ,s
、	記号,読点,*,*,*,*,、,、,、,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
人見知り	名詞,一般,*,*,*,*,人見知り,ヒトミシリ,ヒトミシリ,i
、	記号,読点,*,*,*,*,、,、,、,i
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
喋ら	動詞,自立,*,*,五段・ラ行,未然形,喋る,シャベラ,シャベラ,i
れ	動詞,接尾,*,*,一段,未然形,れる,レ,レ,i
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
人見知り	名詞,一般,*,*,*,*,人見知り,ヒトミシリ,ヒトミシリ,s
、	記号,読点,*,*,*,*,、,、,、,s
そ	副詞,助詞類接続・短音化,*,*,*,*,そう,ソ,ソ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
、	記号,読点,*,*,*,*,、,、,、,s
喋ら	動詞,自立,*,*,五段・ラ行,未然形,喋る,シャベラ,シャベラ,s
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ,s
へん	名詞,非自立,一般,*,*,*,へん,ヘン,ヘン,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あー	フィラー,*,*,*,*,*,あー,アー,アー,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
そんなん	名詞,一般,副詞可能,*,*,*,そんなん,ソンナン,ソンナン,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
おる	動詞,自立,*,*,五段・ラ行,基本形,おる,オル,オル,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
コミュニケーション	名詞,一般,*,*,*,*,コミュニケーション,コミュニケーション,コミュニケーション,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
でき	動詞,自立,*,*,一段,未然形,できる,デキ,デキ,s
ひん	助動詞,*,*,*,特殊・ナイ,基本形・母音調和,へん,ヒン,ヒン,s
ね	名詞,非自立,*,*,*,縮約形,なの,ネ,ネ,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
やつ	名詞,代名詞,一般,*,*,*,やつ,ヤツ,ヤツ,s
ら	名詞,接尾,一般,*,*,*,ら,ラ,ラ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
苦手	名詞,形容動詞語幹,*,*,*,*,苦手,ニガテ,ニガテ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
、	記号,読点,*,*,*,*,、,、,、,s
女	名詞,一般,*,*,*,*,女,オンナ,オンナ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
、	記号,読点,*,*,*,*,、,、,、,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
ほんまに	副詞,一般,*,*,*,*,ほんまに,ホンマニ,ホンマニ,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
玉の輿	名詞,一般,*,*,*,*,玉の輿,タマノコシ,タマノコシ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
乗り	動詞,自立,*,*,五段・ラ行,連用形,乗る,ノリ,ノリ,s
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
が	接続詞,*,*,*,*,*,が,ガ,ガ,s
多かっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,多い,オオカッ,オーカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
ちゃう	動詞,自立,*,*,五段・特殊,基本形,ちゃう,チャウ,チャウ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
入っ	動詞,自立,*,*,五段・ラ行,連用タ接続,入る,ハイッ,ハイッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
、	記号,読点,*,*,*,*,、,、,、,s
半年	名詞,副詞可能,*,*,*,*,半年,ハントシ,ハントシ,s
くらい	助詞,副助詞,*,*,*,*,くらい,クライ,クライ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
婚活	名詞,サ変接続,*,*,*,*,婚活,コンカツ,コンカツ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
だーんて	副詞,一般,*,*,*,*,だーんて,ダーンテ,ダーンテ,s
、	記号,読点,*,*,*,*,、,、,、,s
なに	名詞,代名詞,一般,*,*,*,なに,ナニ,ナニ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
流行っ	動詞,自立,*,*,五段・ラ行,連用タ接続,流行る,ハヤッ,ハヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
すごい	形容詞,自立,*,*,形容詞・アウオ段,基本形,すごい,スゴイ,スゴイ,s
ばーって	副詞,一般,*,*,*,*,ばーって,バーッテ,バーッテ,s
で	動詞,自立,*,*,一段,連用形,でる,デ,デ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
き	動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そん	連体詞,*,*,*,*,*,その,ソン,ソン,s
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,s
ほら	感動詞,*,*,*,*,*,ほら,ホラ,ホラ,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
婚活	名詞,サ変接続,*,*,*,*,婚活,コンカツ,コンカツ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
言葉	名詞,一般,*,*,*,*,言葉,コトバ,コトバ,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
パーティ	名詞,サ変接続,*,*,*,*,パーティ,パーティ,パーティ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
来る	連体詞,*,*,*,*,*,来る,キタル,キタル,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
、	記号,読点,*,*,*,*,、,、,、,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
せ	副詞,助詞類接続・短音化,*,*,*,*,そう,セ,セ,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
、	記号,読点,*,*,*,*,、,、,、,i
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
流行っ	動詞,自立,*,*,五段・ラ行,連用タ接続,流行る,ハヤッ,ハヤッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
、	記号,読点,*,*,*,*,、,、,、,i
言葉	名詞,一般,*,*,*,*,言葉,コトバ,コトバ,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
、	記号,読点,*,*,*,*,、,、,、,s
婚活	名詞,サ変接続,*,*,*,*,婚活,コンカツ,コンカツ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
パーティ	名詞,サ変接続,*,*,*,*,パーティ,パーティ,パーティ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
行く	動詞,自立,*,*,五段・カ行促音便,基本形,行く,イク,イク,s
、	記号,読点,*,*,*,*,、,、,、,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
はやっ	動詞,自立,*,*,五段・ラ行,連用タ接続,はやる,ハヤッ,ハヤッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
んで	接続詞,*,*,*,*,*,んで,ンデ,ンデ,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
パーティ	名詞,サ変接続,*,*,*,*,パーティ,パーティ,パーティ,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
来	動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,ユー,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
まだ	副詞,助詞類接続,*,*,*,*,まだ,マダ,マダ,s
普通	名詞,形容動詞語幹,*,*,*,*,普通,フツウ,フツー,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
見た目	名詞,一般,*,*,*,*,見た目,ミタメ,ミタメ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
全然	副詞,助詞類接続,*,*,*,*,全然,ゼンゼン,ゼンゼン,s
普通	名詞,形容動詞語幹,*,*,*,*,普通,フツウ,フツー,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
かっこよく	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,かっこよい,カッコヨク,カッコヨク,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
、	記号,読点,*,*,*,*,、,、,、,s
ブサイク	名詞,形容動詞語幹,*,*,*,*,ブサイク,ブサイク,ブサイク,s
でも	助詞,副助詞,*,*,*,*,でも,デモ,デモ,s
かわいく	形容詞,自立,*,*,形容詞・イ段,連用テ接続,かわいい,カワイク,カワイク,s
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,s
、	記号,読点,*,*,*,*,、,、,、,s
うーん	感動詞,*,*,*,*,*,うーん,ウーン,ウーン,s
、	記号,読点,*,*,*,*,、,、,、,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
普通	名詞,形容動詞語幹,*,*,*,*,普通,フツウ,フツー,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
ら	名詞,接尾,一般,*,*,*,ら,ラ,ラ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
なんか	助詞,副助詞,*,*,*,*,なんか,ナンカ,ナンカ,s
、	記号,読点,*,*,*,*,、,、,、,s
入会	名詞,サ変接続,*,*,*,*,入会,ニュウカイ,ニューカイ,s
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,ユー,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
どことなく	副詞,一般,*,*,*,*,どことなく,ドコトナク,ドコトナク,s
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
持っ	動詞,自立,*,*,五段・タ行,連用タ接続,持つ,モッ,モッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
んで	接続詞,*,*,*,*,*,んで,ンデ,ンデ,i
どういう	連体詞,*,*,*,*,*,どういう,ドウイウ,ドーユウ,i
、	記号,読点,*,*,*,*,、,、,、,i
どういう	連体詞,*,*,*,*,*,どういう,ドウイウ,ドーユウ,i
プロセス	名詞,一般,*,*,*,*,プロセス,プロセス,プロセス,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	助詞,終助詞,*,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
最初	名詞,副詞可能,*,*,*,*,最初,サイショ,サイショ,s
二つ	名詞,一般,*,*,*,*,二つ,フタツ,フタツ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
やり方	名詞,一般,*,*,*,*,やり方,ヤリカタ,ヤリカタ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほんまに	副詞,一般,*,*,*,*,ほんまに,ホンマニ,ホンマニ,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
、	記号,読点,*,*,*,*,、,、,、,s
資料	名詞,一般,*,*,*,*,資料,シリョウ,シリョー,s
請求	名詞,サ変接続,*,*,*,*,請求,セイキュウ,セイキュー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
来社	名詞,サ変接続,*,*,*,*,来社,ライシャ,ライシャ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
説明	名詞,サ変接続,*,*,*,*,説明,セツメイ,セツメイ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
入れる	動詞,自立,*,*,一段,基本形,入れる,イレル,イレル,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,ユー,s
パターン	名詞,一般,*,*,*,*,パターン,パターン,パターン,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あと	名詞,一般,*,*,*,*,あと,アト,アト,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
パーティ	名詞,サ変接続,*,*,*,*,パーティ,パーティ,パーティ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
来	動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
最後	名詞,一般,*,*,*,*,最後,サイゴ,サイゴ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,s
でも	助詞,副助詞,*,*,*,*,でも,デモ,デモ,s
よう	形容詞,自立,*,*,形容詞・アウオ段ウ音便,連用テ接続,よい,ヨウ,ヨー,s
入る	動詞,自立,*,*,五段・ラ行,基本形,入る,ハイル,ハイル,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
思う	動詞,自立,*,*,五段・ワ行促音便,基本形,思う,オモウ,オモー,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
本人	名詞,一般,*,*,*,*,本人,ホンニン,ホンニン,s
ら	名詞,接尾,一般,*,*,*,ら,ラ,ラ,s
最初	名詞,一般,*,*,*,*,最初,サイショ,サイショ,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
パーティ	名詞,サ変接続,*,*,*,*,パーティ,パーティ,パーティ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
つもり	名詞,非自立,一般,*,*,*,つもり,ツモリ,ツモリ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
来	動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ,s
てん	動詞,非自立,*,*,一段撥音便,基本形・縮約形,て＋いる,テン,テン,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
んで	接続詞,*,*,*,*,*,んで,ンデ,ンデ,s
終わっ	動詞,自立,*,*,五段・ラ行,連用タ接続,終わる,オワッ,オワッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
だから	接続詞,*,*,*,*,*,だから,ダカラ,ダカラ,s
残念	名詞,形容動詞語幹,*,*,*,*,残念,ザンネン,ザンネン,s
ながら	助詞,接続助詞,*,*,*,*,ながら,ナガラ,ナガラ,s
カップル	名詞,一般,*,*,*,*,カップル,カップル,カップル,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
なら	動詞,自立,*,*,五段・ラ行,未然形,なる,ナラ,ナラ,s
へんかっ	助動詞,*,*,*,特殊・ナイ,連用タ接続,へん,ヘンカッ,ヘンカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
残し	動詞,自立,*,*,五段・サ行,連用形,残す,ノコシ,ノコシ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
それで	接続詞,*,*,*,*,*,それで,ソレデ,ソレデ,s
営業	名詞,サ変接続,*,*,*,*,営業,エイギョウ,エイギョー,s
ぶわー	副詞,一般,*,*,*,*,ぶわー,ブワー,ブワー,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
かけん	動詞,自立,*,*,一段撥音便,基本形,かける,カケン,カケン,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
え	感動詞,*,*,*,*,*,え,エ,エ,i
、	記号,読点,*,*,*,*,、,、,、,i
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
