普通	名詞,形容動詞語幹,*,*,*,*,普通,フツウ,フツー,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
したら	接続詞,*,*,*,*,*,したら,シタラ,シタラ,s
死ん	動詞,自立,*,*,五段・ナ行,連用タ接続,死ぬ,シン,シン,s
で	助詞,接続助詞,*,*,*,*,で,デ,デ,s
もう	動詞,非自立,*,*,五段・ワ行ウ音便,連用タ接続・縮約形,しまう,モウ,モー,s
とっ	動詞,非自立,*,*,五段・ラ行,基本形・縮約形・促音便,て＋おる,トッ,トッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
脳	名詞,一般,*,*,*,*,脳,ノウ,ノー,s
梗塞	名詞,サ変接続,*,*,*,*,梗塞,コウソク,コーソク,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
なんか	助詞,副助詞,*,*,*,*,なんか,ナンカ,ナンカ,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
別に	副詞,一般,*,*,*,*,別に,ベツニ,ベツニ,i
消防	名詞,一般,*,*,*,*,消防,ショウボウ,ショーボー,i
士	名詞,接尾,一般,*,*,*,士,シ,シ,i
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,i
関係	名詞,サ変接続,*,*,*,*,関係,カンケイ,カンケイ,i
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
関係	名詞,サ変接続,*,*,*,*,関係,カンケイ,カンケイ,s
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
消防	名詞,一般,*,*,*,*,消防,ショウボウ,ショーボー,s
士	名詞,接尾,一般,*,*,*,士,シ,シ,s
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
死ん	動詞,自立,*,*,五段・ナ行,連用タ接続,死ぬ,シン,シン,s
だ	助動詞,*,*,*,特殊・タ,基本形,だ,ダ,ダ,s
わけ	名詞,非自立,一般,*,*,*,わけ,ワケ,ワケ,s
じゃ	助動詞,*,*,*,特殊・ジャ,未然形,じゃ,ジャ,ジャ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
火事	名詞,一般,*,*,*,*,火事,カジ,カジ,s
消し	名詞,一般,*,*,*,*,消し,ケシ,ケシ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
巻き込ま	動詞,自立,*,*,五段・マ行,未然形,巻き込む,マキコマ,マキコマ,s
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
死ん	動詞,自立,*,*,五段・ナ行,連用タ接続,死ぬ,シン,シン,s
だ	助動詞,*,*,*,特殊・タ,基本形,だ,ダ,ダ,s
わけ	名詞,非自立,一般,*,*,*,わけ,ワケ,ワケ,s
じゃ	助動詞,*,*,*,特殊・ジャ,未然形,じゃ,ジャ,ジャ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
だから	接続詞,*,*,*,*,*,だから,ダカラ,ダカラ,s
そういう	連体詞,*,*,*,*,*,そういう,ソウイウ,ソーユウ,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
おる	動詞,自立,*,*,五段・ラ行,基本形,おる,オル,オル,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
、	記号,読点,*,*,*,*,、,、,、,s
辞め	動詞,自立,*,*,一段,連用形,辞める,ヤメ,ヤメ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
もん	名詞,非自立,一般,*,*,*,もん,モン,モン,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
おる	動詞,自立,*,*,五段・ラ行,基本形,おる,オル,オル,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
、	記号,読点,*,*,*,*,、,、,、,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
いろいろ	副詞,助詞類接続,*,*,*,*,いろいろ,イロイロ,イロイロ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,s
家	名詞,一般,*,*,*,*,家,イエ,イエ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
社長	名詞,一般,*,*,*,*,社長,シャチョウ,シャチョー,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
息子	名詞,一般,*,*,*,*,息子,ムスコ,ムスコ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
、	記号,読点,*,*,*,*,、,、,、,s
家	名詞,一般,*,*,*,*,家,イエ,イエ,s
継ぐ	動詞,自立,*,*,五段・ガ行,基本形,継ぐ,ツグ,ツグ,s
いう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ユウ,ユー,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
辞め	動詞,自立,*,*,一段,連用形,辞める,ヤメ,ヤメ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
いっ	動詞,非自立,*,*,五段・カ行促音便,連用タ接続,いく,イッ,イッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
もん	名詞,非自立,一般,*,*,*,もん,モン,モン,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
おる	動詞,自立,*,*,五段・ラ行,基本形,おる,オル,オル,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
、	記号,読点,*,*,*,*,、,、,、,i
結構	副詞,一般,*,*,*,*,結構,ケッコウ,ケッコー,i
少ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,少ない,スクナイ,スクナイ,i
ん	助詞,終助詞,*,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,i
一緒	名詞,サ変接続,*,*,*,*,一緒,イッショ,イッショ,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
続け	動詞,自立,*,*,一段,連用形,続ける,ツヅケ,ツズケ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,i
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
少ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,少ない,スクナイ,スクナイ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
じゃ	接続詞,*,*,*,*,*,じゃ,ジャ,ジャ,i
、	記号,読点,*,*,*,*,、,、,、,i
一番	名詞,副詞可能,*,*,*,*,一番,イチバン,イチバン,i
辛かっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,辛い,ツラカッ,ツラカッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
会社	名詞,一般,*,*,*,*,会社,カイシャ,カイシャ,i
入っ	動詞,自立,*,*,五段・ラ行,連用タ接続,入る,ハイッ,ハイッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
一番	名詞,副詞可能,*,*,*,*,一番,イチバン,イチバン,s
つらかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,つらい,ツラカッ,ツラカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
EOS
一番	名詞,副詞可能,*,*,*,*,一番,イチバン,イチバン,i
きつかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,きつい,キツカッ,キツカッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
やつ	名詞,代名詞,一般,*,*,*,やつ,ヤツ,ヤツ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
今まで	副詞,一般,*,*,*,*,今まで,イママデ,イママデ,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
一番	名詞,副詞可能,*,*,*,*,一番,イチバン,イチバン,s
辛かっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,辛い,ツラカッ,ツラカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
きつかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,きつい,キツカッ,キツカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
やっぱり	副詞,一般,*,*,*,*,やっぱり,ヤッパリ,ヤッパリ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
危ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,危ない,アブナイ,アブナイ,s
仕事	名詞,サ変接続,*,*,*,*,仕事,シゴト,シゴト,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
よる	動詞,非自立,*,*,五段・ラ行,基本形,よる,ヨル,ヨル,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
いやいや	副詞,一般,*,*,*,*,いやいや,イヤイヤ,イヤイヤ,s
危ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,危ない,アブナイ,アブナイ,s
仕事	名詞,サ変接続,*,*,*,*,仕事,シゴト,シゴト,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
とき	名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ,s
いう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ユウ,ユー,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,s
わから	動詞,自立,*,*,五段・ラ行,未然形,わかる,ワカラ,ワカラ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
かも	助詞,副助詞,*,*,*,*,かも,カモ,カモ,s
しら	動詞,自立,*,*,五段・ラ行,未然形,しる,シラ,シラ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
ベルト	名詞,一般,*,*,*,*,ベルト,ベルト,ベルト,s
コンベア	名詞,一般,*,*,*,*,コンベア,コンベア,コンベア,s
いう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ユウ,ユー,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
わかる	動詞,自立,*,*,五段・ラ行,基本形,わかる,ワカル,ワカル,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
ベルト	名詞,一般,*,*,*,*,ベルト,ベルト,ベルト,s
コンベア	名詞,一般,*,*,*,*,コンベア,コンベア,コンベア,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
やつ	名詞,代名詞,一般,*,*,*,やつ,ヤツ,ヤツ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
高炉	名詞,一般,*,*,*,*,高炉,コウロ,コーロ,s
いう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ユウ,ユー,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
鉄鉱	名詞,一般,*,*,*,*,鉄鉱,テッコウ,テッコー,s
石	名詞,接尾,助数詞,*,*,*,石,セキ,セキ,s
、	記号,読点,*,*,*,*,、,、,、,s
高炉	名詞,一般,*,*,*,*,高炉,コウロ,コーロ,s
つくる	動詞,自立,*,*,五段・ラ行,基本形,つくる,ツクル,ツクル,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
鉄鋼	名詞,一般,*,*,*,*,鉄鋼,テッコウ,テッコー,s
石	名詞,接尾,助数詞,*,*,*,石,セキ,セキ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
石	名詞,一般,*,*,*,*,石,イシ,イシ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
あん	動詞,自立,*,*,五段・ラ行撥音便,基本形,ある,アン,アン,s
ね	名詞,非自立,*,*,*,縮約形,なの,ネ,ネ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
高炉	名詞,一般,*,*,*,*,高炉,コウロ,コーロ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
たてもん	名詞,一般,*,*,*,*,たてもん,タテモン,タテモン,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
あん	動詞,自立,*,*,五段・ラ行撥音便,基本形,ある,アン,アン,s
ね	名詞,非自立,*,*,*,縮約形,なの,ネ,ネ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
鉄	名詞,一般,*,*,*,*,鉄,テツ,テツ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
つくる	動詞,自立,*,*,五段・ラ行,基本形,つくる,ツクル,ツクル,s
、	記号,読点,*,*,*,*,、,、,、,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
一番	名詞,副詞可能,*,*,*,*,一番,イチバン,イチバン,s
頂上	名詞,一般,*,*,*,*,頂上,チョウジョウ,チョージョー,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
鉄鉱	名詞,一般,*,*,*,*,鉄鉱,テッコウ,テッコー,s
石	名詞,接尾,助数詞,*,*,*,石,セキ,セキ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
落とさ	動詞,自立,*,*,五段・サ行,未然形,落とす,オトサ,オトサ,s
な	助動詞,*,*,*,特殊・ナイ,仮定形・縮約形,な,ナ,ナ,s
あか	動詞,非自立,*,*,五段・カ行イ音便,未然形,あく,アカ,アカ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
わけ	名詞,非自立,一般,*,*,*,わけ,ワケ,ワケ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
落とさ	動詞,自立,*,*,五段・サ行,未然形,落とす,オトサ,オトサ,s
な	助動詞,*,*,*,特殊・ナイ,仮定形・縮約形,な,ナ,ナ,s
あか	動詞,非自立,*,*,五段・カ行イ音便,未然形,あく,アカ,アカ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
、	記号,読点,*,*,*,*,、,、,、,s
鉄鉱	名詞,一般,*,*,*,*,鉄鉱,テッコウ,テッコー,s
石	名詞,接尾,助数詞,*,*,*,石,セキ,セキ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
この	連体詞,*,*,*,*,*,この,コノ,コノ,s
ベルト	名詞,一般,*,*,*,*,ベルト,ベルト,ベルト,s
コンベア	名詞,一般,*,*,*,*,コンベア,コンベア,コンベア,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
運ぶ	動詞,自立,*,*,五段・バ行,基本形,運ぶ,ハコブ,ハコブ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
地上	名詞,一般,*,*,*,*,地上,チジョウ,チジョー,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
八	名詞,数,*,*,*,*,八,ハチ,ハチ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
メーター	名詞,一般,*,*,*,*,メーター,メーター,メーター,s
くらい	助詞,副助詞,*,*,*,*,くらい,クライ,クライ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
上	名詞,非自立,副詞可能,*,*,*,上,ウエ,ウエ,s
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ,s
坂道	名詞,一般,*,*,*,*,坂道,サカミチ,サカミチ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
ゴーッと	副詞,一般,*,*,*,*,ゴーッと,ゴーット,ゴーット,s
上っ	動詞,自立,*,*,五段・ラ行,連用タ接続,上る,ノボッ,ノボッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
どぼどぼと	副詞,一般,*,*,*,*,どぼどぼと,ドボドボト,ドボドボト,s
落とす	動詞,自立,*,*,五段・サ行,基本形,落とす,オトス,オトス,s
わけ	名詞,非自立,一般,*,*,*,わけ,ワケ,ワケ,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほな	接続詞,*,*,*,*,*,ほな,ホナ,ホナ,s
下	名詞,一般,*,*,*,*,下,シタ,シタ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
鉄	名詞,一般,*,*,*,*,鉄,テツ,テツ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
溶け	動詞,自立,*,*,一段,連用形,溶ける,トケ,トケ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
赤い	形容詞,自立,*,*,形容詞・アウオ段,基本形,赤い,アカイ,アカイ,s
ドロドロ	副詞,一般,*,*,*,*,ドロドロ,ドロドロ,ドロドロ,s
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
とこ	名詞,一般,*,*,*,*,とこ,トコ,トコ,s
ボトボト	副詞,一般,*,*,*,*,ボトボト,ボトボト,ボトボト,s
落とし	動詞,自立,*,*,五段・サ行,連用形,落とす,オトシ,オトシ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
いく	動詞,非自立,*,*,五段・カ行促音便,基本形,いく,イク,イク,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
コンベア	名詞,一般,*,*,*,*,コンベア,コンベア,コンベア,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
やつ	名詞,代名詞,一般,*,*,*,やつ,ヤツ,ヤツ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
、	記号,読点,*,*,*,*,、,、,、,s
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,s
高	形容詞,自立,*,*,形容詞・アウオ段,ガル接続,高い,タカ,タカ,s
さ	名詞,接尾,特殊,*,*,*,さ,サ,サ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
、	記号,読点,*,*,*,*,、,、,、,s
ほら	感動詞,*,*,*,*,*,ほら,ホラ,ホラ,s
、	記号,読点,*,*,*,*,、,、,、,s
下	名詞,一般,*,*,*,*,下,シタ,シタ,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
上	名詞,非自立,副詞可能,*,*,*,上,ウエ,ウエ,s
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ,s
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,s
メーター	名詞,一般,*,*,*,*,メーター,メーター,メーター,s
くらい	助詞,副助詞,*,*,*,*,くらい,クライ,クライ,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
二	名詞,数,*,*,*,*,二,ニ,ニ,s
百	名詞,数,*,*,*,*,百,ヒャク,ヒャク,s
メーター	名詞,一般,*,*,*,*,メーター,メーター,メーター,s
、	記号,読点,*,*,*,*,、,、,、,s
三	名詞,数,*,*,*,*,三,サン,サン,s
百	名詞,数,*,*,*,*,百,ヒャク,ヒャク,s
メーター	名詞,一般,*,*,*,*,メーター,メーター,メーター,s
くらい	助詞,副助詞,*,*,*,*,くらい,クライ,クライ,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
コンベア	名詞,一般,*,*,*,*,コンベア,コンベア,コンベア,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
間	名詞,一般,*,*,*,*,間,マ,マ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
六	名詞,数,*,*,*,*,六,ロク,ロク,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
メーター	名詞,一般,*,*,*,*,メーター,メーター,メーター,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
五	名詞,数,*,*,*,*,五,ゴ,ゴ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
メーター	名詞,一般,*,*,*,*,メーター,メーター,メーター,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
間	名詞,一般,*,*,*,*,間,マ,マ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
ところ	名詞,非自立,副詞可能,*,*,*,ところ,トコロ,トコロ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
コンベア	名詞,一般,*,*,*,*,コンベア,コンベア,コンベア,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
下	名詞,一般,*,*,*,*,下,シタ,シタ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
床	名詞,一般,*,*,*,*,床,ユカ,ユカ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
腐っ	動詞,自立,*,*,五段・ラ行,連用タ接続,腐る,クサッ,クサッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
もう	動詞,非自立,*,*,五段・ワ行ウ音便,連用タ接続・縮約形,しまう,モウ,モー,s
とる	動詞,非自立,*,*,五段・ラ行,基本形・縮約形,て＋おる,トル,トル,s
いう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ユウ,ユー,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
で	接続詞,*,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
また	副詞,助詞類接続,*,*,*,*,また,マタ,マタ,s
取り替え	動詞,自立,*,*,一段,未然形,取り替える,トリカエ,トリカエ,s
な	助動詞,*,*,*,特殊・ナイ,仮定形・縮約形,な,ナ,ナ,s
あか	動詞,非自立,*,*,五段・カ行イ音便,未然形,あく,アカ,アカ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,s
で	助詞,接続助詞,*,*,*,*,で,デ,デ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
取り替える	動詞,自立,*,*,一段,基本形,取り替える,トリカエル,トリカエル,s
