ほんで	接続詞,*,*,*,*,*,ほんで,ホンデ,ホンデ,i
一番	名詞,副詞可能,*,*,*,*,一番,イチバン,イチバン,s
安定	名詞,形容動詞語幹,*,*,*,*,安定,アンテイ,アンテイ,s
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
、	記号,読点,*,*,*,*,、,、,、,s
まぁ	副詞,一般,*,*,*,*,まあ,マア,マー,s
大人	名詞,一般,*,*,*,*,大人,オトナ,オトナ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
ママ	名詞,一般,*,*,*,*,ママ,ママ,ママ,s
たち	名詞,接尾,一般,*,*,*,たち,タチ,タチ,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
見	動詞,自立,*,*,一段,連用形,見る,ミ,ミ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
、	記号,読点,*,*,*,*,、,、,、,s
一番	名詞,副詞可能,*,*,*,*,一番,イチバン,イチバン,s
望む	動詞,自立,*,*,五段・マ行,基本形,望む,ノゾム,ノゾム,s
職業	名詞,一般,*,*,*,*,職業,ショクギョウ,ショクギョー,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
そういう	連体詞,*,*,*,*,*,そういう,ソウイウ,ソーユウ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
地味	名詞,形容動詞語幹,*,*,*,*,地味,ジミ,ジミ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
嫌	名詞,形容動詞語幹,*,*,*,*,嫌,イヤ,イヤ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
警察官	名詞,一般,*,*,*,*,警察官,ケイサツカン,ケイサツカン,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
武道	名詞,一般,*,*,*,*,武道,ブドウ,ブドー,s
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,i
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,i
と	助詞,接続助詞,*,*,*,*,と,ト,ト,i
無理	名詞,形容動詞語幹,*,*,*,*,無理,ムリ,ムリ,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
あんな	連体詞,*,*,*,*,*,あんな,アンナ,アンナ,s
弱い	形容詞,自立,*,*,形容詞・アウオ段,基本形,弱い,ヨワイ,ヨワイ,s
心	名詞,一般,*,*,*,*,心,ココロ,ココロ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
無理	名詞,形容動詞語幹,*,*,*,*,無理,ムリ,ムリ,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
武道	名詞,一般,*,*,*,*,武道,ブドウ,ブドー,i
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,i
と	助詞,接続助詞,*,*,*,*,と,ト,ト,i
むり	感動詞,*,*,*,*,*,むり,ムリ,ムリ,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
ミッション	名詞,一般,*,*,*,*,ミッション,ミッション,ミッション,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
免許	名詞,サ変接続,*,*,*,*,免許,メンキョ,メンキョ,i
もっ	動詞,自立,*,*,五段・タ行,連用タ接続,もつ,モッ,モッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,i
いける	動詞,自立,*,*,一段,基本形,いける,イケル,イケル,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
と	助詞,格助詞,一般,*,*,*,と,ト,ト,i
思っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,思う,オモッ,オモッ,i
とっ	動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋おる,トッ,トッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
武道	名詞,一般,*,*,*,*,武道,ブドウ,ブドー,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
いる	動詞,自立,*,*,五段・ラ行,基本形,いる,イル,イル,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
いまさら	副詞,助詞類接続,*,*,*,*,いまさら,イマサラ,イマサラ,s
警察官	名詞,一般,*,*,*,*,警察官,ケイサツカン,ケイサツカン,s
なんて	助詞,副助詞,*,*,*,*,なんて,ナンテ,ナンテ,s
無理	名詞,形容動詞語幹,*,*,*,*,無理,ムリ,ムリ,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
知ら	動詞,自立,*,*,五段・ラ行,未然形,知る,シラ,シラ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
すごい	副詞,一般,*,*,*,*,すごい,スゴイ,スゴイ,s
頑張っ	動詞,自立,*,*,五段・ラ行,連用タ接続,頑張る,ガンバッ,ガンバッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,s
、	記号,読点,*,*,*,*,、,、,、,s
公務員	名詞,一般,*,*,*,*,公務員,コウムイン,コームイン,s
試験	名詞,サ変接続,*,*,*,*,試験,シケン,シケン,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
受け	動詞,自立,*,*,一段,連用形,受ける,ウケ,ウケ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
公務員	名詞,一般,*,*,*,*,公務員,コウムイン,コームイン,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
なれ	動詞,自立,*,*,五段・ラ行,仮定形,なる,ナレ,ナレ,s
ば	助詞,接続助詞,*,*,*,*,ば,バ,バ,s
いい	形容詞,非自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,s
のに	助詞,接続助詞,*,*,*,*,のに,ノニ,ノニ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
前	名詞,副詞可能,*,*,*,*,前,マエ,マエ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,s
、	記号,読点,*,*,*,*,、,、,、,s
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
すごい	副詞,一般,*,*,*,*,すごい,スゴイ,スゴイ,s
かな	名詞,固有名詞,人名,名,*,*,かな,カナ,カナ,s
、	記号,読点,*,*,*,*,、,、,、,s
ママ	名詞,一般,*,*,*,*,ママ,ママ,ママ,s
と	助詞,並立助詞,*,*,*,*,と,ト,ト,s
パパ	名詞,一般,*,*,*,*,パパ,パパ,パパ,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
叱ら	動詞,自立,*,*,五段・ラ行,未然形,叱る,シカラ,シカラ,s
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
とき	名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
成績	名詞,一般,*,*,*,*,成績,セイセキ,セイセキ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
下がっ	動詞,自立,*,*,五段・ラ行,連用タ接続,下がる,サガッ,サガッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
バイト	名詞,一般,*,*,*,*,バイト,バイト,バイト,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
やめる	動詞,自立,*,*,一段,基本形,やめる,ヤメル,ヤメル,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
、	記号,読点,*,*,*,*,、,、,、,s
やめ	動詞,自立,*,*,一段,未然形,やめる,ヤメ,ヤメ,s
へんかっ	助動詞,*,*,*,特殊・ナイ,連用タ接続,へん,ヘンカッ,ヘンカッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
話	名詞,サ変接続,*,*,*,*,話,ハナシ,ハナシ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
とき	名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
、	記号,読点,*,*,*,*,、,、,、,s
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
お前	名詞,代名詞,一般,*,*,*,お前,オマエ,オマエ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
約束	名詞,サ変接続,*,*,*,*,約束,ヤクソク,ヤクソク,s
でき	動詞,自立,*,*,一段,連用形,できる,デキ,デキ,s
とん	動詞,非自立,*,*,五段・ラ行撥音便,基本形・縮約形,て＋おる,トン,トン,s
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
ママ	名詞,一般,*,*,*,*,ママ,ママ,ママ,s
と	助詞,並立助詞,*,*,*,*,と,ト,ト,s
パパ	名詞,一般,*,*,*,*,パパ,パパ,パパ,s
と	助詞,並立助詞,*,*,*,*,と,ト,ト,s
、	記号,読点,*,*,*,*,、,、,、,s
バイト	名詞,一般,*,*,*,*,バイト,バイト,バイト,s
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,s
前	名詞,副詞可能,*,*,*,*,前,マエ,マエ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
これ	名詞,代名詞,一般,*,*,*,これ,コレ,コレ,s
だけ	助詞,副助詞,*,*,*,*,だけ,ダケ,ダケ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
言っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,言う,ユッ,ユッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
約束	名詞,サ変接続,*,*,*,*,約束,ヤクソク,ヤクソク,s
でき	動詞,自立,*,*,一段,連用形,できる,デキ,デキ,s
とん	動詞,非自立,*,*,五段・ラ行撥音便,基本形・縮約形,て＋おる,トン,トン,s
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
言っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,言う,ユッ,ユッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
とき	名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
、	記号,読点,*,*,*,*,、,、,、,s
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン,s
でも	助詞,副助詞,*,*,*,*,でも,デモ,デモ,s
出来	動詞,自立,*,*,一段,連用形,出来る,デキ,デキ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
認め	動詞,自立,*,*,一段,連用形,認める,ミトメ,ミトメ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
始め	動詞,自立,*,*,一段,連用形,始める,ハジメ,ハジメ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
や	助詞,終助詞,*,*,*,*,や,ヤ,ヤ,i
、	記号,読点,*,*,*,*,、,、,、,i
かな	名詞,固有名詞,人名,名,*,*,かな,カナ,カナ,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
人生	名詞,一般,*,*,*,*,人生,ジンセイ,ジンセイ,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
認め	動詞,自立,*,*,一段,連用形,認める,ミトメ,ミトメ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
なんて	助詞,副助詞,*,*,*,*,なんて,ナンテ,ナンテ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
否	名詞,一般,*,*,*,*,否,イナ,イナ,i
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,i
認め	動詞,自立,*,*,一段,連用形,認める,ミトメ,ミトメ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
人生	名詞,一般,*,*,*,*,人生,ジンセイ,ジンセイ,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
初め	動詞,自立,*,*,一段,連用形,初める,ソメ,ソメ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
や	助詞,終助詞,*,*,*,*,や,ヤ,ヤ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
せ	副詞,助詞類接続・短音化,*,*,*,*,そう,セ,セ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
そん	連体詞,*,*,*,*,*,その,ソン,ソン,s
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
、	記号,読点,*,*,*,*,、,、,、,s
まぁ	感動詞,*,*,*,*,*,まぁ,マァ,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
ママ	名詞,一般,*,*,*,*,ママ,ママ,ママ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
パパ	名詞,一般,*,*,*,*,パパ,パパ,パパ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
あんた	名詞,代名詞,一般,*,*,*,あんた,アンタ,アンタ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
将来	名詞,副詞可能,*,*,*,*,将来,ショウライ,ショーライ,s
どんな	連体詞,*,*,*,*,*,どんな,ドンナ,ドンナ,s
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
なり	動詞,自立,*,*,五段・ラ行,連用形,なる,ナリ,ナリ,s
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
、	記号,読点,*,*,*,*,、,、,、,s
一切	名詞,一般,*,*,*,*,一切,イッサイ,イッサイ,s
干渉	名詞,サ変接続,*,*,*,*,干渉,カンショウ,カンショー,s
せえ	動詞,自立,*,*,サ変・スル,未然形・長音化,する,セエ,セー,s
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,s
で	助詞,終助詞,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
生きれ	動詞,自立,*,*,一段,仮定形,生きる,イキレ,イキレ,s
ば	助詞,接続助詞,*,*,*,*,ば,バ,バ,s
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
風	名詞,非自立,形容動詞語幹,*,*,*,風,フウ,フー,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
言う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,言う,ユウ,ユー,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
せ	副詞,助詞類接続・短音化,*,*,*,*,そう,セ,セ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けども	助詞,接続助詞,*,*,*,*,けども,ケドモ,ケドモ,s
、	記号,読点,*,*,*,*,、,、,、,s
まぁ	感動詞,*,*,*,*,*,まぁ,マァ,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
大学	名詞,一般,*,*,*,*,大学,ダイガク,ダイガク,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
県外	名詞,一般,*,*,*,*,県外,ケンガイ,ケンガイ,s
出	動詞,自立,*,*,一段,連用形,出る,デ,デ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
くん	動詞,非自立,*,*,カ変・クル撥音便,基本形,くる,クン,クン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
、	記号,読点,*,*,*,*,、,、,、,s
出	動詞,自立,*,*,一段,連用形,出る,デ,デ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
か	動詞,非自立,*,*,五段・カ行促音便,未然形・縮約形,いく,カ,カ,s
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,s
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
しら	動詞,自立,*,*,五段・ラ行,未然形,しる,シラ,シラ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
この	連体詞,*,*,*,*,*,この,コノ,コノ,s
高校	名詞,一般,*,*,*,*,高校,コウコウ,コーコー,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
間	名詞,一般,*,*,*,*,間,マ,マ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
ママ	名詞,一般,*,*,*,*,ママ,ママ,ママ,s
と	助詞,並立助詞,*,*,*,*,と,ト,ト,s
パパ	名詞,一般,*,*,*,*,パパ,パパ,パパ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
嫌	名詞,形容動詞語幹,*,*,*,*,嫌,イヤ,イヤ,s
かも	助詞,副助詞,*,*,*,*,かも,カモ,カモ,s
しれ	動詞,自立,*,*,一段,未然形,しれる,シレ,シレ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
やっぱり	副詞,一般,*,*,*,*,やっぱり,ヤッパリ,ヤッパリ,s
、	記号,読点,*,*,*,*,、,、,、,s
いろんな	連体詞,*,*,*,*,*,いろんな,イロンナ,イロンナ,s
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,s
言う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,言う,ユウ,ユー,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
かんと	副詞,一般,*,*,*,*,かんと,カント,カント,s
、	記号,読点,*,*,*,*,、,、,、,s
あんた	名詞,代名詞,一般,*,*,*,あんた,アンタ,アンタ,s
出来	動詞,自立,*,*,一段,連用形,出来る,デキ,デキ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
口やかましく	形容詞,自立,*,*,形容詞・イ段,連用テ接続,口やかましい,クチヤカマシク,クチヤカマシク,s
言う	動詞,自立,*,*,五段・ワ行促音便,基本形,言う,ユウ,ユー,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
先	名詞,一般,*,*,*,*,先,サキ,サキ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
高校	名詞,一般,*,*,*,*,高校,コウコウ,コーコー,s
出	動詞,自立,*,*,一段,連用形,出る,デ,デ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
、	記号,読点,*,*,*,*,、,、,、,s
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
すれ	動詞,自立,*,*,サ変・スル,仮定形,する,スレ,スレ,s
ば	助詞,接続助詞,*,*,*,*,ば,バ,バ,s
いい	形容詞,非自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
、	記号,読点,*,*,*,*,、,、,、,s
出	動詞,自立,*,*,一段,連用形,出る,デ,デ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
、	記号,読点,*,*,*,*,、,、,、,s
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
すれ	動詞,自立,*,*,サ変・スル,仮定形,する,スレ,スレ,s
ば	助詞,接続助詞,*,*,*,*,ば,バ,バ,s
いい	形容詞,非自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
話	名詞,サ変接続,*,*,*,*,話,ハナシ,ハナシ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
、	記号,読点,*,*,*,*,、,、,、,s
多分	副詞,一般,*,*,*,*,多分,タブン,タブン,s
家	名詞,一般,*,*,*,*,家,イエ,イエ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
おる	動詞,自立,*,*,五段・ラ行,基本形,おる,オル,オル,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
思う	動詞,自立,*,*,五段・ワ行促音便,基本形,思う,オモウ,オモー,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
言っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,言う,ユッ,ユッ,s
とっ	動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋おる,トッ,トッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
言っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,言う,ユッ,ユッ,i
