名前	名詞,一般,*,*,*,*,名前,ナマエ,ナマエ,i
ひんかっ	助動詞,*,*,*,特殊・ナイ,連用タ接続・母音調和,へん,ヒンカッ,ヒンカッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
出来	動詞,自立,*,*,一段,未然形,出来る,デキ,デキ,s
ひん	助動詞,*,*,*,特殊・ナイ,基本形・母音調和,へん,ヒン,ヒン,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
また	副詞,助詞類接続,*,*,*,*,また,マタ,マタ,s
ゆわ	動詞,自立,*,*,五段・ワ行促音便,未然形,いう,イワ,ユワ,s
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
気	名詞,一般,*,*,*,*,気,キ,キ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
、	記号,読点,*,*,*,*,、,、,、,s
で	接続詞,*,*,*,*,*,で,デ,デ,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
ほとんど	副詞,一般,*,*,*,*,ほとんど,ホトンド,ホトンド,s
出来	動詞,自立,*,*,一段,未然形,出来る,デキ,デキ,s
ひん	助動詞,*,*,*,特殊・ナイ,基本形・母音調和,へん,ヒン,ヒン,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
、	記号,読点,*,*,*,*,、,、,、,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,s
、	記号,読点,*,*,*,*,、,、,、,s
全部	名詞,副詞可能,*,*,*,*,全部,ゼンブ,ゼンブ,s
無理	名詞,形容動詞語幹,*,*,*,*,無理,ムリ,ムリ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
やる	動詞,自立,*,*,五段・ラ行,基本形,やる,ヤル,ヤル,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
余計	副詞,一般,*,*,*,*,余計,ヨケイ,ヨケイ,s
しんどい	形容詞,自立,*,*,形容詞・アウオ段,基本形,しんどい,シンドイ,シンドイ,s
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
気	名詞,非自立,一般,*,*,*,気,キ,キ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
だから	接続詞,*,*,*,*,*,だから,ダカラ,ダカラ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
店長	名詞,一般,*,*,*,*,店長,テンチョウ,テンチョー,s
はよ	形容詞,自立,*,*,形容詞・アウオ段ウ音便,連用テ接続,はやい,ハヨ,ハヨ,s
変わっ	動詞,自立,*,*,五段・ラ行,連用タ接続,変わる,カワッ,カワッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
欲しい	形容詞,非自立,*,*,形容詞・イ段,基本形,欲しい,ホシイ,ホシイ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
思っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,思う,オモッ,オモッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
と	助詞,並立助詞,*,*,*,*,と,ト,ト,s
、	記号,読点,*,*,*,*,、,、,、,s
ほんで	接続詞,*,*,*,*,*,ほんで,ホンデ,ホンデ,s
、	記号,読点,*,*,*,*,、,、,、,s
仕事	名詞,サ変接続,*,*,*,*,仕事,シゴト,シゴト,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
仕事	名詞,サ変接続,*,*,*,*,仕事,シゴト,シゴト,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
別に	副詞,一般,*,*,*,*,別に,ベツニ,ベツニ,s
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,s
、	記号,読点,*,*,*,*,、,、,、,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
、	記号,読点,*,*,*,*,、,、,、,s
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
まー	フィラー,*,*,*,*,*,まー,マー,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
皆	名詞,代名詞,一般,*,*,*,皆,ミナ,ミナ,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
バランス	名詞,一般,*,*,*,*,バランス,バランス,バランス,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
違い	動詞,自立,*,*,五段・ワ行促音便,連用形,違う,チガイ,チガイ,s
過ぎ	動詞,非自立,*,*,一段,連用形,過ぎる,スギ,スギ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
不満	名詞,形容動詞語幹,*,*,*,*,不満,フマン,フマン,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
そこ	名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
公平	名詞,一般,*,*,*,*,公平,コウヘイ,コーヘイ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
ちゃんと	副詞,一般,*,*,*,*,ちゃんと,チャント,チャント,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
くれれ	動詞,非自立,*,*,一段・クレル,仮定形,くれる,クレレ,クレレ,s
ば	助詞,接続助詞,*,*,*,*,ば,バ,バ,s
いい	形容詞,非自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
思う	動詞,自立,*,*,五段・ワ行促音便,基本形,思う,オモウ,オモー,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
けども	助詞,接続助詞,*,*,*,*,けども,ケドモ,ケドモ,s
、	記号,読点,*,*,*,*,、,、,、,s
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
店長	名詞,一般,*,*,*,*,店長,テンチョウ,テンチョー,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
、	記号,読点,*,*,*,*,、,、,、,s
絶対	副詞,一般,*,*,*,*,絶対,ゼッタイ,ゼッタイ,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
、	記号,読点,*,*,*,*,、,、,、,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
くれ	動詞,非自立,*,*,一段・クレル,連用形,くれる,クレ,クレ,s
そう	名詞,接尾,助動詞語幹,*,*,*,そう,ソウ,ソー,s
に	動詞,自立,*,*,一段,未然形,にる,ニ,ニ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
早く	名詞,一般,*,*,*,*,早く,ハヤク,ハヤク,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
移動	名詞,サ変接続,*,*,*,*,移動,イドウ,イドー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
欲しい	形容詞,非自立,*,*,形容詞・イ段,基本形,欲しい,ホシイ,ホシイ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
店長	名詞,一般,*,*,*,*,店長,テンチョウ,テンチョー,s
変わっ	動詞,自立,*,*,五段・ラ行,連用タ接続,変わる,カワッ,カワッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
欲しい	形容詞,非自立,*,*,形容詞・イ段,基本形,欲しい,ホシイ,ホシイ,s
と	助詞,接続助詞,*,*,*,*,と,ト,ト,s
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
希望	名詞,サ変接続,*,*,*,*,希望,キボウ,キボー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
はい	感動詞,*,*,*,*,*,はい,ハイ,ハイ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
、	記号,読点,*,*,*,*,、,、,、,i
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,i
教え	動詞,自立,*,*,一段,連用形,教える,オシエ,オシエ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
下さい	動詞,非自立,*,*,五段・ラ行特殊,連用形,下さる,クダサイ,クダサイ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
えー	フィラー,*,*,*,*,*,えー,エー,エー,s
、	記号,読点,*,*,*,*,、,、,、,s
一番	名詞,副詞可能,*,*,*,*,一番,イチバン,イチバン,s
、	記号,読点,*,*,*,*,、,、,、,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
そんなに	副詞,一般,*,*,*,*,そんなに,ソンナニ,ソンナニ,s
友達	名詞,一般,*,*,*,*,友達,トモダチ,トモダチ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
い	動詞,自立,*,*,一段,未然形,いる,イ,イ,s
なく	助動詞,*,*,*,特殊・ナイ,連用テ接続,ない,ナク,ナク,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
えーと	フィラー,*,*,*,*,*,えーと,エート,エート,s
、	記号,読点,*,*,*,*,、,、,、,s
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,s
仕事	名詞,サ変接続,*,*,*,*,仕事,シゴト,シゴト,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
、	記号,読点,*,*,*,*,、,、,、,s
まー	フィラー,*,*,*,*,*,まー,マー,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
所	名詞,非自立,副詞可能,*,*,*,所,トコロ,トコロ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ,s
友達	名詞,一般,*,*,*,*,友達,トモダチ,トモダチ,s
て	助詞,格助詞・縮約形,引用,*,*,*,って,テ,テ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
、	記号,読点,*,*,*,*,、,、,、,s
まー	フィラー,*,*,*,*,*,まー,マー,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,s
付き合い	名詞,一般,*,*,*,*,付き合い,ツキアイ,ツキアイ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,s
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
だから	接続詞,*,*,*,*,*,だから,ダカラ,ダカラ,s
唯一	副詞,助詞類接続,*,*,*,*,唯一,ユイイツ,ユイイツ,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
友達	名詞,一般,*,*,*,*,友達,トモダチ,トモダチ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
い	動詞,自立,*,*,一段,連用形,いる,イ,イ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
趣味	名詞,一般,*,*,*,*,趣味,シュミ,シュミ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
、	記号,読点,*,*,*,*,、,、,、,s
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
いっ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,いう,イッ,イッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
、	記号,読点,*,*,*,*,、,、,、,s
パチンコ	名詞,一般,*,*,*,*,パチンコ,パチンコ,パチンコ,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,s
、	記号,読点,*,*,*,*,、,、,、,s
スロット	名詞,一般,*,*,*,*,スロット,スロット,スロット,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
パチスロ	名詞,固有名詞,一般,*,*,*,パチスロ,パチスロ,パチスロ,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,s
、	記号,読点,*,*,*,*,、,、,、,s
休み	名詞,一般,*,*,*,*,休み,ヤスミ,ヤスミ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
日	名詞,非自立,副詞可能,*,*,*,日,ヒ,ヒ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
よく	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,よい,ヨク,ヨク,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
えっと	フィラー,*,*,*,*,*,えっと,エット,エット,s
、	記号,読点,*,*,*,*,、,、,、,s
一番	名詞,副詞可能,*,*,*,*,一番,イチバン,イチバン,s
初め	名詞,副詞可能,*,*,*,*,初め,ハジメ,ハジメ,s
、	記号,読点,*,*,*,*,、,、,、,s
一番	名詞,副詞可能,*,*,*,*,一番,イチバン,イチバン,s
最初	名詞,一般,*,*,*,*,最初,サイショ,サイショ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
はたち	名詞,一般,*,*,*,*,はたち,ハタチ,ハタチ,s
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ま	感動詞,*,*,*,*,*,ま,マ,マ,s
、	記号,読点,*,*,*,*,、,、,、,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,s
なかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,ない,ナカッ,ナカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
ゆう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ユウ,ユー,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
別れ	動詞,自立,*,*,一段,連用形,別れる,ワカレ,ワカレ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
旦那	名詞,一般,*,*,*,*,旦那,ダンナ,ダンナ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
一緒	名詞,サ変接続,*,*,*,*,一緒,イッショ,イッショ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
、	記号,読点,*,*,*,*,、,、,、,s
まー	フィラー,*,*,*,*,*,まー,マー,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
ゆう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ユウ,ユー,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
行く	動詞,自立,*,*,五段・カ行促音便,基本形,行く,イク,イク,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
つい	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,つく,ツイ,ツイ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
行かさ	動詞,自立,*,*,五段・サ行,未然形,行かす,イカサ,イカサ,s
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,s
、	記号,読点,*,*,*,*,、,、,、,s
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,s
、	記号,読点,*,*,*,*,、,、,、,s
行く	動詞,自立,*,*,五段・カ行促音便,基本形,行く,イク,イク,s
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
ちょこちょこ	副詞,一般,*,*,*,*,ちょこちょこ,チョコチョコ,チョコチョコ,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
結婚	名詞,サ変接続,*,*,*,*,結婚,ケッコン,ケッコン,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
間	名詞,副詞可能,*,*,*,*,間,アイダ,アイダ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
たり	助詞,並立助詞,*,*,*,*,たり,タリ,タリ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
ほんで	接続詞,*,*,*,*,*,ほんで,ホンデ,ホンデ,s
、	記号,読点,*,*,*,*,、,、,、,s
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,s
、	記号,読点,*,*,*,*,、,、,、,s
別れ	動詞,自立,*,*,一段,連用形,別れる,ワカレ,ワカレ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン,s
一人	名詞,一般,*,*,*,*,一人,ヒトリ,ヒトリ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
うーん	感動詞,*,*,*,*,*,うーん,ウーン,ウーン,s
、	記号,読点,*,*,*,*,、,、,、,s
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
うーん	感動詞,*,*,*,*,*,うーん,ウーン,ウーン,s
、	記号,読点,*,*,*,*,、,、,、,s
