それで	接続詞,*,*,*,*,*,それで,ソレデ,ソレデ,i
先生	名詞,一般,*,*,*,*,先生,センセイ,センセイ,s
現地	名詞,一般,*,*,*,*,現地,ゲンチ,ゲンチ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
ま	フィラー,*,*,*,*,*,ま,マ,マ,s
日本語	名詞,一般,*,*,*,*,日本語,ニホンゴ,ニホンゴ,s
、	記号,読点,*,*,*,*,、,、,、,s
ま	フィラー,*,*,*,*,*,ま,マ,マ,s
学生	名詞,一般,*,*,*,*,学生,ガクセイ,ガクセイ,s
時代	名詞,一般,*,*,*,*,時代,ジダイ,ジダイ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
、	記号,読点,*,*,*,*,、,、,、,s
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
留学	名詞,サ変接続,*,*,*,*,留学,リュウガク,リューガク,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
んで	接続詞,*,*,*,*,*,んで,ンデ,ンデ,s
まあ	フィラー,*,*,*,*,*,まあ,マア,マー,s
日本語	名詞,一般,*,*,*,*,日本語,ニホンゴ,ニホンゴ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
先生	名詞,一般,*,*,*,*,先生,センセイ,センセイ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
おっ	動詞,自立,*,*,五段・ラ行,連用タ接続,おる,オッ,オッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
まあ	副詞,一般,*,*,*,*,まあ,マア,マー,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
助け	動詞,自立,*,*,一段,連用形,助ける,タスケ,タスケ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
求め	動詞,自立,*,*,一段,連用形,求める,モトメ,モトメ,s
、	記号,読点,*,*,*,*,、,、,、,s
すいません	感動詞,*,*,*,*,*,すいません,スイマセン,スイマセン,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
えーと	フィラー,*,*,*,*,*,えーと,エート,エート,i
ニュージーランド	名詞,固有名詞,地域,国,*,*,ニュージーランド,ニュージーランド,ニュージーランド,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
位置	名詞,サ変接続,*,*,*,*,位置,イチ,イチ,i
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
ゆう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,i
と	助詞,接続助詞,*,*,*,*,と,ト,ト,i
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
南半球	名詞,一般,*,*,*,*,南半球,ミナミハンキュウ,ミナミハンキュー,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
南半球	名詞,一般,*,*,*,*,南半球,ミナミハンキュウ,ミナミハンキュー,s
、	記号,読点,*,*,*,*,、,、,、,s
南半球	名詞,一般,*,*,*,*,南半球,ミナミハンキュウ,ミナミハンキュー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
季節	名詞,一般,*,*,*,*,季節,キセツ,キセツ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
逆	名詞,一般,*,*,*,*,逆,ギャク,ギャク,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
おお	感動詞,*,*,*,*,*,おお,オオ,オー,s
、	記号,読点,*,*,*,*,、,、,、,s
梅雨	名詞,一般,*,*,*,*,梅雨,ツユ,ツユ,s
、	記号,読点,*,*,*,*,、,、,、,s
梅雨	名詞,一般,*,*,*,*,梅雨,ツユ,ツユ,s
じゃ	助動詞,*,*,*,特殊・ジャ,未然形,じゃ,ジャ,ジャ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
わ	助詞,終助詞,*,*,*,*,わ,ワ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
逆	名詞,一般,*,*,*,*,逆,ギャク,ギャク,s
、	記号,読点,*,*,*,*,、,、,、,s
真	接頭詞,形容詞接続,*,*,*,*,真,マ,マ,s
逆	名詞,一般,*,*,*,*,逆,ギャク,ギャク,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
、	記号,読点,*,*,*,*,、,、,、,i
実際	副詞,助詞類接続,*,*,*,*,実際,ジッサイ,ジッサイ,i
行か	動詞,自立,*,*,五段・カ行促音便,未然形,行く,イカ,イカ,i
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,i
月	名詞,接尾,一般,*,*,*,月,ガツ,ガツ,i
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
一月	名詞,副詞可能,*,*,*,*,一月,イチガツ,イチガツ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
末	名詞,非自立,副詞可能,*,*,*,末,スエ,スエ,s
、	記号,読点,*,*,*,*,、,、,、,s
ま	フィラー,*,*,*,*,*,ま,マ,マ,s
ほぼ	副詞,一般,*,*,*,*,ほぼ,ホボ,ホボ,s
二月	名詞,副詞可能,*,*,*,*,二月,ニガツ,ニガツ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
二月	名詞,副詞可能,*,*,*,*,二月,ニガツ,ニガツ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
こっち	名詞,代名詞,一般,*,*,*,こっち,コッチ,コッチ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
冬	名詞,一般,*,*,*,*,冬,フユ,フユ,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
んで	接続詞,*,*,*,*,*,んで,ンデ,ンデ,s
向こう	名詞,一般,*,*,*,*,向こう,ムコウ,ムコー,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
真夏	名詞,一般,*,*,*,*,真夏,マナツ,マナツ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
くっそ	副詞,一般,*,*,*,*,くっそ,クッソ,クッソ,s
暑い	形容詞,自立,*,*,形容詞・アウオ段,基本形,暑い,アツイ,アツイ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
思っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,思う,オモッ,オモッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
できるだけ	副詞,一般,*,*,*,*,できるだけ,デキルダケ,デキルダケ,s
軽装	名詞,サ変接続,*,*,*,*,軽装,ケイソウ,ケイソー,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
行き	動詞,自立,*,*,五段・カ行促音便,連用形,行く,イキ,イキ,s
ましょ	助動詞,*,*,*,特殊・マス,未然ウ接続,ます,マショ,マショ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
軽装	名詞,サ変接続,*,*,*,*,軽装,ケイソウ,ケイソー,s
ゆう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ユウ,ユー,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
関空	名詞,固有名詞,一般,*,*,*,関空,カンクウ,カンクー,s
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ,s
くそ	接頭詞,形容詞接続,*,*,*,*,くそ,クソ,クソ,s
寒い	形容詞,自立,*,*,形容詞・アウオ段,基本形,寒い,サムイ,サムイ,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
け	助詞,終助詞,*,*,*,*,け,ケ,ケ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
めっちゃ	副詞,一般,*,*,*,*,めっちゃ,メッチャ,メッチャ,s
寒い	形容詞,自立,*,*,形容詞・アウオ段,基本形,寒い,サムイ,サムイ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
て	助詞,格助詞・縮約形,引用,*,*,*,って,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
んで	接続詞,*,*,*,*,*,んで,ンデ,ンデ,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
で	助詞,終助詞,*,*,*,*,で,デ,デ,s
くそ	接頭詞,形容詞接続,*,*,*,*,くそ,クソ,クソ,s
暑い	形容詞,自立,*,*,形容詞・アウオ段,基本形,暑い,アツイ,アツイ,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
、	記号,読点,*,*,*,*,、,、,、,s
ばーって	副詞,一般,*,*,*,*,ばーって,バーッテ,バーッテ,s
おもい	形容詞,自立,*,*,形容詞・アウオ段,基本形,おもい,オモイ,オモイ,s
っきり	名詞,非自立,副詞可能,*,*,*,っきり,ッキリ,ッキリ,s
脱い	動詞,自立,*,*,五段・ガ行,連用タ接続,脱ぐ,ヌイ,ヌイ,s
でっ	動詞,非自立,*,*,五段・カ行促音便,連用タ接続,でく,デッ,デッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
一番	名詞,副詞可能,*,*,*,*,一番,イチバン,イチバン,s
面白かっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,面白い,オモシロカッ,オモシロカッ,s
たん	助動詞,*,*,*,特殊・タ,基本形,たん,タン,タン,s
夏	名詞,一般,*,*,*,*,夏,ナツ,ナツ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
サンタクロース	名詞,固有名詞,人名,一般,*,*,サンタクロース,サンタクロース,サンタクロース,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あー	フィラー,*,*,*,*,*,あー,アー,アー,i
あり	動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,i
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,i
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,i
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
オーストラリア	名詞,固有名詞,地域,国,*,*,オーストラリア,オーストラリア,オーストラリア,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
あり	動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,i
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,i
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,i
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
夏	名詞,一般,*,*,*,*,夏,ナツ,ナツ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
半袖	名詞,一般,*,*,*,*,半袖,ハンソデ,ハンソデ,s
サンタクロース	名詞,固有名詞,人名,一般,*,*,サンタクロース,サンタクロース,サンタクロース,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
いや	接続詞,*,*,*,*,*,いや,イヤ,イヤ,s
、	記号,読点,*,*,*,*,、,、,、,s
すね	名詞,一般,*,*,*,*,すね,スネ,スネ,s
毛	名詞,接尾,助数詞,*,*,*,毛,モウ,モー,s
ボーボー	副詞,一般,*,*,*,*,ボーボー,ボーボー,ボーボー,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
、	記号,読点,*,*,*,*,、,、,、,s
お前	名詞,代名詞,一般,*,*,*,お前,オマエ,オマエ,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,i
、	記号,読点,*,*,*,*,、,、,、,i
外国	名詞,一般,*,*,*,*,外国,ガイコク,ガイコク,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
も	助詞,係助詞,*,*,*,*,も,モ,モ,i
サンタクロース	名詞,固有名詞,人名,一般,*,*,サンタクロース,サンタクロース,サンタクロース,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
すげえ	形容詞,自立,*,*,形容詞・アウオ段,基本形,すげえ,スゲエ,スゲー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,i
す	助動詞,*,*,*,特殊・デス,基本形,す,ス,ス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
寮	名詞,一般,*,*,*,*,寮,リョウ,リョー,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
向こう	名詞,一般,*,*,*,*,向こう,ムコウ,ムコー,i
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
いや	接続詞,*,*,*,*,*,いや,イヤ,イヤ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ま	フィラー,*,*,*,*,*,ま,マ,マ,s
寮	名詞,一般,*,*,*,*,寮,リョウ,リョー,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
ゆう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
なく	助動詞,*,*,*,特殊・ナイ,連用テ接続,ない,ナク,ナク,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
俺	名詞,代名詞,一般,*,*,*,俺,オレ,オレ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
ホームステイ	名詞,サ変接続,*,*,*,*,ホームステイ,ホームステイ,ホームステイ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
てん	助詞,*,*,*,特殊・タ＋ん／接続・テ＋ん,基本形・縮約形,てん,テン,テン,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
別に	副詞,一般,*,*,*,*,別に,ベツニ,ベツニ,s
フラット	名詞,一般,*,*,*,*,フラット,フラット,フラット,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
ゆう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ま	フィラー,*,*,*,*,*,ま,マ,マ,s
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
まあ	副詞,一般,*,*,*,*,まあ,マア,マー,s
シェア	名詞,一般,*,*,*,*,シェア,シェア,シェア,s
ハウス	名詞,一般,*,*,*,*,ハウス,ハウス,ハウス,s
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ,s
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
どっち	名詞,代名詞,一般,*,*,*,どっち,ドッチ,ドッチ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
言わ	動詞,自立,*,*,五段・ワ行促音便,未然形,言う,ユワ,ユワ,s
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
まあ	副詞,一般,*,*,*,*,まあ,マア,マー,s
最初	名詞,副詞可能,*,*,*,*,最初,サイショ,サイショ,s
、	記号,読点,*,*,*,*,、,、,、,s
まあ	副詞,一般,*,*,*,*,まあ,マア,マー,s
全部	名詞,副詞可能,*,*,*,*,全部,ゼンブ,ゼンブ,s
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
でき	動詞,自立,*,*,一段,未然形,できる,デキ,デキ,s
ひん	助動詞,*,*,*,特殊・ナイ,基本形・母音調和,へん,ヒン,ヒン,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ま	フィラー,*,*,*,*,*,ま,マ,マ,s
多少	副詞,助詞類接続,*,*,*,*,多少,タショウ,タショー,s
喋れ	動詞,自立,*,*,一段,連用形,喋れる,シャベレ,シャベレ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル,s
かも	助詞,副助詞,*,*,*,*,かも,カモ,カモ,s
せ	動詞,自立,*,*,サ変・スル,未然形特殊,する,セ,セ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
まあ	副詞,一般,*,*,*,*,まあ,マア,マー,s
ホームステイ	名詞,サ変接続,*,*,*,*,ホームステイ,ホームステイ,ホームステイ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
ある程度	副詞,助詞類接続,*,*,*,*,ある程度,アルテイド,アルテイド,s
ホスト	名詞,一般,*,*,*,*,ホスト,ホスト,ホスト,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
お世話	名詞,サ変接続,*,*,*,*,お世話,オセワ,オセワ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
くれる	動詞,非自立,*,*,一段・クレル,基本形,くれる,クレル,クレル,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
まあ	副詞,一般,*,*,*,*,まあ,マア,マー,s
最初	名詞,一般,*,*,*,*,最初,サイショ,サイショ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
ホームステイ	名詞,サ変接続,*,*,*,*,ホームステイ,ホームステイ,ホームステイ,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ま	フィラー,*,*,*,*,*,ま,マ,マ,s
最初	名詞,一般,*,*,*,*,最初,サイショ,サイショ,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
最後	名詞,一般,*,*,*,*,最後,サイゴ,サイゴ,s
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ,s
ホームステイ	名詞,サ変接続,*,*,*,*,ホームステイ,ホームステイ,ホームステイ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
てん	助詞,*,*,*,特殊・タ＋ん／接続・テ＋ん,基本形・縮約形,てん,テン,テン,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
最初	名詞,一般,*,*,*,*,最初,サイショ,サイショ,s
はー	感動詞,*,*,*,*,*,はー,ハア,ハー,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
言っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,言う,ユッ,ユッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ホームステイ	名詞,サ変接続,*,*,*,*,ホームステイ,ホームステイ,ホームステイ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
結構	副詞,一般,*,*,*,*,結構,ケッコウ,ケッコー,i
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,i
っす	助動詞,*,*,*,特殊・デス,基本形,っす,ッス,ッス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
、	記号,読点,*,*,*,*,、,、,、,i
気遣い	動詞,自立,*,*,五段・ワ行促音便,連用形,気遣う,キヅカイ,キズカイ,i
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
