始め	動詞,自立,*,*,一段,連用形,始める,ハジメ,ハジメ,i
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
基本	名詞,一般,*,*,*,*,基本,キホン,キホン,s
段ボール	名詞,一般,*,*,*,*,段ボール,ダンボール,ダンボール,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
、	記号,読点,*,*,*,*,、,、,、,s
大道具	名詞,一般,*,*,*,*,大道具,オオドウグ,オードーグ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
友達	名詞,一般,*,*,*,*,友達,トモダチ,トモダチ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
高校	名詞,一般,*,*,*,*,高校,コウコウ,コーコー,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
ベニヤ板	名詞,一般,*,*,*,*,ベニヤ板,ベニヤイタ,ベニヤイタ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
友達	名詞,一般,*,*,*,*,友達,トモダチ,トモダチ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
、	記号,読点,*,*,*,*,、,、,、,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なら	接続詞,*,*,*,*,*,なら,ナラ,ナラ,i
、	記号,読点,*,*,*,*,、,、,、,i
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,i
、	記号,読点,*,*,*,*,、,、,、,i
木工	名詞,一般,*,*,*,*,木工,モッコウ,モッコー,i
大工	名詞,一般,*,*,*,*,大工,ダイク,ダイク,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
、	記号,読点,*,*,*,*,、,、,、,i
そういう	連体詞,*,*,*,*,*,そういう,ソウイウ,ソーユウ,i
のん	名詞,非自立,一般,*,*,*,のん,ノン,ノン,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
いろいろ	副詞,助詞類接続,*,*,*,*,いろいろ,イロイロ,イロイロ,i
作っ	動詞,自立,*,*,五段・ラ行,連用タ接続,作る,ツクッ,ツクッ,i
たり	助詞,並立助詞,*,*,*,*,たり,タリ,タリ,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
ああ	副詞,助詞類接続,*,*,*,*,ああ,アア,アー,s
、	記号,読点,*,*,*,*,、,、,、,s
作っ	動詞,自立,*,*,五段・ラ行,連用タ接続,作る,ツクッ,ツクッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
作っ	動詞,自立,*,*,五段・ラ行,連用タ接続,作る,ツクッ,ツクッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ゆう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ユウ,ユー,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
、	記号,読点,*,*,*,*,、,、,、,s
私	名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
正直	名詞,形容動詞語幹,*,*,*,*,正直,ショウジキ,ショージキ,s
釘	名詞,一般,*,*,*,*,釘,クギ,クギ,s
打っ	動詞,自立,*,*,五段・タ行,連用タ接続,打つ,ウッ,ウッ,s
たり	助詞,並立助詞,*,*,*,*,たり,タリ,タリ,s
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
あんまり	副詞,助詞類接続,*,*,*,*,あんまり,アンマリ,アンマリ,s
得意	名詞,形容動詞語幹,*,*,*,*,得意,トクイ,トクイ,s
じゃ	助動詞,*,*,*,特殊・ジャ,未然形,じゃ,ジャ,ジャ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
あんまり	副詞,助詞類接続,*,*,*,*,あんまり,アンマリ,アンマリ,s
そっち	名詞,代名詞,一般,*,*,*,そっち,ソッチ,ソッチ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
方	名詞,非自立,一般,*,*,*,方,ホウ,ホー,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
関われ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,関わる,カカワレ,カカワレ,s
へんかっ	助動詞,*,*,*,特殊・ナイ,連用タ接続,へん,ヘンカッ,ヘンカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
まあ	副詞,一般,*,*,*,*,まあ,マア,マー,s
簡単	名詞,一般,*,*,*,*,簡単,カンタン,カンタン,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
大道具	名詞,一般,*,*,*,*,大道具,オオドウグ,オードーグ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
設計	名詞,サ変接続,*,*,*,*,設計,セッケイ,セッケイ,s
図	名詞,一般,*,*,*,*,図,ズ,ズ,s
書い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,書く,カイ,カイ,s
たり	助詞,並立助詞,*,*,*,*,たり,タリ,タリ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
、	記号,読点,*,*,*,*,、,、,、,s
後	接頭詞,名詞接続,*,*,*,*,後,コウ,コー,s
まあ	副詞,一般,*,*,*,*,まあ,マア,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
板	名詞,一般,*,*,*,*,板,イタ,イタ,s
切る	動詞,自立,*,*,五段・ラ行,基本形,切る,キル,キル,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
上手かっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,上手い,ウマカッ,ウマカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
のこぎり	名詞,一般,*,*,*,*,のこぎり,ノコギリ,ノコギリ,s
使う	動詞,自立,*,*,五段・ワ行促音便,基本形,使う,ツカウ,ツカウ,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そっち	名詞,代名詞,一般,*,*,*,そっち,ソッチ,ソッチ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
結構	副詞,一般,*,*,*,*,結構,ケッコウ,ケッコー,s
重宝	名詞,形容動詞語幹,*,*,*,*,重宝,チョウホウ,チョーホー,s
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ,s
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ,s
たり	助詞,並立助詞,*,*,*,*,たり,タリ,タリ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なるほど	感動詞,*,*,*,*,*,なるほど,ナルホド,ナルホド,i
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
演劇	名詞,一般,*,*,*,*,演劇,エンゲキ,エンゲキ,i
部	名詞,接尾,助数詞,*,*,*,部,ブ,ブ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
思い出	名詞,一般,*,*,*,*,思い出,オモイデ,オモイデ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
そん	連体詞,*,*,*,*,*,その,ソン,ソン,i
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
ほんまに	副詞,一般,*,*,*,*,ほんまに,ホンマニ,ホンマニ,s
細かい	形容詞,自立,*,*,形容詞・アウオ段,基本形,細かい,コマカイ,コマカイ,s
ところ	名詞,非自立,副詞可能,*,*,*,ところ,トコロ,トコロ,s
言い出し	動詞,自立,*,*,五段・サ行,連用形,言い出す,イイダシ,イーダシ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
きり	名詞,非自立,副詞可能,*,*,*,きり,キリ,キリ,s
無い	助動詞,*,*,*,形容詞・イ段,基本形,無い,ナイ,ナイ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そ	副詞,助詞類接続・短音化,*,*,*,*,そう,ソ,ソ,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
ねえ	助詞,終助詞,*,*,*,*,ねえ,ネエ,ネー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
ほんまに	副詞,一般,*,*,*,*,ほんまに,ホンマニ,ホンマニ,s
細かい	形容詞,自立,*,*,形容詞・アウオ段,基本形,細かい,コマカイ,コマカイ,s
とこ	名詞,一般,*,*,*,*,とこ,トコ,トコ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
、	記号,読点,*,*,*,*,、,、,、,s
あん	連体詞,*,*,*,*,*,あの,アン,アン,s
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,s
先輩	名詞,一般,*,*,*,*,先輩,センパイ,センパイ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
、	記号,読点,*,*,*,*,、,、,、,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
あん	連体詞,*,*,*,*,*,あの,アン,アン,s
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,s
後輩	名詞,一般,*,*,*,*,後輩,コウハイ,コーハイ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
、	記号,読点,*,*,*,*,、,、,、,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほんまに	副詞,一般,*,*,*,*,ほんまに,ホンマニ,ホンマニ,s
思い出	名詞,一般,*,*,*,*,思い出,オモイデ,オモイデ,s
やら	助詞,並立助詞,*,*,*,*,やら,ヤラ,ヤラ,s
恨みつらみ	名詞,一般,*,*,*,*,恨みつらみ,ウラミツラミ,ウラミツラミ,s
やら	助詞,並立助詞,*,*,*,*,やら,ヤラ,ヤラ,s
何でも	副詞,助詞類接続,*,*,*,*,何でも,ナンデモ,ナンデモ,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,i
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ,i
でも	助詞,副助詞,*,*,*,*,でも,デモ,デモ,i
一番	名詞,副詞可能,*,*,*,*,一番,イチバン,イチバン,i
結構	副詞,一般,*,*,*,*,結構,ケッコウ,ケッコー,i
特に	副詞,一般,*,*,*,*,特に,トクニ,トクニ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
これ	名詞,代名詞,一般,*,*,*,これ,コレ,コレ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
言っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,言う,ユッ,ユッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
おき	動詞,非自立,*,*,五段・カ行イ音便,連用形,おく,オキ,オキ,i
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,i
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
恨みつらみ	名詞,一般,*,*,*,*,恨みつらみ,ウラミツラミ,ウラミツラミ,i
でも	助詞,副助詞,*,*,*,*,でも,デモ,デモ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,i
思い出	名詞,一般,*,*,*,*,思い出,オモイデ,オモイデ,i
でも	助詞,副助詞,*,*,*,*,でも,デモ,デモ,i
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,i
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
ああ	副詞,助詞類接続,*,*,*,*,ああ,アア,アー,s
、	記号,読点,*,*,*,*,、,、,、,s
恨みつらみ	名詞,一般,*,*,*,*,恨みつらみ,ウラミツラミ,ウラミツラミ,s
なら	助動詞,*,*,*,特殊・ダ,仮定形,だ,ナラ,ナラ,s
、	記号,読点,*,*,*,*,、,、,、,s
やっぱり	副詞,一般,*,*,*,*,やっぱり,ヤッパリ,ヤッパリ,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
地区	名詞,一般,*,*,*,*,地区,チク,チク,s
大会	名詞,一般,*,*,*,*,大会,タイカイ,タイカイ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
関わる	動詞,自立,*,*,五段・ラ行,基本形,関わる,カカワル,カカワル,s
事	名詞,非自立,一般,*,*,*,事,コト,コト,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
みんな	名詞,代名詞,一般,*,*,*,みんな,ミンナ,ミンナ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
凄い	形容詞,自立,*,*,形容詞・アウオ段,基本形,凄い,スゴイ,スゴイ,s
一生懸命	名詞,副詞可能,*,*,*,*,一生懸命,イッショウケンメイ,イッショーケンメイ,s
頑張っ	動詞,自立,*,*,五段・ラ行,連用タ接続,頑張る,ガンバッ,ガンバッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
で	接続詞,*,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
それで	接続詞,*,*,*,*,*,それで,ソレデ,ソレデ,s
全然	副詞,助詞類接続,*,*,*,*,全然,ゼンゼン,ゼンゼン,s
練習	名詞,サ変接続,*,*,*,*,練習,レンシュウ,レンシュー,s
時間	名詞,接尾,助数詞,*,*,*,時間,ジカン,ジカン,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
足り	動詞,自立,*,*,一段,未然形,足りる,タリ,タリ,s
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
当時	名詞,副詞可能,*,*,*,*,当時,トウジ,トージ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
部長	名詞,一般,*,*,*,*,部長,ブチョウ,ブチョー,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
先生	名詞,一般,*,*,*,*,先生,センセイ,センセイ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
内緒	名詞,一般,*,*,*,*,内緒,ナイショ,ナイショ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
こっそり	副詞,助詞類接続,*,*,*,*,こっそり,コッソリ,コッソリ,s
部活	名詞,一般,*,*,*,*,部活,ブカツ,ブカツ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,s
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
たん	助動詞,*,*,*,特殊・タ,基本形,たん,タン,タン,s
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
、	記号,読点,*,*,*,*,、,、,、,s
場所	名詞,一般,*,*,*,*,場所,バショ,バショ,s
なんて	助詞,副助詞,*,*,*,*,なんて,ナンテ,ナンテ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
学校裏	名詞,固有名詞,地域,一般,*,*,学校裏,ガッコウウラ,ガッコーウラ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
公園	名詞,一般,*,*,*,*,公園,コウエン,コーエン,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
皆	名詞,代名詞,一般,*,*,*,皆,ミナ,ミナ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
集まっ	動詞,自立,*,*,五段・ラ行,連用タ接続,集まる,アツマッ,アツマッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
で	接続詞,*,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
それで	接続詞,*,*,*,*,*,それで,ソレデ,ソレデ,s
、	記号,読点,*,*,*,*,、,、,、,s
こっそり	副詞,助詞類接続,*,*,*,*,こっそり,コッソリ,コッソリ,s
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,s
てん	助詞,*,*,*,特殊・タ＋ん／接続・テ＋ん,基本形・縮約形,てん,テン,テン,s
のに	助詞,接続助詞,*,*,*,*,のに,ノニ,ノニ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
こっそり	副詞,助詞類接続,*,*,*,*,こっそり,コッソリ,コッソリ,s
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
舞台	名詞,一般,*,*,*,*,舞台,ブタイ,ブタイ,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
部活	名詞,一般,*,*,*,*,部活,ブカツ,ブカツ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
行く	動詞,自立,*,*,五段・カ行促音便,基本形,行く,イク,イク,s
最中	名詞,一般,*,*,*,*,最中,サイチュウ,サイチュー,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
自転車	名詞,一般,*,*,*,*,自転車,ジテンシャ,ジテンシャ,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
階段	名詞,一般,*,*,*,*,階段,カイダン,カイダン,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
落ち	動詞,自立,*,*,一段,連用形,落ちる,オチ,オチ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
骨折	名詞,サ変接続,*,*,*,*,骨折,コッセツ,コッセツ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
医療	名詞,一般,*,*,*,*,医療,イリョウ,イリョー,s
保険	名詞,一般,*,*,*,*,保険,ホケン,ホケン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
関係	名詞,サ変接続,*,*,*,*,関係,カンケイ,カンケイ,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
学校	名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
ばれ	動詞,自立,*,*,一段,連用形,ばれる,バレ,バレ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
演劇	名詞,一般,*,*,*,*,演劇,エンゲキ,エンゲキ,s
部	名詞,接尾,助数詞,*,*,*,部,ブ,ブ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
しこたま	副詞,一般,*,*,*,*,しこたま,シコタマ,シコタマ,s
絞め	動詞,自立,*,*,一段,未然形,絞める,シメ,シメ,s
られ	動詞,接尾,*,*,一段,連用形,られる,ラレ,ラレ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
事件	名詞,一般,*,*,*,*,事件,ジケン,ジケン,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,i
話	名詞,サ変接続,*,*,*,*,話,ハナシ,ハナシ,i
知ら	動詞,自立,*,*,五段・ラ行,未然形,知る,シラ,シラ,i
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,i
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
お陰	名詞,一般,*,*,*,*,お陰,オカゲ,オカゲ,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
、	記号,読点,*,*,*,*,、,、,、,s
ほんまに	副詞,一般,*,*,*,*,ほんまに,ホンマニ,ホンマニ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
当時	名詞,副詞可能,*,*,*,*,当時,トウジ,トージ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
部長	名詞,一般,*,*,*,*,部長,ブチョウ,ブチョー,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
元々	副詞,助詞類接続,*,*,*,*,元々,モトモト,モトモト,s
キャスト	名詞,一般,*,*,*,*,キャスト,キャスト,キャスト,s
やら	動詞,自立,*,*,五段・ラ行,未然形,やる,ヤラ,ヤラ,s
ず	助動詞,*,*,*,特殊・ヌ,連用ニ接続,ぬ,ズ,ズ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
、	記号,読点,*,*,*,*,、,、,、,s
演出	名詞,サ変接続,*,*,*,*,演出,エンシュツ,エンシュツ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
、	記号,読点,*,*,*,*,、,、,、,s
演出	名詞,サ変接続,*,*,*,*,演出,エンシュツ,エンシュツ,s
補佐	名詞,サ変接続,*,*,*,*,補佐,ホサ,ホサ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
、	記号,読点,*,*,*,*,、,、,、,s
舞台	名詞,一般,*,*,*,*,舞台,ブタイ,ブタイ,s
監督	名詞,サ変接続,*,*,*,*,監督,カントク,カントク,s
、	記号,読点,*,*,*,*,、,、,、,s
そ	副詞,助詞類接続・短音化,*,*,*,*,そう,ソ,ソ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
全部	名詞,副詞可能,*,*,*,*,全部,ゼンブ,ゼンブ,s
集中	名詞,サ変接続,*,*,*,*,集中,シュウチュウ,シューチュー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
やる	動詞,自立,*,*,五段・ラ行,基本形,やる,ヤル,ヤル,s
つもり	名詞,非自立,一般,*,*,*,つもり,ツモリ,ツモリ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
のに	助詞,接続助詞,*,*,*,*,のに,ノニ,ノニ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
まさかの	連体詞,*,*,*,*,*,まさかの,マサカノ,マサカノ,s
