それでは	接続詞,*,*,*,*,*,それでは,ソレデハ,ソレデワ,i
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
後輩	名詞,一般,*,*,*,*,後輩,コウハイ,コーハイ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
おる	動詞,自立,*,*,五段・ラ行,基本形,おる,オル,オル,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
んなら	接続詞,*,*,*,*,*,んなら,ンナラ,ンナラ,s
そこ	名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
言う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,言う,ユウ,ユー,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
どない	副詞,一般,*,*,*,*,どない,ドナイ,ドナイ,s
、	記号,読点,*,*,*,*,、,、,、,s
今まで	副詞,一般,*,*,*,*,今まで,イママデ,イママデ,s
こう	副詞,助詞類接続,*,*,*,*,こう,コウ,コー,s
経験	名詞,サ変接続,*,*,*,*,経験,ケイケン,ケイケン,s
でき	動詞,自立,*,*,一段,未然形,できる,デキ,デキ,s
んかっ	助動詞,*,*,*,特殊・ナイ,連用タ接続,ん,ンカッ,ンカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
会議	名詞,サ変接続,*,*,*,*,会議,カイギ,カイギ,s
形式	名詞,一般,*,*,*,*,形式,ケイシキ,ケイシキ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
さー	助詞,終助詞,*,*,*,*,さ,サア,サー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
会議	名詞,サ変接続,*,*,*,*,会議,カイギ,カイギ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
会議	名詞,サ変接続,*,*,*,*,会議,カイギ,カイギ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
月	名詞,一般,*,*,*,*,月,ツキ,ツキ,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ,s
会議	名詞,サ変接続,*,*,*,*,会議,カイギ,カイギ,s
あん	動詞,自立,*,*,五段・ラ行撥音便,基本形,ある,アン,アン,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ミーティング	名詞,一般,*,*,*,*,ミーティング,ミーティング,ミーティング,i
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
だから	接続詞,*,*,*,*,*,だから,ダカラ,ダカラ,s
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
一応	副詞,助詞類接続,*,*,*,*,一応,イチオウ,イチオー,s
サークル	名詞,一般,*,*,*,*,サークル,サークル,サークル,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
学校	名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー,s
認定	名詞,サ変接続,*,*,*,*,認定,ニンテイ,ニンテイ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
やつ	名詞,代名詞,一般,*,*,*,やつ,ヤツ,ヤツ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
サークル	名詞,一般,*,*,*,*,サークル,サークル,サークル,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
部屋	名詞,一般,*,*,*,*,部屋,ヘヤ,ヘヤ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
んで	接続詞,*,*,*,*,*,んで,ンデ,ンデ,s
別に	副詞,一般,*,*,*,*,別に,ベツニ,ベツニ,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
そういう	連体詞,*,*,*,*,*,そういう,ソウイウ,ソーユウ,s
サークル	名詞,一般,*,*,*,*,サークル,サークル,サークル,s
ばっかり	助詞,副助詞,*,*,*,*,ばっかり,バッカリ,バッカリ,s
集まっ	動詞,自立,*,*,五段・ラ行,連用タ接続,集まる,アツマッ,アツマッ,s
とる	動詞,非自立,*,*,五段・ラ行,基本形・縮約形,て＋おる,トル,トル,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
建物	名詞,一般,*,*,*,*,建物,タテモノ,タテモノ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
わけ	名詞,非自立,一般,*,*,*,わけ,ワケ,ワケ,s
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
んで	接続詞,*,*,*,*,*,んで,ンデ,ンデ,s
そこ	名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
会議	名詞,サ変接続,*,*,*,*,会議,カイギ,カイギ,s
室	名詞,接尾,助数詞,*,*,*,室,シツ,シツ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
んで	接続詞,*,*,*,*,*,んで,ンデ,ンデ,s
月	名詞,一般,*,*,*,*,月,ツキ,ツキ,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
来月	名詞,副詞可能,*,*,*,*,来月,ライゲツ,ライゲツ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
こう	副詞,助詞類接続,*,*,*,*,こう,コウ,コー,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,s
方針	名詞,一般,*,*,*,*,方針,ホウシン,ホーシン,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
これ	名詞,代名詞,一般,*,*,*,これ,コレ,コレ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,s
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
んで	接続詞,*,*,*,*,*,んで,ンデ,ンデ,s
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
役員	名詞,一般,*,*,*,*,役員,ヤクイン,ヤクイン,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,s
方針	名詞,一般,*,*,*,*,方針,ホウシン,ホーシン,s
決め	動詞,自立,*,*,一段,連用形,決める,キメ,キメ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
年間	名詞,一般,*,*,*,*,年間,ネンカン,ネンカン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
方針	名詞,一般,*,*,*,*,方針,ホウシン,ホーシン,s
決め	動詞,自立,*,*,一段,連用形,決める,キメ,キメ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
んで	接続詞,*,*,*,*,*,んで,ンデ,ンデ,s
、	記号,読点,*,*,*,*,、,、,、,s
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
く	動詞,非自立,*,*,五段・カ行促音便,基本形・縮約形,いく,ク,ク,s
わけ	名詞,非自立,一般,*,*,*,わけ,ワケ,ワケ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
そら	名詞,代名詞・縮約形,*,*,*,*,それは,ソラ,ソラ,s
俺	名詞,代名詞,一般,*,*,*,俺,オレ,オレ,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
真面目	名詞,形容動詞語幹,*,*,*,*,真面目,マジメ,マジメ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
奴	名詞,代名詞,一般,*,*,*,奴,ヤツ,ヤツ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
、	記号,読点,*,*,*,*,、,、,、,s
そういう	連体詞,*,*,*,*,*,そういう,ソウイウ,ソーユウ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
やつ	名詞,代名詞,一般,*,*,*,やつ,ヤツ,ヤツ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
おる	動詞,自立,*,*,五段・ラ行,基本形,おる,オル,オル,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
、	記号,読点,*,*,*,*,、,、,、,s
ただ	接続詞,*,*,*,*,*,ただ,タダ,タダ,s
何となく	副詞,一般,*,*,*,*,何となく,ナントナク,ナントナク,s
入っ	動詞,自立,*,*,五段・ラ行,連用タ接続,入る,ハイッ,ハイッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
なんとなく	副詞,助詞類接続,*,*,*,*,なんとなく,ナントナク,ナントナク,s
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,s
やつ	名詞,代名詞,一般,*,*,*,やつ,ヤツ,ヤツ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
けっこう	副詞,一般,*,*,*,*,けっこう,ケッコウ,ケッコー,s
おる	動詞,自立,*,*,五段・ラ行,基本形,おる,オル,オル,s
わけ	名詞,非自立,一般,*,*,*,わけ,ワケ,ワケ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
わかる	動詞,自立,*,*,五段・ラ行,基本形,わかる,ワカル,ワカル,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
あー	副詞,一般,*,*,*,*,あー,アー,アー,i
わかる	動詞,自立,*,*,五段・ラ行,基本形,わかる,ワカル,ワカル,i
わかる	動詞,自立,*,*,五段・ラ行,基本形,わかる,ワカル,ワカル,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
わかる	動詞,自立,*,*,五段・ラ行,基本形,わかる,ワカル,ワカル,i
わー	助詞,終助詞,*,*,*,*,わ,ワア,ワー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
とりあえず	副詞,助詞類接続,*,*,*,*,とりあえず,トリアエズ,トリアエズ,i
入っ	動詞,自立,*,*,五段・ラ行,連用タ接続,入る,ハイッ,ハイッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
み	動詞,非自立,*,*,一段,連用形,みる,ミ,ミ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
だから	接続詞,*,*,*,*,*,だから,ダカラ,ダカラ,s
、	記号,読点,*,*,*,*,、,、,、,s
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
お父さん	名詞,一般,*,*,*,*,お父さん,オトウサン,オトーサン,s
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
まだ	副詞,助詞類接続,*,*,*,*,まだ,マダ,マダ,s
、	記号,読点,*,*,*,*,、,、,、,s
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
、	記号,読点,*,*,*,*,、,、,、,s
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
体育	名詞,一般,*,*,*,*,体育,タイイク,タイイク,s
系	名詞,接尾,一般,*,*,*,系,ケイ,ケイ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,s
でも	助詞,副助詞,*,*,*,*,でも,デモ,デモ,s
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,s
、	記号,読点,*,*,*,*,、,、,、,s
まず	副詞,一般,*,*,*,*,まず,マズ,マズ,s
入学	名詞,サ変接続,*,*,*,*,入学,ニュウガク,ニューガク,s
式	名詞,接尾,助数詞,*,*,*,式,シキ,シキ,s
来る	動詞,自立,*,*,カ変・来ル,基本形,来る,クル,クル,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
、	記号,読点,*,*,*,*,、,、,、,s
入学	名詞,サ変接続,*,*,*,*,入学,ニュウガク,ニューガク,s
式	名詞,接尾,助数詞,*,*,*,式,シキ,シキ,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
そのー	フィラー,*,*,*,*,*,そのー,ソノー,ソノー,s
、	記号,読点,*,*,*,*,、,、,、,s
応援	名詞,サ変接続,*,*,*,*,応援,オウエン,オーエン,s
団	名詞,接尾,助数詞,*,*,*,団,ダン,ダン,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
応援	名詞,サ変接続,*,*,*,*,応援,オウエン,オーエン,s
団	名詞,接尾,助数詞,*,*,*,団,ダン,ダン,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
大学	名詞,一般,*,*,*,*,大学,ダイガク,ダイガク,s
入っ	動詞,自立,*,*,五段・ラ行,連用タ接続,入る,ハイッ,ハイッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
ある程度	副詞,助詞類接続,*,*,*,*,ある程度,アルテイド,アルテイド,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
よる	動詞,非自立,*,*,五段・ラ行,基本形,よる,ヨル,ヨル,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほんなら	接続詞,*,*,*,*,*,ほんなら,ホンナラ,ホンナラ,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
あと	名詞,一般,*,*,*,*,あと,アト,アト,s
新入生	名詞,一般,*,*,*,*,新入生,シンニュウセイ,シンニューセイ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
、	記号,読点,*,*,*,*,、,、,、,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
体育館	名詞,一般,*,*,*,*,体育館,タイイクカン,タイイクカン,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
ごっつい	形容詞,自立,*,*,形容詞・アウオ段,基本形,ごっつい,ゴッツイ,ゴッツイ,s
とこ	名詞,一般,*,*,*,*,とこ,トコ,トコ,s
集め	動詞,自立,*,*,一段,連用形,集める,アツメ,アツメ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
そこで	接続詞,*,*,*,*,*,そこで,ソコデ,ソコデ,s
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
、	記号,読点,*,*,*,*,、,、,、,s
説明	名詞,サ変接続,*,*,*,*,説明,セツメイ,セツメイ,s
会	名詞,接尾,一般,*,*,*,会,カイ,カイ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
やっぱり	副詞,一般,*,*,*,*,やっぱり,ヤッパリ,ヤッパリ,s
そん	連体詞,*,*,*,*,*,その,ソン,ソン,s
とき	名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ,s
みんな	名詞,代名詞,一般,*,*,*,みんな,ミンナ,ミンナ,s
運動会	名詞,一般,*,*,*,*,運動会,ウンドウカイ,ウンドーカイ,s
系	名詞,接尾,一般,*,*,*,系,ケイ,ケイ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
みな	名詞,代名詞,一般,*,*,*,みな,ミナ,ミナ,s
大	接頭詞,名詞接続,*,*,*,*,大,ダイ,ダイ,s
格好	名詞,一般,*,*,*,*,格好,カッコウ,カッコー,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
奴	名詞,代名詞,一般,*,*,*,奴,ヤツ,ヤツ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
欲しい	形容詞,自立,*,*,形容詞・イ段,基本形,欲しい,ホシイ,ホシイ,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,i
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,i
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
たしかに	副詞,一般,*,*,*,*,たしかに,タシカニ,タシカニ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
せ	副詞,助詞類接続・短音化,*,*,*,*,そう,セ,セ,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほんなら	接続詞,*,*,*,*,*,ほんなら,ホンナラ,ホンナラ,s
やっぱり	副詞,一般,*,*,*,*,やっぱり,ヤッパリ,ヤッパリ,s
、	記号,読点,*,*,*,*,、,、,、,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
そ	副詞,助詞類接続・短音化,*,*,*,*,そう,ソ,ソ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
思う	動詞,自立,*,*,五段・ワ行促音便,基本形,思う,オモウ,オモー,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
三	名詞,数,*,*,*,*,三,サン,サン,s
年生	名詞,接尾,助数詞,*,*,*,年生,ネンセイ,ネンセイ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
やっぱり	副詞,一般,*,*,*,*,やっぱり,ヤッパリ,ヤッパリ,s
運動	名詞,サ変接続,*,*,*,*,運動,ウンドウ,ウンドー,s
、	記号,読点,*,*,*,*,、,、,、,s
体育	名詞,一般,*,*,*,*,体育,タイイク,タイイク,s
会	名詞,接尾,一般,*,*,*,会,カイ,カイ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
クラブ	名詞,一般,*,*,*,*,クラブ,クラブ,クラブ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
役員	名詞,一般,*,*,*,*,役員,ヤクイン,ヤクイン,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
ん	感動詞,*,*,*,*,*,ん,ン,ン,s
なら	助動詞,*,*,*,特殊・ダ,仮定形,だ,ナラ,ナラ,s
、	記号,読点,*,*,*,*,、,、,、,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
年生	名詞,接尾,助数詞,*,*,*,年生,ネンセイ,ネンセイ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
、	記号,読点,*,*,*,*,、,、,、,s
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
結局	名詞,副詞可能,*,*,*,*,結局,ケッキョク,ケッキョク,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
ゆう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ユウ,ユー,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
年生	名詞,接尾,助数詞,*,*,*,年生,ネンセイ,ネンセイ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
新入生	名詞,一般,*,*,*,*,新入生,シンニュウセイ,シンニューセイ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
で	接続詞,*,*,*,*,*,で,デ,デ,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
見つけ	動詞,自立,*,*,一段,未然形,見つける,ミツケ,ミツケ,s
な	助動詞,*,*,*,特殊・ナイ,仮定形・縮約形,な,ナ,ナ,s
あか	動詞,非自立,*,*,五段・カ行イ音便,未然形,あく,アカ,アカ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
、	記号,読点,*,*,*,*,、,、,、,s
勧誘	名詞,サ変接続,*,*,*,*,勧誘,カンユウ,カンユー,s
せ	動詞,自立,*,*,サ変・スル,未然形特殊,する,セ,セ,s
な	助動詞,*,*,*,特殊・ナイ,仮定形・縮約形,な,ナ,ナ,s
あか	動詞,非自立,*,*,五段・カ行イ音便,未然形,あく,アカ,アカ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
体育館	名詞,一般,*,*,*,*,体育館,タイイクカン,タイイクカン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
所	名詞,非自立,副詞可能,*,*,*,所,トコロ,トコロ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
こう	副詞,助詞類接続,*,*,*,*,こう,コウ,コー,s
並ん	動詞,自立,*,*,五段・バ行,連用タ接続,並ぶ,ナラン,ナラン,s
で	助詞,接続助詞,*,*,*,*,で,デ,デ,s
待っ	動詞,自立,*,*,五段・タ行,連用タ接続,待つ,マッ,マッ,s
とん	動詞,非自立,*,*,五段・ラ行撥音便,基本形・縮約形,て＋おる,トン,トン,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
こう	副詞,助詞類接続,*,*,*,*,こう,コウ,コー,s
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
受け取っ	動詞,自立,*,*,五段・ラ行,連用タ接続,受け取る,ウケトッ,ウケトッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
もう	動詞,非自立,*,*,五段・ワ行ウ音便,連用タ接続・縮約形,もらう,モウ,モー,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
待っ	動詞,自立,*,*,五段・タ行,連用タ接続,待つ,マッ,マッ,s
とる	動詞,非自立,*,*,五段・ラ行,基本形・縮約形,て＋おる,トル,トル,s
わけ	名詞,非自立,一般,*,*,*,わけ,ワケ,ワケ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
んで	接続詞,*,*,*,*,*,んで,ンデ,ンデ,s
、	記号,読点,*,*,*,*,、,、,、,s
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
体格	名詞,一般,*,*,*,*,体格,タイカク,タイカク,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
ええ	形容詞,自立,*,*,形容詞・イイ,基本形,いい,エエ,エー,s
奴	名詞,代名詞,一般,*,*,*,奴,ヤツ,ヤツ,s
見つけ	動詞,自立,*,*,一段,連用形,見つける,ミツケ,ミツケ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
、	記号,読点,*,*,*,*,、,、,、,s
「	記号,括弧開,*,*,*,*,「,「,「,s
