え	感動詞,*,*,*,*,*,え,エ,エ,i
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
だから	接続詞,*,*,*,*,*,だから,ダカラ,ダカラ,s
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
あん	動詞,自立,*,*,五段・ラ行撥音便,基本形,ある,アン,アン,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
おじいちゃん	名詞,一般,*,*,*,*,おじいちゃん,オジイチャン,オジーチャン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
、	記号,読点,*,*,*,*,、,、,、,s
そこ	名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
働け	動詞,自立,*,*,一段,連用形,働ける,ハタラケ,ハタラケ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,s
、	記号,読点,*,*,*,*,、,、,、,s
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
、	記号,読点,*,*,*,*,、,、,、,s
年金	名詞,一般,*,*,*,*,年金,ネンキン,ネンキン,s
貰える	動詞,自立,*,*,一段,基本形,貰える,モラエル,モラエル,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほんで	接続詞,*,*,*,*,*,ほんで,ホンデ,ホンデ,s
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
、	記号,読点,*,*,*,*,、,、,、,s
兵隊	名詞,一般,*,*,*,*,兵隊,ヘイタイ,ヘイタイ,s
さん	名詞,接尾,人名,*,*,*,さん,サン,サン,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
恩給	名詞,一般,*,*,*,*,恩給,オンキュウ,オンキュー,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
貰え	動詞,自立,*,*,一段,連用形,貰える,モラエ,モラエ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
それで	接続詞,*,*,*,*,*,それで,ソレデ,ソレデ,s
生計	名詞,一般,*,*,*,*,生計,セイケイ,セイケイ,s
立て	動詞,自立,*,*,一段,連用形,立てる,タテ,タテ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
いけ	動詞,非自立,*,*,一段,連用形,いける,イケ,イケ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
せ	副詞,助詞類接続・短音化,*,*,*,*,そう,セ,セ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,s
まんま	名詞,非自立,副詞可能,*,*,*,まんま,マンマ,マンマ,s
いっ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,いく,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
、	記号,読点,*,*,*,*,、,、,、,s
働く	動詞,自立,*,*,五段・カ行イ音便,基本形,働く,ハタラク,ハタラク,s
とこ	名詞,一般,*,*,*,*,とこ,トコ,トコ,s
なかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,ない,ナカッ,ナカッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
、	記号,読点,*,*,*,*,、,、,、,s
また	接続詞,*,*,*,*,*,また,マタ,マタ,s
大阪	名詞,固有名詞,地域,一般,*,*,大阪,オオサカ,オーサカ,s
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ,s
出	動詞,自立,*,*,一段,連用形,出る,デ,デ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
き	動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
思う	動詞,自立,*,*,五段・ワ行促音便,基本形,思う,オモウ,オモー,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
まあ	副詞,一般,*,*,*,*,まあ,マア,マー,s
私	名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
大阪	名詞,固有名詞,地域,一般,*,*,大阪,オオサカ,オーサカ,s
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ,s
出	動詞,自立,*,*,一段,連用形,出る,デ,デ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,s
、	記号,読点,*,*,*,*,、,、,、,s
それから	接続詞,*,*,*,*,*,それから,ソレカラ,ソレカラ,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
二	名詞,数,*,*,*,*,二,ニ,ニ,i
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,i
一	名詞,数,*,*,*,*,一,イチ,イチ,i
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほれ	名詞,代名詞,一般,*,*,*,ほれ,ホレ,ホレ,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
言う	動詞,自立,*,*,五段・ワ行促音便,基本形,言う,ユウ,ユー,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
簿記	名詞,一般,*,*,*,*,簿記,ボキ,ボキ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
仕事	名詞,サ変接続,*,*,*,*,仕事,シゴト,シゴト,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
んで	接続詞,*,*,*,*,*,んで,ンデ,ンデ,s
結婚	名詞,サ変接続,*,*,*,*,結婚,ケッコン,ケッコン,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
おばあちゃん	名詞,一般,*,*,*,*,おばあちゃん,オバアチャン,オバアチャン,s
たち	名詞,接尾,一般,*,*,*,たち,タチ,タチ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
ずっと	副詞,一般,*,*,*,*,ずっと,ズット,ズット,s
あそこ	名詞,代名詞,一般,*,*,*,あそこ,アソコ,アソコ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
い	動詞,自立,*,*,一段,連用形,いる,イ,イ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
母	名詞,一般,*,*,*,*,母,ハハ,ハハ,s
、	記号,読点,*,*,*,*,、,、,、,s
おじいちゃん	名詞,一般,*,*,*,*,おじいちゃん,オジイチャン,オジーチャン,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
八	名詞,数,*,*,*,*,八,ハチ,ハチ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
七	名詞,数,*,*,*,*,七,ナナ,ナナ,s
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
また	接続詞,*,*,*,*,*,また,マタ,マタ,s
大阪	名詞,固有名詞,地域,一般,*,*,大阪,オオサカ,オーサカ,s
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ,s
出	動詞,自立,*,*,一段,連用形,出る,デ,デ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
き	動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
八	名詞,数,*,*,*,*,八,ハチ,ハチ,i
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,i
七	名詞,数,*,*,*,*,七,ナナ,ナナ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
八	名詞,数,*,*,*,*,八,ハチ,ハチ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
七	名詞,数,*,*,*,*,七,ナナ,ナナ,s
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
姉	名詞,一般,*,*,*,*,姉,ネエ,ネー,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
呼ん	動詞,自立,*,*,五段・バ行,連用タ接続,呼ぶ,ヨン,ヨン,s
で	助詞,接続助詞,*,*,*,*,で,デ,デ,s
くれ	動詞,自立,*,*,一段,連用形,くれる,クレ,クレ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
そら	名詞,代名詞・縮約形,*,*,*,*,それは,ソラ,ソラ,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
何	名詞,代名詞,一般,*,*,*,何,ナン,ナン,i
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
八	名詞,数,*,*,*,*,八,ハチ,ハチ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
七	名詞,数,*,*,*,*,七,ナナ,ナナ,s
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
八	名詞,数,*,*,*,*,八,ハチ,ハチ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
八	名詞,数,*,*,*,*,八,ハチ,ハチ,s
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
あんた	名詞,代名詞,一般,*,*,*,あんた,アンタ,アンタ,s
生き	動詞,自立,*,*,一段,連用形,生きる,イキ,イキ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
まだ	副詞,助詞類接続,*,*,*,*,まだ,マダ,マダ,i
生き	動詞,自立,*,*,一段,連用形,生きる,イキ,イキ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
当たり前	名詞,形容動詞語幹,*,*,*,*,当たり前,アタリマエ,アタリマエ,s
じゃ	助動詞,*,*,*,特殊・ジャ,未然形,じゃ,ジャ,ジャ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
、	記号,読点,*,*,*,*,、,、,、,s
い	動詞,自立,*,*,一段,連用形,いる,イ,イ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,s
わ	助詞,終助詞,*,*,*,*,わ,ワ,ワ,s
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ここ	名詞,代名詞,一般,*,*,*,ここ,ココ,ココ,s
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ,s
来	動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
じゃ	助動詞,*,*,*,特殊・ジャ,未然形,じゃ,ジャ,ジャ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
、	記号,読点,*,*,*,*,、,、,、,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ここ	名詞,代名詞,一般,*,*,*,ここ,ココ,ココ,i
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ,i
来	動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
来	動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
もん	助詞,終助詞,*,*,*,*,もん,モン,モン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
せ	副詞,助詞類接続・短音化,*,*,*,*,そう,セ,セ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
、	記号,読点,*,*,*,*,、,、,、,s
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
、	記号,読点,*,*,*,*,、,、,、,s
おばあちゃん	名詞,一般,*,*,*,*,おばあちゃん,オバアチャン,オバアチャン,s
たち	名詞,接尾,一般,*,*,*,たち,タチ,タチ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
、	記号,読点,*,*,*,*,、,、,、,s
八	名詞,数,*,*,*,*,八,ハチ,ハチ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
八	名詞,数,*,*,*,*,八,ハチ,ハチ,s
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
田舎	名詞,一般,*,*,*,*,田舎,イナカ,イナカ,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
ほっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ほる,ホッ,ホッ,s
とけ	動詞,非自立,*,*,五段・カ行イ音便,未然形・母音調和,とく,トケ,トケ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
じゃ	助動詞,*,*,*,特殊・ジャ,未然形,じゃ,ジャ,ジャ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
年寄り	名詞,一般,*,*,*,*,年寄り,トシヨリ,トシヨリ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
のに	助詞,接続助詞,*,*,*,*,のに,ノニ,ノニ,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
せ	副詞,助詞類接続・短音化,*,*,*,*,そう,セ,セ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
呼ん	動詞,自立,*,*,五段・バ行,連用タ接続,呼ぶ,ヨン,ヨン,s
で	助詞,接続助詞,*,*,*,*,で,デ,デ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
姉	名詞,一般,*,*,*,*,姉,ネエ,ネー,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
とこ	名詞,一般,*,*,*,*,とこ,トコ,トコ,s
、	記号,読点,*,*,*,*,、,、,、,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
えー	フィラー,*,*,*,*,*,えー,エー,エー,s
藤沢	名詞,固有名詞,一般,*,*,*,藤沢,フジサワ,フジサワ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
藤沢	名詞,固有名詞,一般,*,*,*,藤沢,フジサワ,フジサワ,s
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
どこ	名詞,代名詞,一般,*,*,*,どこ,ドコ,ドコ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
藤沢	名詞,固有名詞,一般,*,*,*,藤沢,フジサワ,フジサワ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
神奈川	名詞,固有名詞,地域,一般,*,*,神奈川,カナガワ,カナガワ,s
県	名詞,接尾,地域,*,*,*,県,ケン,ケン,s
藤沢	名詞,固有名詞,地域,一般,*,*,藤沢,フジサワ,フジサワ,s
市	名詞,接尾,地域,*,*,*,市,シ,シ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
、	記号,読点,*,*,*,*,、,、,、,s
おばちゃん	名詞,一般,*,*,*,*,おばちゃん,オバチャン,オバチャン,s
い	動詞,自立,*,*,一段,連用形,いる,イ,イ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
はる	動詞,非自立,*,*,五段・ラ行,基本形,はる,ハル,ハル,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
ああ	副詞,助詞類接続,*,*,*,*,ああ,アア,アー,i
、	記号,読点,*,*,*,*,、,、,、,i
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
いや	接続詞,*,*,*,*,*,いや,イヤ,イヤ,i
分から	動詞,自立,*,*,五段・ラ行,未然形,分かる,ワカラ,ワカラ,i
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
おばあちゃん	名詞,一般,*,*,*,*,おばあちゃん,オバアチャン,オバアチャン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
姉	名詞,一般,*,*,*,*,姉,ネエ,ネー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ああ	副詞,助詞類接続,*,*,*,*,ああ,アア,アー,i
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
知ら	動詞,自立,*,*,五段・ラ行,未然形,知る,シラ,シラ,i
んかっ	助動詞,*,*,*,特殊・ナイ,連用タ接続,ん,ンカッ,ンカッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,s
、	記号,読点,*,*,*,*,、,、,、,s
ずっと	副詞,一般,*,*,*,*,ずっと,ズット,ズット,s
おばあちゃん	名詞,一般,*,*,*,*,おばあちゃん,オバアチャン,オバアチャン,s
うち	名詞,代名詞,一般,*,*,*,うち,ウチ,ウチ,s
来る	動詞,自立,*,*,カ変・来ル,基本形,来る,クル,クル,s
前	名詞,副詞可能,*,*,*,*,前,マエ,マエ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
そこ	名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
い	動詞,自立,*,*,一段,連用形,いる,イ,イ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
二	名詞,数,*,*,*,*,二,ニ,ニ,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほんで	接続詞,*,*,*,*,*,ほんで,ホンデ,ホンデ,s
それから	接続詞,*,*,*,*,*,それから,ソレカラ,ソレカラ,s
、	記号,読点,*,*,*,*,、,、,、,s
うち	名詞,代名詞,一般,*,*,*,うち,ウチ,ウチ,s
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ,s
来	動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ,s
てん	助詞,*,*,*,特殊・タ＋ん／接続・テ＋ん,基本形・縮約形,てん,テン,テン,s
もん	助詞,終助詞,*,*,*,*,もん,モン,モン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あそこ	名詞,代名詞,一般,*,*,*,あそこ,アソコ,アソコ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
年間	名詞,接尾,助数詞,*,*,*,年間,ネンカン,ネンカン,s
過ごし	動詞,自立,*,*,五段・サ行,連用形,過ごす,スゴシ,スゴシ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
やっぱり	副詞,一般,*,*,*,*,やっぱり,ヤッパリ,ヤッパリ,s
おっちゃん	名詞,一般,*,*,*,*,おっちゃん,オッチャン,オッチャン,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
脳	名詞,一般,*,*,*,*,脳,ノウ,ノー,s
梗塞	名詞,サ変接続,*,*,*,*,梗塞,コウソク,コーソク,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
姉	名詞,一般,*,*,*,*,姉,ネエ,ネー,s
婿	名詞,一般,*,*,*,*,婿,ムコ,ムコ,s
