まず	副詞,一般,*,*,*,*,まず,マズ,マズ,i
。	記号,句点,*,*,*,*,。,。,。,s
EOS
飛行機	名詞,一般,*,*,*,*,飛行機,ヒコウキ,ヒコーキ,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
みんな	名詞,代名詞,一般,*,*,*,みんな,ミンナ,ミンナ,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,i
たり	助詞,並立助詞,*,*,*,*,たり,タリ,タリ,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
ほとんど	副詞,一般,*,*,*,*,ほとんど,ホトンド,ホトンド,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
周り	名詞,一般,*,*,*,*,周り,マワリ,マワリ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
観光	名詞,サ変接続,*,*,*,*,観光,カンコウ,カンコー,s
地	名詞,接尾,一般,*,*,*,地,チ,チ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ふーん	感動詞,*,*,*,*,*,ふーん,フーン,フーン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
中国	名詞,固有名詞,地域,国,*,*,中国,チュウゴク,チューゴク,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
すごい	副詞,一般,*,*,*,*,すごい,スゴイ,スゴイ,i
勉強	名詞,サ変接続,*,*,*,*,勉強,ベンキョウ,ベンキョー,i
熱心	名詞,形容動詞語幹,*,*,*,*,熱心,ネッシン,ネッシン,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
イメージ	名詞,サ変接続,*,*,*,*,イメージ,イメージ,イメージ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
勉強	名詞,サ変接続,*,*,*,*,勉強,ベンキョウ,ベンキョー,s
熱心	名詞,形容動詞語幹,*,*,*,*,熱心,ネッシン,ネッシン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
私	名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
勉強	名詞,サ変接続,*,*,*,*,勉強,ベンキョウ,ベンキョー,s
熱心	名詞,形容動詞語幹,*,*,*,*,熱心,ネッシン,ネッシン,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
方	名詞,非自立,一般,*,*,*,方,ホウ,ホー,s
じゃ	助動詞,*,*,*,特殊・ジャ,未然形,じゃ,ジャ,ジャ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
えー	感動詞,*,*,*,*,*,えー,エー,エー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
絶対	副詞,一般,*,*,*,*,絶対,ゼッタイ,ゼッタイ,i
頭	名詞,一般,*,*,*,*,頭,アタマ,アタマ,i
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,i
顔	名詞,一般,*,*,*,*,顔,カオ,カオ,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
てん	動詞,非自立,*,*,一段撥音便,基本形・縮約形,て＋いる,テン,テン,i
のに	助詞,接続助詞,*,*,*,*,のに,ノニ,ノニ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
絶対	副詞,一般,*,*,*,*,絶対,ゼッタイ,ゼッタイ,i
頭	名詞,一般,*,*,*,*,頭,アタマ,アタマ,i
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
中国	名詞,固有名詞,地域,国,*,*,中国,チュウゴク,チューゴク,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
方	名詞,非自立,一般,*,*,*,方,ホウ,ホー,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
みんな	名詞,代名詞,一般,*,*,*,みんな,ミンナ,ミンナ,i
頭	名詞,一般,*,*,*,*,頭,アタマ,アタマ,i
良さ	名詞,一般,*,*,*,*,良さ,ヨサ,ヨサ,i
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
んー	フィラー,*,*,*,*,*,んー,ンー,ンー,s
、	記号,読点,*,*,*,*,、,、,、,s
まあまあ	副詞,一般,*,*,*,*,まあまあ,マアマア,マーマー,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
多分	副詞,一般,*,*,*,*,多分,タブン,タブン,s
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
誤解	名詞,サ変接続,*,*,*,*,誤解,ゴカイ,ゴカイ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
かも	助詞,副助詞,*,*,*,*,かも,カモ,カモ,s
しれ	動詞,自立,*,*,一段,未然形,しれる,シレ,シレ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
違う	感動詞,*,*,*,*,*,違う,チャウ,チャウ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
えー	フィラー,*,*,*,*,*,えー,エー,エー,i
、	記号,読点,*,*,*,*,、,、,、,i
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
無理やり	副詞,一般,*,*,*,*,無理やり,ムリヤリ,ムリヤリ,s
勉強	名詞,サ変接続,*,*,*,*,勉強,ベンキョウ,ベンキョー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
みんな	名詞,代名詞,一般,*,*,*,みんな,ミンナ,ミンナ,s
頭	名詞,一般,*,*,*,*,頭,アタマ,アタマ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,s
わけ	名詞,非自立,一般,*,*,*,わけ,ワケ,ワケ,s
では	助詞,接続助詞,*,*,*,*,では,デハ,デワ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
思う	動詞,自立,*,*,五段・ワ行促音便,基本形,思う,オモウ,オモウ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なるほど	感動詞,*,*,*,*,*,なるほど,ナルホド,ナルホド,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,i
だけ	助詞,副助詞,*,*,*,*,だけ,ダケ,ダケ,i
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なるほど	感動詞,*,*,*,*,*,なるほど,ナルホド,ナルホド,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
え	感動詞,*,*,*,*,*,え,エ,エ,i
、	記号,読点,*,*,*,*,、,、,、,i
兄弟	名詞,一般,*,*,*,*,兄弟,キョウダイ,キョーダイ,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
いる	動詞,自立,*,*,一段,基本形,いる,イル,イル,i
ん	助詞,終助詞,*,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
一人っ子	名詞,一般,*,*,*,*,一人っ子,ヒトリッコ,ヒトリッコ,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あ	感動詞,*,*,*,*,*,あ,ア,ア,i
、	記号,読点,*,*,*,*,、,、,、,i
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
、	記号,読点,*,*,*,*,、,、,、,i
お母さん	名詞,一般,*,*,*,*,お母さん,オカアサン,オカーサン,i
と	助詞,並立助詞,*,*,*,*,と,ト,ト,i
お父さん	名詞,一般,*,*,*,*,お父さん,オトウサン,オトーサン,i
寂しい	形容詞,自立,*,*,形容詞・イ段,基本形,寂しい,サビシイ,サビシイ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
んー	フィラー,*,*,*,*,*,んー,ンー,ンー,s
、	記号,読点,*,*,*,*,、,、,、,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
家族	名詞,一般,*,*,*,*,家族,カゾク,カゾク,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
いっぱい	副詞,一般,*,*,*,*,いっぱい,イッパイ,イッパイ,s
おる	動詞,自立,*,*,五段・ラ行,基本形,おる,オル,オル,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
叔母さん	名詞,一般,*,*,*,*,叔母さん,オバサン,オバサン,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
二人	名詞,一般,*,*,*,*,二人,フタリ,フタリ,s
い	動詞,自立,*,*,一段,連用形,いる,イ,イ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
えーっと	フィラー,*,*,*,*,*,えーっと,エーット,エーット,s
、	記号,読点,*,*,*,*,、,、,、,s
叔父さん	名詞,一般,*,*,*,*,叔父さん,オジサン,オジサン,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
一人	名詞,一般,*,*,*,*,一人,ヒトリ,ヒトリ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
せ	副詞,助詞類接続・短音化,*,*,*,*,そう,セ,セ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
多分	副詞,一般,*,*,*,*,多分,タブン,タブン,s
寂しく	形容詞,自立,*,*,形容詞・イ段,連用テ接続,寂しい,サビシク,サビシク,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
え	感動詞,*,*,*,*,*,え,エ,エ,i
、	記号,読点,*,*,*,*,、,、,、,i
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,i
絶対	副詞,一般,*,*,*,*,絶対,ゼッタイ,ゼッタイ,i
寂しい	形容詞,自立,*,*,形容詞・イ段,基本形,寂しい,サビシイ,サビシイ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
息子	名詞,一般,*,*,*,*,息子,ムスコ,ムスコ,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
い	動詞,自立,*,*,一段,未然形,いる,イ,イ,i
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,i
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そこ	名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
多分	副詞,一般,*,*,*,*,多分,タブン,タブン,s
寂しい	形容詞,自立,*,*,形容詞・イ段,基本形,寂しい,サビシイ,サビシイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
え	感動詞,*,*,*,*,*,え,エ,エ,i
、	記号,読点,*,*,*,*,、,、,、,i
会い	動詞,自立,*,*,五段・ワ行促音便,連用形,会う,アイ,アイ,i
たく	助動詞,*,*,*,特殊・タイ,連用テ接続,たい,タク,タク,i
なら	動詞,自立,*,*,五段・ラ行,未然形,なる,ナラ,ナラ,i
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,i
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
んー	フィラー,*,*,*,*,*,んー,ンー,ンー,s
、	記号,読点,*,*,*,*,、,、,、,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
年	名詞,一般,*,*,*,*,年,トシ,トシ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ,s
くらい	助詞,副助詞,*,*,*,*,くらい,クライ,クライ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
帰る	動詞,自立,*,*,五段・ラ行,基本形,帰る,カエル,カエル,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
一	名詞,数,*,*,*,*,一,イチ,イチ,s
ヶ月	名詞,接尾,助数詞,*,*,*,ヶ月,カゲツ,カゲツ,s
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
夏休み	名詞,一般,*,*,*,*,夏休み,ナツヤスミ,ナツヤスミ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
冬休み	名詞,一般,*,*,*,*,冬休み,フユヤスミ,フユヤスミ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,i
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
んー	フィラー,*,*,*,*,*,んー,ンー,ンー,s
、	記号,読点,*,*,*,*,、,、,、,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ,s
帰る	動詞,自立,*,*,五段・ラ行,基本形,帰る,カエル,カエル,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
それで	接続詞,*,*,*,*,*,それで,ソレデ,ソレデ,i
十分	副詞,一般,*,*,*,*,十分,ジュウブン,ジューブン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
多分	副詞,一般,*,*,*,*,多分,タブン,タブン,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
去年	名詞,副詞可能,*,*,*,*,去年,キョネン,キョネン,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
お母さん	名詞,一般,*,*,*,*,お母さん,オカアサン,オカーサン,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
来	動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
神戸	名詞,固有名詞,地域,一般,*,*,神戸,コウベ,コーベ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
来	動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
遊び	名詞,一般,*,*,*,*,遊び,アソビ,アソビ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
き	動詞,自立,*,*,一段,連用形,きる,キ,キ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
いっぱい	副詞,一般,*,*,*,*,いっぱい,イッパイ,イッパイ,i
案内	名詞,サ変接続,*,*,*,*,案内,アンナイ,アンナイ,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
結構	副詞,一般,*,*,*,*,結構,ケッコウ,ケッコー,s
楽しかっ	形容詞,自立,*,*,形容詞・イ段,連用タ接続,楽しい,タノシカッ,タノシカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
絶対	副詞,一般,*,*,*,*,絶対,ゼッタイ,ゼッタイ,i
楽しい	形容詞,自立,*,*,形容詞・イ段,基本形,楽しい,タノシイ,タノシイ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
えー	フィラー,*,*,*,*,*,えー,エー,エー,i
、	記号,読点,*,*,*,*,、,、,、,i
そっか	感動詞,*,*,*,*,*,そっか,ソッカ,ソッカ,i
兄弟	名詞,一般,*,*,*,*,兄弟,キョウダイ,キョーダイ,i
い	動詞,自立,*,*,一段,未然形,いる,イ,イ,i
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
中国	名詞,固有名詞,地域,国,*,*,中国,チュウゴク,チューゴク,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
子ども	名詞,一般,*,*,*,*,子ども,コドモ,コドモ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
人数	名詞,一般,*,*,*,*,人数,ニンズウ,ニンズー,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
多い	形容詞,自立,*,*,形容詞・アウオ段,基本形,多い,オオイ,オーイ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
一人っ子	名詞,一般,*,*,*,*,一人っ子,ヒトリッコ,ヒトリッコ,s
政策	名詞,一般,*,*,*,*,政策,セイサク,セイサク,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そっか	感動詞,*,*,*,*,*,そっか,ソッカ,ソッカ,i
なるほど	感動詞,*,*,*,*,*,なるほど,ナルホド,ナルホド,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
だから	接続詞,*,*,*,*,*,だから,ダカラ,ダカラ,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,i
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
ごめん	感動詞,*,*,*,*,*,ごめん,ゴメン,ゴメン,s
ごめん	感動詞,*,*,*,*,*,ごめん,ゴメン,ゴメン,s
、	記号,読点,*,*,*,*,、,、,、,s
誰	名詞,代名詞,一般,*,*,*,誰,ダレ,ダレ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
全然	副詞,助詞類接続,*,*,*,*,全然,ゼンゼン,ゼンゼン,i
全然	副詞,助詞類接続,*,*,*,*,全然,ゼンゼン,ゼンゼン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
どうぞ	感動詞,*,*,*,*,*,どうぞ,ドウゾ,ドーゾ,i
どうぞ	感動詞,*,*,*,*,*,どうぞ,ドウゾ,ドーゾ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
大丈夫	名詞,形容動詞語幹,*,*,*,*,大丈夫,ダイジョウブ,ダイジョーブ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
友達	名詞,一般,*,*,*,*,友達,トモダチ,トモダチ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あと	名詞,一般,*,*,*,*,あと,アト,アト,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
大丈夫	名詞,形容動詞語幹,*,*,*,*,大丈夫,ダイジョウブ,ダイジョーブ,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
多分	副詞,一般,*,*,*,*,多分,タブン,タブン,s
用事	名詞,一般,*,*,*,*,用事,ヨウジ,ヨージ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
思う	動詞,自立,*,*,五段・ワ行促音便,基本形,思う,オモウ,オモウ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そっか	感動詞,*,*,*,*,*,そっか,ソッカ,ソッカ,i
、	記号,読点,*,*,*,*,、,、,、,i
なるほど	感動詞,*,*,*,*,*,なるほど,ナルホド,ナルホド,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
こんな	連体詞,*,*,*,*,*,こんな,コンナ,コンナ,i
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,i
聞い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,聞く,キイ,キイ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
いい	形容詞,非自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
付き合う	動詞,自立,*,*,五段・ワ行促音便,基本形,付き合う,ツキアウ,ツキアウ,i
なら	助動詞,*,*,*,特殊・ダ,仮定形,だ,ナラ,ナラ,i
、	記号,読点,*,*,*,*,、,、,、,i
恋人	名詞,一般,*,*,*,*,恋人,コイビト,コイビト,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,i
なら	接続詞,*,*,*,*,*,なら,ナラ,ナラ,i
、	記号,読点,*,*,*,*,、,、,、,i
日本人	名詞,一般,*,*,*,*,日本人,ニッポンジン,ニッポンジン,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
中国	名詞,固有名詞,地域,国,*,*,中国,チュウゴク,チューゴク,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,i
、	記号,読点,*,*,*,*,、,、,、,i
どっち	名詞,代名詞,一般,*,*,*,どっち,ドッチ,ドッチ,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,i
ん	助詞,終助詞,*,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
