パッパー	副詞,一般,*,*,*,*,パッパー,パッパー,パッパー
べって	副詞,一般,*,*,*,*,べって,ベッテ,ベッテ
べーって	副詞,一般,*,*,*,*,べーって,ベーッテ,ベーッテ
べっと	副詞,一般,*,*,*,*,べっと,ベット,ベット
べーっと	副詞,一般,*,*,*,*,べーっと,ベーット,ベーット
ベって	副詞,一般,*,*,*,*,ベって,ベッテ,ベッテ
ベーって	副詞,一般,*,*,*,*,ベーって,ベーッテ,ベーッテ
ベっと	副詞,一般,*,*,*,*,ベっと,ベット,ベット
ベーっと	副詞,一般,*,*,*,*,ベーっと,ベーット,ベーット
ベッて	副詞,一般,*,*,*,*,ベッて,ベッテ,ベッテ
ベーッて	副詞,一般,*,*,*,*,ベーッて,ベーッテ,ベーッテ
ベッと	副詞,一般,*,*,*,*,ベッと,ベット,ベット
ベーッと	副詞,一般,*,*,*,*,ベーッと,ベーット,ベーット
べべ	副詞,一般,*,*,*,*,べべ,ベベ,ベベ
べっべ	副詞,一般,*,*,*,*,べっべ,ベッベ,ベッベ
ベベ	副詞,一般,*,*,*,*,ベベ,ベベ,ベベ
ベッベ	副詞,一般,*,*,*,*,ベッベ,ベッベ,ベッベ
べべ	副詞,一般,*,*,*,*,べべ,ベベ,ベベ
ベベッ	副詞,一般,*,*,*,*,ベベッ,ベベッ,ベベッ
べっべっ	副詞,一般,*,*,*,*,べっべっ,ベッベッ,ベッベッ
ベッベッ	副詞,一般,*,*,*,*,ベッベッ,ベッベッ,ベッベッ
べべって	副詞,一般,*,*,*,*,べべって,ベベッテ,ベベッテ
ベベッて	副詞,一般,*,*,*,*,ベベッて,ベベッテ,ベベッテ
べっべって	副詞,一般,*,*,*,*,べっべって,ベッベッテ,ベッベッテ
ベッベッて	副詞,一般,*,*,*,*,ベッベッて,ベッベッテ,ベッベッテ
べべっと	副詞,一般,*,*,*,*,べべっと,ベベット,ベベット
ベベッと	副詞,一般,*,*,*,*,ベベッと,ベベット,ベベット
べっべっと	副詞,一般,*,*,*,*,べっべっと,ベッベット,ベッベット
ベッベッと	副詞,一般,*,*,*,*,ベッベッと,ベッベット,ベッベット
べー	副詞,一般,*,*,*,*,べー,ベー,ベー
ベー	副詞,一般,*,*,*,*,ベー,ベー,ベー
ぼっ	副詞,一般,*,*,*,*,ぼっ,ボッ,ボッ
ぼって	副詞,一般,*,*,*,*,ぼって,ボッテ,ボッテ
ぼーって	副詞,一般,*,*,*,*,ぼーって,ボーッテ,ボーッテ
ぼっと	副詞,一般,*,*,*,*,ぼっと,ボット,ボット
ぼーっと	副詞,一般,*,*,*,*,ぼーっと,ボーット,ボーット
ボって	副詞,一般,*,*,*,*,ボって,ボッテ,ボッテ
ボーって	副詞,一般,*,*,*,*,ボーって,ボーッテ,ボーッテ
ボっと	副詞,一般,*,*,*,*,ボっと,ボット,ボット
ボーっと	副詞,一般,*,*,*,*,ボーっと,ボーット,ボーット
ボッて	副詞,一般,*,*,*,*,ボッて,ボッテ,ボッテ
ボーッて	副詞,一般,*,*,*,*,ボーッて,ボーッテ,ボーッテ
ボッと	副詞,一般,*,*,*,*,ボッと,ボット,ボット
ボーッと	副詞,一般,*,*,*,*,ボーッと,ボーット,ボーット
ぼぼ	副詞,一般,*,*,*,*,ぼぼ,ボボ,ボボ
ぼっぼ	副詞,一般,*,*,*,*,ぼっぼ,ボッボ,ボッボ
ボボ	副詞,一般,*,*,*,*,ボボ,ボボ,ボボ
ボッボ	副詞,一般,*,*,*,*,ボッボ,ボッボ,ボッボ
ぼぼ	副詞,一般,*,*,*,*,ぼぼ,ボボ,ボボ
ボボッ	副詞,一般,*,*,*,*,ボボッ,ボボッ,ボボッ
ぼっぼっ	副詞,一般,*,*,*,*,ぼっぼっ,ボッボッ,ボッボッ
ボッボッ	副詞,一般,*,*,*,*,ボッボッ,ボッボッ,ボッボッ
ぼぼって	副詞,一般,*,*,*,*,ぼぼって,ボボッテ,ボボッテ
ボボッて	副詞,一般,*,*,*,*,ボボッて,ボボッテ,ボボッテ
ぼっぼって	副詞,一般,*,*,*,*,ぼっぼって,ボッボッテ,ボッボッテ
ボッボッて	副詞,一般,*,*,*,*,ボッボッて,ボッボッテ,ボッボッテ
ぼぼっと	副詞,一般,*,*,*,*,ぼぼっと,ボボット,ボボット
ボボッと	副詞,一般,*,*,*,*,ボボッと,ボボット,ボボット
ぼっぼっと	副詞,一般,*,*,*,*,ぼっぼっと,ボッボット,ボッボット
ボッボッと	副詞,一般,*,*,*,*,ボッボッと,ボッボット,ボッボット
ぼー	副詞,一般,*,*,*,*,ぼー,ボー,ボー
ボー	副詞,一般,*,*,*,*,ボー,ボー,ボー
ぱっ	副詞,一般,*,*,*,*,ぱっ,パッ,パッ
ぱって	副詞,一般,*,*,*,*,ぱって,パッテ,パッテ
ぱーって	副詞,一般,*,*,*,*,ぱーって,パーッテ,パーッテ
ぱっと	副詞,一般,*,*,*,*,ぱっと,パット,パット
ぱーっと	副詞,一般,*,*,*,*,ぱーっと,パーット,パーット
パって	副詞,一般,*,*,*,*,パって,パッテ,パッテ
パーって	副詞,一般,*,*,*,*,パーって,パーッテ,パーッテ
パっと	副詞,一般,*,*,*,*,パっと,パット,パット
パーっと	副詞,一般,*,*,*,*,パーっと,パーット,パーット
パッて	副詞,一般,*,*,*,*,パッて,パッテ,パッテ
パーッて	副詞,一般,*,*,*,*,パーッて,パーッテ,パーッテ
パッと	副詞,一般,*,*,*,*,パッと,パット,パット
パーッと	副詞,一般,*,*,*,*,パーッと,パーット,パーット
ぱぱ	副詞,一般,*,*,*,*,ぱぱ,パパ,パパ
ぱっぱ	副詞,一般,*,*,*,*,ぱっぱ,パッパ,パッパ
パパ	副詞,一般,*,*,*,*,パパ,パパ,パパ
パッパ	副詞,一般,*,*,*,*,パッパ,パッパ,パッパ
ぱぱ	副詞,一般,*,*,*,*,ぱぱ,パパ,パパ
パパッ	副詞,一般,*,*,*,*,パパッ,パパッ,パパッ
ぱっぱっ	副詞,一般,*,*,*,*,ぱっぱっ,パッパッ,パッパッ
パッパッ	副詞,一般,*,*,*,*,パッパッ,パッパッ,パッパッ
ぱぱって	副詞,一般,*,*,*,*,ぱぱって,パパッテ,パパッテ
パパッて	副詞,一般,*,*,*,*,パパッて,パパッテ,パパッテ
ぱっぱって	副詞,一般,*,*,*,*,ぱっぱって,パッパッテ,パッパッテ
パッパッて	副詞,一般,*,*,*,*,パッパッて,パッパッテ,パッパッテ
ぱぱっと	副詞,一般,*,*,*,*,ぱぱっと,パパット,パパット
パパッと	副詞,一般,*,*,*,*,パパッと,パパット,パパット
ぱっぱっと	副詞,一般,*,*,*,*,ぱっぱっと,パッパット,パッパット
パッパッと	副詞,一般,*,*,*,*,パッパッと,パッパット,パッパット
ぱー	副詞,一般,*,*,*,*,ぱー,パー,パー
パー	副詞,一般,*,*,*,*,パー,パー,パー
ぴっ	副詞,一般,*,*,*,*,ぴっ,ピッ,ピッ
ぴって	副詞,一般,*,*,*,*,ぴって,ピッテ,ピッテ
ぴーって	副詞,一般,*,*,*,*,ぴーって,ピーッテ,ピーッテ
ぴっと	副詞,一般,*,*,*,*,ぴっと,ピット,ピット
ぴーっと	副詞,一般,*,*,*,*,ぴーっと,ピーット,ピーット
ピって	副詞,一般,*,*,*,*,ピって,ピッテ,ピッテ
ピーって	副詞,一般,*,*,*,*,ピーって,ピーッテ,ピーッテ
ピっと	副詞,一般,*,*,*,*,ピっと,ピット,ピット
ピーっと	副詞,一般,*,*,*,*,ピーっと,ピーット,ピーット
ピッて	副詞,一般,*,*,*,*,ピッて,ピッテ,ピッテ
ピーッて	副詞,一般,*,*,*,*,ピーッて,ピーッテ,ピーッテ
ピッと	副詞,一般,*,*,*,*,ピッと,ピット,ピット
ピーッと	副詞,一般,*,*,*,*,ピーッと,ピーット,ピーット
ぴぴ	副詞,一般,*,*,*,*,ぴぴ,ピピ,ピピ
ぴっぴ	副詞,一般,*,*,*,*,ぴっぴ,ピッピ,ピッピ
ピピ	副詞,一般,*,*,*,*,ピピ,ピピ,ピピ
ピッピ	副詞,一般,*,*,*,*,ピッピ,ピッピ,ピッピ
ぴぴ	副詞,一般,*,*,*,*,ぴぴ,ピピ,ピピ
ピピッ	副詞,一般,*,*,*,*,ピピッ,ピピッ,ピピッ
ぴっぴっ	副詞,一般,*,*,*,*,ぴっぴっ,ピッピッ,ピッピッ
ピッピッ	副詞,一般,*,*,*,*,ピッピッ,ピッピッ,ピッピッ
ぴぴって	副詞,一般,*,*,*,*,ぴぴって,ピピッテ,ピピッテ
ピピッて	副詞,一般,*,*,*,*,ピピッて,ピピッテ,ピピッテ
ぴっぴって	副詞,一般,*,*,*,*,ぴっぴって,ピッピッテ,ピッピッテ
ピッピッて	副詞,一般,*,*,*,*,ピッピッて,ピッピッテ,ピッピッテ
ぴぴっと	副詞,一般,*,*,*,*,ぴぴっと,ピピット,ピピット
ピピッと	副詞,一般,*,*,*,*,ピピッと,ピピット,ピピット
ぴっぴっと	副詞,一般,*,*,*,*,ぴっぴっと,ピッピット,ピッピット
ピッピッと	副詞,一般,*,*,*,*,ピッピッと,ピッピット,ピッピット
ぴー	副詞,一般,*,*,*,*,ぴー,ピー,ピー
ピー	副詞,一般,*,*,*,*,ピー,ピー,ピー
ぷっ	副詞,一般,*,*,*,*,ぷっ,プッ,プッ
ぷって	副詞,一般,*,*,*,*,ぷって,プッテ,プッテ
ぷーって	副詞,一般,*,*,*,*,ぷーって,プーッテ,プーッテ
ぷっと	副詞,一般,*,*,*,*,ぷっと,プット,プット
ぷーっと	副詞,一般,*,*,*,*,ぷーっと,プーット,プーット
プって	副詞,一般,*,*,*,*,プって,プッテ,プッテ
プーって	副詞,一般,*,*,*,*,プーって,プーッテ,プーッテ
プっと	副詞,一般,*,*,*,*,プっと,プット,プット
プーっと	副詞,一般,*,*,*,*,プーっと,プーット,プーット
プッて	副詞,一般,*,*,*,*,プッて,プッテ,プッテ
プーッて	副詞,一般,*,*,*,*,プーッて,プーッテ,プーッテ
プッと	副詞,一般,*,*,*,*,プッと,プット,プット
プーッと	副詞,一般,*,*,*,*,プーッと,プーット,プーット
ぷぷ	副詞,一般,*,*,*,*,ぷぷ,ププ,ププ
ぷっぷ	副詞,一般,*,*,*,*,ぷっぷ,プップ,プップ
ププ	副詞,一般,*,*,*,*,ププ,ププ,ププ
プップ	副詞,一般,*,*,*,*,プップ,プップ,プップ
ぷぷ	副詞,一般,*,*,*,*,ぷぷ,ププ,ププ
ププッ	副詞,一般,*,*,*,*,ププッ,ププッ,ププッ
ぷっぷっ	副詞,一般,*,*,*,*,ぷっぷっ,プップッ,プップッ
プップッ	副詞,一般,*,*,*,*,プップッ,プップッ,プップッ
ぷぷって	副詞,一般,*,*,*,*,ぷぷって,ププッテ,ププッテ
ププッて	副詞,一般,*,*,*,*,ププッて,ププッテ,ププッテ
ぷっぷって	副詞,一般,*,*,*,*,ぷっぷって,プップッテ,プップッテ
プップッて	副詞,一般,*,*,*,*,プップッて,プップッテ,プップッテ
ぷぷっと	副詞,一般,*,*,*,*,ぷぷっと,ププット,ププット
ププッと	副詞,一般,*,*,*,*,ププッと,ププット,ププット
ぷっぷっと	副詞,一般,*,*,*,*,ぷっぷっと,プップット,プップット
プップッと	副詞,一般,*,*,*,*,プップッと,プップット,プップット
ぷー	副詞,一般,*,*,*,*,ぷー,プー,プー
プー	副詞,一般,*,*,*,*,プー,プー,プー
ひゃっ	副詞,一般,*,*,*,*,ひゃっ,ヒャッ,ヒャッ
ひゃって	副詞,一般,*,*,*,*,ひゃって,ヒャッテ,ヒャッテ
ひゃーって	副詞,一般,*,*,*,*,ひゃーって,ヒャーッテ,ヒャーッテ
ひゃっと	副詞,一般,*,*,*,*,ひゃっと,ヒャット,ヒャット
ひゃーっと	副詞,一般,*,*,*,*,ひゃーっと,ヒャーット,ヒャーット
ヒャって	副詞,一般,*,*,*,*,ヒャって,ヒャッテ,ヒャッテ
ヒャーって	副詞,一般,*,*,*,*,ヒャーって,ヒャーッテ,ヒャーッテ
ヒャっと	副詞,一般,*,*,*,*,ヒャっと,ヒャット,ヒャット
ヒャーっと	副詞,一般,*,*,*,*,ヒャーっと,ヒャーット,ヒャーット
ヒャッて	副詞,一般,*,*,*,*,ヒャッて,ヒャッテ,ヒャッテ
ヒャーッて	副詞,一般,*,*,*,*,ヒャーッて,ヒャーッテ,ヒャーッテ
ヒャッと	副詞,一般,*,*,*,*,ヒャッと,ヒャット,ヒャット
ヒャーッと	副詞,一般,*,*,*,*,ヒャーッと,ヒャーット,ヒャーット
ひゃひゃ	副詞,一般,*,*,*,*,ひゃひゃ,ヒャヒャ,ヒャヒャ
ひゃっひゃ	副詞,一般,*,*,*,*,ひゃっひゃ,ヒャッヒャ,ヒャッヒャ
ヒャヒャ	副詞,一般,*,*,*,*,ヒャヒャ,ヒャヒャ,ヒャヒャ
ヒャッヒャ	副詞,一般,*,*,*,*,ヒャッヒャ,ヒャッヒャ,ヒャッヒャ
ひゃひゃ	副詞,一般,*,*,*,*,ひゃひゃ,ヒャヒャ,ヒャヒャ
ヒャヒャッ	副詞,一般,*,*,*,*,ヒャヒャッ,ヒャヒャッ,ヒャヒャッ
ひゃっひゃっ	副詞,一般,*,*,*,*,ひゃっひゃっ,ヒャッヒャッ,ヒャッヒャッ
ヒャッヒャッ	副詞,一般,*,*,*,*,ヒャッヒャッ,ヒャッヒャッ,ヒャッヒャッ
ひゃひゃって	副詞,一般,*,*,*,*,ひゃひゃって,ヒャヒャッテ,ヒャヒャッテ
ヒャヒャッて	副詞,一般,*,*,*,*,ヒャヒャッて,ヒャヒャッテ,ヒャヒャッテ
ひゃっひゃって	副詞,一般,*,*,*,*,ひゃっひゃって,ヒャッヒャッテ,ヒャッヒャッテ
ヒャッヒャッて	副詞,一般,*,*,*,*,ヒャッヒャッて,ヒャッヒャッテ,ヒャッヒャッテ
ひゃひゃっと	副詞,一般,*,*,*,*,ひゃひゃっと,ヒャヒャット,ヒャヒャット
ヒャヒャッと	副詞,一般,*,*,*,*,ヒャヒャッと,ヒャヒャット,ヒャヒャット
ひゃっひゃっと	副詞,一般,*,*,*,*,ひゃっひゃっと,ヒャッヒャット,ヒャッヒャット
ヒャッヒャッと	副詞,一般,*,*,*,*,ヒャッヒャッと,ヒャッヒャット,ヒャッヒャット
ひゃー	副詞,一般,*,*,*,*,ひゃー,ヒャー,ヒャー
ヒャー	副詞,一般,*,*,*,*,ヒャー,ヒャー,ヒャー
びゃっ	副詞,一般,*,*,*,*,びゃっ,ビャッ,ビャッ
びゃって	副詞,一般,*,*,*,*,びゃって,ビャッテ,ビャッテ
びゃーって	副詞,一般,*,*,*,*,びゃーって,ビャーッテ,ビャーッテ
びゃっと	副詞,一般,*,*,*,*,びゃっと,ビャット,ビャット
びゃーっと	副詞,一般,*,*,*,*,びゃーっと,ビャーット,ビャーット
ビャって	副詞,一般,*,*,*,*,ビャって,ビャッテ,ビャッテ
ビャーって	副詞,一般,*,*,*,*,ビャーって,ビャーッテ,ビャーッテ
ビャっと	副詞,一般,*,*,*,*,ビャっと,ビャット,ビャット
ビャーっと	副詞,一般,*,*,*,*,ビャーっと,ビャーット,ビャーット
ビャッて	副詞,一般,*,*,*,*,ビャッて,ビャッテ,ビャッテ
ビャーッて	副詞,一般,*,*,*,*,ビャーッて,ビャーッテ,ビャーッテ
ビャッと	副詞,一般,*,*,*,*,ビャッと,ビャット,ビャット
ビャーッと	副詞,一般,*,*,*,*,ビャーッと,ビャーット,ビャーット
びゃびゃ	副詞,一般,*,*,*,*,びゃびゃ,ビャビャ,ビャビャ
びゃっびゃ	副詞,一般,*,*,*,*,びゃっびゃ,ビャッビャ,ビャッビャ
ビャビャ	副詞,一般,*,*,*,*,ビャビャ,ビャビャ,ビャビャ
ビャッビャ	副詞,一般,*,*,*,*,ビャッビャ,ビャッビャ,ビャッビャ
びゃびゃ	副詞,一般,*,*,*,*,びゃびゃ,ビャビャ,ビャビャ
ビャビャッ	副詞,一般,*,*,*,*,ビャビャッ,ビャビャッ,ビャビャッ
びゃっびゃっ	副詞,一般,*,*,*,*,びゃっびゃっ,ビャッビャッ,ビャッビャッ
ビャッビャッ	副詞,一般,*,*,*,*,ビャッビャッ,ビャッビャッ,ビャッビャッ
びゃびゃって	副詞,一般,*,*,*,*,びゃびゃって,ビャビャッテ,ビャビャッテ
ビャビャッて	副詞,一般,*,*,*,*,ビャビャッて,ビャビャッテ,ビャビャッテ
びゃっびゃって	副詞,一般,*,*,*,*,びゃっびゃって,ビャッビャッテ,ビャッビャッテ
ビャッビャッて	副詞,一般,*,*,*,*,ビャッビャッて,ビャッビャッテ,ビャッビャッテ
びゃびゃっと	副詞,一般,*,*,*,*,びゃびゃっと,ビャビャット,ビャビャット
ビャビャッと	副詞,一般,*,*,*,*,ビャビャッと,ビャビャット,ビャビャット
びゃっびゃっと	副詞,一般,*,*,*,*,びゃっびゃっと,ビャッビャット,ビャッビャット
ビャッビャッと	副詞,一般,*,*,*,*,ビャッビャッと,ビャッビャット,ビャッビャット
びゃー	副詞,一般,*,*,*,*,びゃー,ビャー,ビャー
ビャー	副詞,一般,*,*,*,*,ビャー,ビャー,ビャー
ぺっ	副詞,一般,*,*,*,*,ぺっ,ペッ,ペッ
ぺって	副詞,一般,*,*,*,*,ぺって,ペッテ,ペッテ
ぺーって	副詞,一般,*,*,*,*,ぺーって,ペーッテ,ペーッテ
ぺっと	副詞,一般,*,*,*,*,ぺっと,ペット,ペット
ぺーっと	副詞,一般,*,*,*,*,ぺーっと,ペーット,ペーット
ペって	副詞,一般,*,*,*,*,ペって,ペッテ,ペッテ
ペーって	副詞,一般,*,*,*,*,ペーって,ペーッテ,ペーッテ
ペっと	副詞,一般,*,*,*,*,ペっと,ペット,ペット
ペーっと	副詞,一般,*,*,*,*,ペーっと,ペーット,ペーット
ペッて	副詞,一般,*,*,*,*,ペッて,ペッテ,ペッテ
ペーッて	副詞,一般,*,*,*,*,ペーッて,ペーッテ,ペーッテ
ペッと	副詞,一般,*,*,*,*,ペッと,ペット,ペット
ペーッと	副詞,一般,*,*,*,*,ペーッと,ペーット,ペーット
ぺぺ	副詞,一般,*,*,*,*,ぺぺ,ペペ,ペペ
ぺっぺ	副詞,一般,*,*,*,*,ぺっぺ,ペッペ,ペッペ
ペペ	副詞,一般,*,*,*,*,ペペ,ペペ,ペペ
ペッペ	副詞,一般,*,*,*,*,ペッペ,ペッペ,ペッペ
ぺぺ	副詞,一般,*,*,*,*,ぺぺ,ペペ,ペペ
ペペッ	副詞,一般,*,*,*,*,ペペッ,ペペッ,ペペッ
ぺっぺっ	副詞,一般,*,*,*,*,ぺっぺっ,ペッペッ,ペッペッ
ペッペッ	副詞,一般,*,*,*,*,ペッペッ,ペッペッ,ペッペッ
ぺぺって	副詞,一般,*,*,*,*,ぺぺって,ペペッテ,ペペッテ
ペペッて	副詞,一般,*,*,*,*,ペペッて,ペペッテ,ペペッテ
ぺっぺって	副詞,一般,*,*,*,*,ぺっぺって,ペッペッテ,ペッペッテ
ペッペッて	副詞,一般,*,*,*,*,ペッペッて,ペッペッテ,ペッペッテ
ぺぺっと	副詞,一般,*,*,*,*,ぺぺっと,ペペット,ペペット
ペペッと	副詞,一般,*,*,*,*,ペペッと,ペペット,ペペット
ぺっぺっと	副詞,一般,*,*,*,*,ぺっぺっと,ペッペット,ペッペット
ペッペッと	副詞,一般,*,*,*,*,ペッペッと,ペッペット,ペッペット
ぺー	副詞,一般,*,*,*,*,ぺー,ペー,ペー
ペー	副詞,一般,*,*,*,*,ペー,ペー,ペー
ぽっ	副詞,一般,*,*,*,*,ぽっ,ポッ,ポッ
ぽって	副詞,一般,*,*,*,*,ぽって,ポッテ,ポッテ
ぽーって	副詞,一般,*,*,*,*,ぽーって,ポーッテ,ポーッテ
ぽっと	副詞,一般,*,*,*,*,ぽっと,ポット,ポット
ぽーっと	副詞,一般,*,*,*,*,ぽーっと,ポーット,ポーット
ポって	副詞,一般,*,*,*,*,ポって,ポッテ,ポッテ
ポーって	副詞,一般,*,*,*,*,ポーって,ポーッテ,ポーッテ
ポっと	副詞,一般,*,*,*,*,ポっと,ポット,ポット
ポーっと	副詞,一般,*,*,*,*,ポーっと,ポーット,ポーット
ポッて	副詞,一般,*,*,*,*,ポッて,ポッテ,ポッテ
ポーッて	副詞,一般,*,*,*,*,ポーッて,ポーッテ,ポーッテ
ポッと	副詞,一般,*,*,*,*,ポッと,ポット,ポット
ポーッと	副詞,一般,*,*,*,*,ポーッと,ポーット,ポーット
ぽぽ	副詞,一般,*,*,*,*,ぽぽ,ポポ,ポポ
ぽっぽ	副詞,一般,*,*,*,*,ぽっぽ,ポッポ,ポッポ
ポポ	副詞,一般,*,*,*,*,ポポ,ポポ,ポポ
ポッポ	副詞,一般,*,*,*,*,ポッポ,ポッポ,ポッポ
ぽぽ	副詞,一般,*,*,*,*,ぽぽ,ポポ,ポポ
ポポッ	副詞,一般,*,*,*,*,ポポッ,ポポッ,ポポッ
ぽっぽっ	副詞,一般,*,*,*,*,ぽっぽっ,ポッポッ,ポッポッ
ポッポッ	副詞,一般,*,*,*,*,ポッポッ,ポッポッ,ポッポッ
ぽぽって	副詞,一般,*,*,*,*,ぽぽって,ポポッテ,ポポッテ
ポポッて	副詞,一般,*,*,*,*,ポポッて,ポポッテ,ポポッテ
ぽっぽって	副詞,一般,*,*,*,*,ぽっぽって,ポッポッテ,ポッポッテ
ポッポッて	副詞,一般,*,*,*,*,ポッポッて,ポッポッテ,ポッポッテ
ぽぽっと	副詞,一般,*,*,*,*,ぽぽっと,ポポット,ポポット
ポポッと	副詞,一般,*,*,*,*,ポポッと,ポポット,ポポット
ぽっぽっと	副詞,一般,*,*,*,*,ぽっぽっと,ポッポット,ポッポット
ポッポッと	副詞,一般,*,*,*,*,ポッポッと,ポッポット,ポッポット
ぽー	副詞,一般,*,*,*,*,ぽー,ポー,ポー
ポー	副詞,一般,*,*,*,*,ポー,ポー,ポー
ぽこっ	副詞,一般,*,*,*,*,ぽこっ,ポコッ,ポコッ
ぽこって	副詞,一般,*,*,*,*,ぽこって,ポコッテ,ポコッテ
ぽこーって	副詞,一般,*,*,*,*,ぽこーって,ポコーッテ,ポコーッテ
ぽこっと	副詞,一般,*,*,*,*,ぽこっと,ポコット,ポコット
ぽこーっと	副詞,一般,*,*,*,*,ぽこーっと,ポコーット,ポコーット
ポコって	副詞,一般,*,*,*,*,ポコって,ポコッテ,ポコッテ
ポコーって	副詞,一般,*,*,*,*,ポコーって,ポコーッテ,ポコーッテ
ポコっと	副詞,一般,*,*,*,*,ポコっと,ポコット,ポコット
ポコーっと	副詞,一般,*,*,*,*,ポコーっと,ポコーット,ポコーット
ポコッて	副詞,一般,*,*,*,*,ポコッて,ポコッテ,ポコッテ
ポコーッて	副詞,一般,*,*,*,*,ポコーッて,ポコーッテ,ポコーッテ
ポコッと	副詞,一般,*,*,*,*,ポコッと,ポコット,ポコット
ポコーッと	副詞,一般,*,*,*,*,ポコーッと,ポコーット,ポコーット
ぽこぽこ	副詞,一般,*,*,*,*,ぽこぽこ,ポコポコ,ポコポコ
ぽこっぽこ	副詞,一般,*,*,*,*,ぽこっぽこ,ポコッポコ,ポコッポコ
ポコポコ	副詞,一般,*,*,*,*,ポコポコ,ポコポコ,ポコポコ
ポコッポコ	副詞,一般,*,*,*,*,ポコッポコ,ポコッポコ,ポコッポコ
ぽこぽこ	副詞,一般,*,*,*,*,ぽこぽこ,ポコポコ,ポコポコ
ポコポコッ	副詞,一般,*,*,*,*,ポコポコッ,ポコポコッ,ポコポコッ
ぽこっぽこっ	副詞,一般,*,*,*,*,ぽこっぽこっ,ポコッポコッ,ポコッポコッ
ポコッポコッ	副詞,一般,*,*,*,*,ポコッポコッ,ポコッポコッ,ポコッポコッ
ぽこぽこって	副詞,一般,*,*,*,*,ぽこぽこって,ポコポコッテ,ポコポコッテ
ポコポコッて	副詞,一般,*,*,*,*,ポコポコッて,ポコポコッテ,ポコポコッテ
ぽこっぽこって	副詞,一般,*,*,*,*,ぽこっぽこって,ポコッポコッテ,ポコッポコッテ
ポコッポコッて	副詞,一般,*,*,*,*,ポコッポコッて,ポコッポコッテ,ポコッポコッテ
ぽこぽこっと	副詞,一般,*,*,*,*,ぽこぽこっと,ポコポコット,ポコポコット
ポコポコッと	副詞,一般,*,*,*,*,ポコポコッと,ポコポコット,ポコポコット
ぽこっぽこっと	副詞,一般,*,*,*,*,ぽこっぽこっと,ポコッポコット,ポコッポコット
ポコッポコッと	副詞,一般,*,*,*,*,ポコッポコッと,ポコッポコット,ポコッポコット
ぽこー	副詞,一般,*,*,*,*,ぽこー,ポコー,ポコー
ポコー	副詞,一般,*,*,*,*,ポコー,ポコー,ポコー
さっ	副詞,一般,*,*,*,*,さっ,サッ,サッ
さって	副詞,一般,*,*,*,*,さって,サッテ,サッテ
さーって	副詞,一般,*,*,*,*,さーって,サーッテ,サーッテ
さっと	副詞,一般,*,*,*,*,さっと,サット,サット
さーっと	副詞,一般,*,*,*,*,さーっと,サーット,サーット
サって	副詞,一般,*,*,*,*,サって,サッテ,サッテ
サーって	副詞,一般,*,*,*,*,サーって,サーッテ,サーッテ
サっと	副詞,一般,*,*,*,*,サっと,サット,サット
サーっと	副詞,一般,*,*,*,*,サーっと,サーット,サーット
サッて	副詞,一般,*,*,*,*,サッて,サッテ,サッテ
サーッて	副詞,一般,*,*,*,*,サーッて,サーッテ,サーッテ
サッと	副詞,一般,*,*,*,*,サッと,サット,サット
サーッと	副詞,一般,*,*,*,*,サーッと,サーット,サーット
ささ	副詞,一般,*,*,*,*,ささ,ササ,ササ
さっさ	副詞,一般,*,*,*,*,さっさ,サッサ,サッサ
ササ	副詞,一般,*,*,*,*,ササ,ササ,ササ
サッサ	副詞,一般,*,*,*,*,サッサ,サッサ,サッサ
ささ	副詞,一般,*,*,*,*,ささ,ササ,ササ
ササッ	副詞,一般,*,*,*,*,ササッ,ササッ,ササッ
さっさっ	副詞,一般,*,*,*,*,さっさっ,サッサッ,サッサッ
サッサッ	副詞,一般,*,*,*,*,サッサッ,サッサッ,サッサッ
ささって	副詞,一般,*,*,*,*,ささって,ササッテ,ササッテ
ササッて	副詞,一般,*,*,*,*,ササッて,ササッテ,ササッテ
さっさって	副詞,一般,*,*,*,*,さっさって,サッサッテ,サッサッテ
サッサッて	副詞,一般,*,*,*,*,サッサッて,サッサッテ,サッサッテ
ささっと	副詞,一般,*,*,*,*,ささっと,ササット,ササット
ササッと	副詞,一般,*,*,*,*,ササッと,ササット,ササット
さっさっと	副詞,一般,*,*,*,*,さっさっと,サッサット,サッサット
サッサッと	副詞,一般,*,*,*,*,サッサッと,サッサット,サッサット
さー	副詞,一般,*,*,*,*,さー,サー,サー
サー	副詞,一般,*,*,*,*,サー,サー,サー
へこっ	副詞,一般,*,*,*,*,へこっ,ヘコッ,ヘコッ
へこって	副詞,一般,*,*,*,*,へこって,ヘコッテ,ヘコッテ
へこーって	副詞,一般,*,*,*,*,へこーって,ヘコーッテ,ヘコーッテ
へこっと	副詞,一般,*,*,*,*,へこっと,ヘコット,ヘコット
へこーっと	副詞,一般,*,*,*,*,へこーっと,ヘコーット,ヘコーット
ヘコって	副詞,一般,*,*,*,*,ヘコって,ヘコッテ,ヘコッテ
ヘコーって	副詞,一般,*,*,*,*,ヘコーって,ヘコーッテ,ヘコーッテ
ヘコっと	副詞,一般,*,*,*,*,ヘコっと,ヘコット,ヘコット
ヘコーっと	副詞,一般,*,*,*,*,ヘコーっと,ヘコーット,ヘコーット
ヘコッて	副詞,一般,*,*,*,*,ヘコッて,ヘコッテ,ヘコッテ
ヘコーッて	副詞,一般,*,*,*,*,ヘコーッて,ヘコーッテ,ヘコーッテ
