つ	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ツ,ツ
おちつきはらう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,おちつきはらう,オチツキハロウ,オチツキハロー
断う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,断る,コトオウ,コトオー
くぐもう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,くぐまる,クグモウ,クグモー
さし当とう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,さし当たる,サシアトウ,サシアトー
可愛ごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,可愛がる,カワイゴウ,カワイゴー
飛び交う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,飛び交う,トビコウ,トビコー
誇う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,誇る,ホコウ,ホコー
浚う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,浚う,サロウ,サロー
ことおう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ことわる,コトオウ,コトオー
ヤジう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ヤジる,ヤジウ,ヤジー
相変おう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,相変わる,アイカオウ,アイカオー
戻う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,戻る,モドウ,モドー
震え上ごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,震え上がる,フルエアゴウ,フルエアゴー
贖う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,贖う,アガノウ,アガノー
うばいおう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,うばいあう,ウバイオウ,ウバイオー
腹ぼう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,腹ばう,ハラボウ,ハラボー
燃えさこう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,燃えさかる,モエサコウ,モエサコー
へずう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,へずる,ヘズウ,ヘズー
てむこう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,てむかう,テムコウ,テムコー
喰ろう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,喰らう,クロウ,クロー
武ぼう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,武ばる,ブボウ,ブボー
跼う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,跼る,セグクモウ,セグクモー
残う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,残る,ノコウ,ノコー
つき合う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,つき合う,ツキオウ,ツキオー
ひとう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ひたる,ヒトウ,ヒトー
とおう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,とおる,トオウ,トーー
物語う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,物語る,モノガトウ,モノガトー
酔払う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,酔払う,ヨウパロウ,ヨウパロー
かしらどう	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,かしらだつ,カシラドウ,カシラドー
かたろう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,かたらう,カタロウ,カタロー
引つう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,引つる,ヒキツウ,ヒキツー
燃あごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,燃あがる,モエアゴウ,モエアゴー
見切う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,見切る,ミキウ,ミキー
気負う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,気負う,キオウ,キオー
息づもう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,息づまる,イキヅモウ,イキズモー
散う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,散る,チウ,チー
陣取う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,陣取る,ジンドウ,ジンドー
蹲う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,蹲う,ツクボウ,ツクボー
取持う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,取持つ,トリモウ,トリモー
横たおう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,横たわる,ヨコタオウ,ヨコタオー
立至う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,立至る,タチイトウ,タチイトー
亘う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,亘る,ワトウ,ワトー
うりはろう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,うりはらう,ウリハロウ,ウリハロー
売りまくう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,売りまくる,ウリマクウ,ウリマクー
倣う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,倣う,ナロウ,ナロー
なりさごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,なりさがる,ナリサゴウ,ナリサゴー
居う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,居る,オウ,オー
払う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,払う,ハロウ,ハロー
弄う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,弄う,イロウ,イロー
乗りきう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,乗りきる,ノリキウ,ノリキー
たびどう	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,たびだつ,タビドウ,タビドー
押し切う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,押し切る,オシキウ,オシキー
たゆとう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,たゆたう,タユトウ,タユトー
驕う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,驕る,オゴウ,オゴー
起う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,起つ,トウ,トー
おれまごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,おれまがる,オレマゴウ,オレマゴー
まかりとおう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,まかりとおる,マカリトオウ,マカリトーー
ときはのう	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,ときはなつ,トキハノウ,トキハノー
際どう	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,際だつ,キワドウ,キワドー
へたぼう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,へたばる,ヘタボウ,ヘタボー
競う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,競う,キソウ,キソー
かぼう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,かばう,カボウ,カボー
狙う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,狙う,ネロウ,ネロー
打ち合う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,打ち合う,ウチオウ,ウチオー
突き当う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,突き当る,ツキアトウ,ツキアトー
そそり立う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,そそり立つ,ソソリトウ,ソソリトー
震う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,震る,フウ,フー
舞あごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,舞あがる,マイアゴウ,マイアゴー
とじこもう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,とじこもる,トジコモウ,トジコモー
瞑う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,瞑る,ツムウ,ツムー
瞑う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,瞑る,ツブウ,ツブー
おきあごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,おきあがる,オキアゴウ,オキアゴー
司う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,司る,ツカサドウ,ツカサドー
ひったくう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ひったくる,ヒウタクウ,ヒウタクー
たきあごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,たきあがる,タキアゴウ,タキアゴー
いろどう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,いろどる,イロドウ,イロドー
蔽う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,蔽う,オオウ,オオー
容態ぶう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,容態ぶる,ヨウダイブウ,ヨーダイブー
切り替う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,切り替る,キリカオウ,キリカオー
逐う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,逐う,オウ,オー
かけへだとう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,かけへだたる,カケヘダトウ,カケヘダトー
授こう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,授かる,サズコウ,サズコー
あじおう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,あじわう,アジオウ,アジオー
ふすぼう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ふすぼる,フスボウ,フスボー
あらしまおう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,あらしまわる,アラシマオウ,アラシマオー
居すくもう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,居すくまる,イスクモウ,イスクモー
這い蹲う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,這い蹲う,ハイツクボウ,ハイツクボー
閉もう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,閉まる,シモウ,シモー
へしおう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,へしあう,ヘシオウ,ヘシオー
しゃべう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,しゃべる,シャベウ,シャベー
さしくう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,さしくる,サシクウ,サシクー
むしう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,むしる,ムシウ,ムシー
修もう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,修まる,オサモウ,オサモー
断おう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,断わる,コトオウ,コトオー
入れ違う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,入れ違う,イレチゴウ,イレチゴー
折り重のう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,折り重なる,オリカサノウ,オリカサノー
入びとう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,入びたる,イリビトウ,イリビトー
罷り通う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,罷り通る,マカリトオウ,マカリトーー
選う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,選る,ヨウ,ヨー
しう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,しる,シウ,シー
へりくどう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,へりくだる,ヘリクドウ,ヘリクドー
みゃくうう	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,みゃくうつ,ミャクウウ,ミャクウー
刈う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,刈る,コウ,コー
まじおう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,まじわる,マジオウ,マジオー
突当う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,突当る,ツキアトウ,ツキアトー
かさのう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,かさなる,カサノウ,カサノー
つりあごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,つりあがる,ツリアゴウ,ツリアゴー
はせもどう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,はせもどる,ハセモドウ,ハセモドー
のたうち回う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,のたうち回る,ノタウチマオウ,ノタウチマオー
おおう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,おわる,オオウ,オオー
爪先立う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,爪先立つ,ツマサキドウ,ツマサキドー
あけわとう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,あけわたる,アケワトウ,アケワトー
配う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,配る,クボウ,クボー
突っ走う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,突っ走る,ツウパシウ,ツウパシー
飛散う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,飛散る,トビチウ,トビチー
駈う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,駈る,コウ,コー
こじう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,こじる,コジウ,コジー
切り掛う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,切り掛る,キリカコウ,キリカコー
在う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,在る,オウ,オー
飛かこう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,飛かかる,トビカコウ,トビカコー
いとう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いとう,イトウ,イトー
くぎう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,くぎる,クギウ,クギー
たたこう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,たたかう,タタコウ,タタコー
忌み嫌う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,忌み嫌う,イミキロウ,イミキロー
なじう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,なじる,ナジウ,ナジー
ぬきとう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ぬきとる,ヌキトウ,ヌキトー
うけたまおう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,うけたまわる,ウケタマオウ,ウケタマオー
捩じう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,捩じる,ネジウ,ネジー
怖ごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,怖がる,コワゴウ,コワゴー
いこう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いこう,イコウ,イコー
燃え上ごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,燃え上がる,モエアゴウ,モエアゴー
盛りあごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,盛りあがる,モリアゴウ,モリアゴー
怠う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,怠る,オコトウ,オコトー
入れ代おう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,入れ代わる,イレカオウ,イレカオー
売れ残う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,売れ残る,ウレノコウ,ウレノコー
よりきう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,よりきる,ヨリキウ,ヨリキー
よみあしょう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,よみあさる,ヨミアシヨウ,ヨミアシヨー
ののしう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ののしる,ノノシウ,ノノシー
終う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,終る,オオウ,オオー
買い漁う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,買い漁る,カイアシヨウ,カイアシヨー
連れ立う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続ウ音便,連れ立つ,ツレドウ,ツレドー
成りとう	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,成りたつ,ナリトウ,ナリトー
つくろう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,つくろう,ツクロウ,ツクロー
おぎないおう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,おぎないあう,オギナイオウ,オギナイオー
煮あごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,煮あがる,ニアゴウ,ニアゴー
波立う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,波立つ,ナミドウ,ナミドー
駆けずり回う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,駆けずり回る,カケズリマオウ,カケズリマオー
切り替おう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,切り替わる,キリカオウ,キリカオー
ふさごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ふさがる,フサゴウ,フサゴー
つぶどう	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,つぶだつ,ツブドウ,ツブドー
奪い取う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,奪い取る,ウバイトウ,ウバイトー
汲み取う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,汲み取る,クミトウ,クミトー
巣食う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,巣食う,スクウ,スクー
だべう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,だべる,ダベウ,ダベー
並び立う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,並び立つ,ナラビトウ,ナラビトー
ほっぽう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ほっぽる,ホウポウ,ホウポー
勝誇う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,勝誇る,カチホコウ,カチホコー
間違う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,間違う,マチゴウ,マチゴー
しゃっちょこばう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,しゃっちょこばる,シャウチョコボウ,シャウチョコボー
書取う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,書取る,カキトウ,カキトー
取りしきう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,取りしきる,トリシキウ,トリシキー
縛う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,縛る,シボウ,シボー
上ずう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,上ずる,ウワズウ,ウワズー
ゆきかこう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ゆきかかる,ユキカコウ,ユキカコー
引去う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,引去る,ヒキシヨウ,ヒキシヨー
相寄う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,相寄る,アイヨウ,アイヨー
掠う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,掠る,カスウ,カスー
たけり立う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,たけり立つ,タケリトウ,タケリトー
はう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,はる,ホウ,ホー
読み切う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,読み切る,ヨミキウ,ヨミキー
かこう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,かこう,カコウ,カコー
がう	動詞,接尾,*,*,五段・ラ行ウ音便,連用タ接続,がる,ゴウ,ゴー
感じ取う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,感じ取る,カンジトウ,カンジトー
うつりかおう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,うつりかわる,ウツリカオウ,ウツリカオー
糾う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,糾う,アザノウ,アザノー
つもう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,つもる,ツモウ,ツモー
振りかぶう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,振りかぶる,フリカブウ,フリカブー
明け放う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,明け放つ,アケハノウ,アケハノー
いじょう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,いざる,イジヨウ,イジヨー
浮上ごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,浮上がる,ウキアゴウ,ウキアゴー
かぎう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,かぎる,カギウ,カギー
舞いあごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,舞いあがる,マイアゴウ,マイアゴー
おくう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,おくる,オクウ,オクー
挟もう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,挟まる,ハサモウ,ハサモー
きりとう	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,きりたつ,キリトウ,キリトー
替おう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,替わる,カオウ,カオー
舞い狂う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,舞い狂う,マイクルウ,マイクルー
憎ごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,憎がる,ニクゴウ,ニクゴー
見習う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,見習う,ミナロウ,ミナロー
盗う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,盗る,トウ,トー
褄取う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,褄取る,ツマドウ,ツマドー
仰せつこう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,仰せつかる,オオセツコウ,オーセツコー
出し合う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,出し合う,ダシオウ,ダシオー
ぽしゃう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ぽしゃる,ポシャウ,ポシャー
拗じう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,拗じる,ネジウ,ネジー
こおう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,こおる,コオウ,コーー
哀れごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,哀れがる,アワレゴウ,アワレゴー
躍う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,躍る,オドウ,オドー
無くのう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,無くなる,ナクノウ,ナクノー
法う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,法る,ノウトウ,ノウトー
おしはこう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,おしはかる,オシハコウ,オシハコー
たすけおう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,たすけあう,タスケオウ,タスケオー
びびう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,びびる,ビビウ,ビビー
たちおう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,たちあう,タチオウ,タチオー
突き破う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,突き破る,ツキヤブウ,ツキヤブー
きづこう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,きづかう,キヅコウ,キズコー
踏み躙う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,踏み躙る,フミニジウ,フミニジー
はやり立う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,はやり立つ,ハヤリトウ,ハヤリトー
たちふさごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,たちふさがる,タチフサゴウ,タチフサゴー
くじう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,くじる,クジウ,クジー
うつう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,うつる,ウツウ,ウツー
とりしもう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,とりしまる,トリシモウ,トリシモー
まぎう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,まぎる,マギウ,マギー
かけちごう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,かけちがう,カケチゴウ,カケチゴー
たてまつう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,たてまつる,タテマツウ,タテマツー
つこう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,つかう,ツコウ,ツコー
引き去う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,引き去る,ヒキシヨウ,ヒキシヨー
駆け回う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,駆け回る,カケマオウ,カケマオー
いさみとう	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,いさみたつ,イサミトウ,イサミトー
活こう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,活かる,イコウ,イコー
おきなおう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,おきなおる,オキナオウ,オキナオー
連添う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続ウ音便,連添う,ツレソウ,ツレソー
入れちごう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,入れちがう,イレチゴウ,イレチゴー
かけずりまわう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,かけずりまわる,カケズリマオウ,カケズリマオー
引き摺う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,引き摺る,ヒキズウ,ヒキズー
なぞう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,なぞる,ナゾウ,ナゾー
だもう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,だまる,ダモウ,ダモー
ちりのこう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ちりのこる,チリノコウ,チリノコー
うやもう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,うやまう,ウヤモウ,ウヤモー
傭う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,傭う,ヤトウ,ヤトー
面食ろう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,面食らう,メンクロウ,メンクロー
締め切う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,締め切る,シメキウ,シメキー
潤う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,潤う,ウルオウ,ウルオー
見取う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,見取る,ミトウ,ミトー
申送う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,申送る,モウシオクウ,モーシオクー
照う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,照る,テウ,テー
はいずう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,はいずる,ハイズウ,ハイズー
ゆきこう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,ゆきかう,ユキコウ,ユキコー
まさぐう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,まさぐる,マサグウ,マサグー
諮う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,諮る,ハコウ,ハコー
預う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,預る,アズコウ,アズコー
譲う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,譲る,ユズウ,ユズー
行き違う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,行き違う,ユキチゴウ,ユキチゴー
行き違う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,行き違う,イキチゴウ,イキチゴー
懸う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,懸る,カコウ,カコー
立ち回う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,立ち回る,タチマオウ,タチマオー
とりもう	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,とりもつ,トリモウ,トリモー
能う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,能う,アトウ,アトー
へしおう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,へしおる,ヘシオウ,ヘシオー
まいもどう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,まいもどる,マイモドウ,マイモドー
統べくくう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,統べくくる,スベククウ,スベククー
召し上ごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,召し上がる,メシアゴウ,メシアゴー
抜こう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,抜かる,ヌコウ,ヌコー
へぼう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,へばる,ヘボウ,ヘボー
溶け合う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,溶け合う,トケオウ,トケオー
ふんぎう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ふんぎる,フンギウ,フンギー
焼切う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,焼切る,ヤキキウ,ヤキキー
駄べう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,駄べる,ダベウ,ダベー
