問掛けれる	動詞,自立,*,*,一段・可能,基本形,問掛けれる,トイカケレル,トイカケレル
縛めれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,縛めれる,イマシメレリャ,イマシメレリャ
縛めれん	動詞,自立,*,*,一段・可能,体言接続特殊,縛めれる,イマシメレン,イマシメレン
駆集めれる	動詞,自立,*,*,一段・可能,基本形,駆集めれる,カリアツメレル,カリアツメレル
駆集めれ	動詞,自立,*,*,一段・可能,未然形,駆集めれる,カリアツメレ,カリアツメレ
駆集めれ	動詞,自立,*,*,一段・可能,連用形,駆集めれる,カリアツメレ,カリアツメレ
駆集めれれ	動詞,自立,*,*,一段・可能,仮定形,駆集めれる,カリアツメレレ,カリアツメレレ
駆集めれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,駆集めれる,カリアツメレリャ,カリアツメレリャ
駆集めれん	動詞,自立,*,*,一段・可能,体言接続特殊,駆集めれる,カリアツメレン,カリアツメレン
けちがえれる	動詞,自立,*,*,一段・可能,基本形,けちがえれる,ケチガエレル,ケチガエレル
けちがえれ	動詞,自立,*,*,一段・可能,未然形,けちがえれる,ケチガエレ,ケチガエレ
けちがえれ	動詞,自立,*,*,一段・可能,連用形,けちがえれる,ケチガエレ,ケチガエレ
けちがえれれ	動詞,自立,*,*,一段・可能,仮定形,けちがえれる,ケチガエレレ,ケチガエレレ
けちがえれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,けちがえれる,ケチガエレリャ,ケチガエレリャ
けちがえれん	動詞,自立,*,*,一段・可能,体言接続特殊,けちがえれる,ケチガエレン,ケチガエレン
はだけれる	動詞,自立,*,*,一段・可能,基本形,はだけれる,ハダケレル,ハダケレル
はだけれ	動詞,自立,*,*,一段・可能,未然形,はだけれる,ハダケレ,ハダケレ
はだけれ	動詞,自立,*,*,一段・可能,連用形,はだけれる,ハダケレ,ハダケレ
はだけれれ	動詞,自立,*,*,一段・可能,仮定形,はだけれる,ハダケレレ,ハダケレレ
はだけれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,はだけれる,ハダケレリャ,ハダケレリャ
はだけれん	動詞,自立,*,*,一段・可能,体言接続特殊,はだけれる,ハダケレン,ハダケレン
譬えれる	動詞,自立,*,*,一段・可能,基本形,譬えれる,タトエレル,タトエレル
譬えれ	動詞,自立,*,*,一段・可能,未然形,譬えれる,タトエレ,タトエレ
譬えれ	動詞,自立,*,*,一段・可能,連用形,譬えれる,タトエレ,タトエレ
譬えれれ	動詞,自立,*,*,一段・可能,仮定形,譬えれる,タトエレレ,タトエレレ
譬えれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,譬えれる,タトエレリャ,タトエレリャ
譬えれん	動詞,自立,*,*,一段・可能,体言接続特殊,譬えれる,タトエレン,タトエレン
えれる	動詞,非自立,*,*,一段・可能,基本形,えれる,エレル,エレル
えれ	動詞,非自立,*,*,一段・可能,未然形,えれる,エレ,エレ
えれ	動詞,非自立,*,*,一段・可能,連用形,えれる,エレ,エレ
えれれ	動詞,非自立,*,*,一段・可能,仮定形,えれる,エレレ,エレレ
えれりゃ	動詞,非自立,*,*,一段・可能,仮定縮約１,えれる,エレリャ,エレリャ
えれん	動詞,非自立,*,*,一段・可能,体言接続特殊,えれる,エレン,エレン
ひったてれる	動詞,自立,*,*,一段・可能,基本形,ひったてれる,ヒッタテレル,ヒッタテレル
ひったてれ	動詞,自立,*,*,一段・可能,未然形,ひったてれる,ヒッタテレ,ヒッタテレ
ひったてれ	動詞,自立,*,*,一段・可能,連用形,ひったてれる,ヒッタテレ,ヒッタテレ
ひったてれれ	動詞,自立,*,*,一段・可能,仮定形,ひったてれる,ヒッタテレレ,ヒッタテレレ
ひったてれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,ひったてれる,ヒッタテレリャ,ヒッタテレリャ
ひったてれん	動詞,自立,*,*,一段・可能,体言接続特殊,ひったてれる,ヒッタテレン,ヒッタテレン
乗合せれる	動詞,自立,*,*,一段・可能,基本形,乗合せれる,ノリアワセレル,ノリアワセレル
乗合せれ	動詞,自立,*,*,一段・可能,未然形,乗合せれる,ノリアワセレ,ノリアワセレ
乗合せれ	動詞,自立,*,*,一段・可能,連用形,乗合せれる,ノリアワセレ,ノリアワセレ
乗合せれれ	動詞,自立,*,*,一段・可能,仮定形,乗合せれる,ノリアワセレレ,ノリアワセレレ
乗合せれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,乗合せれる,ノリアワセレリャ,ノリアワセレリャ
乗合せれん	動詞,自立,*,*,一段・可能,体言接続特殊,乗合せれる,ノリアワセレン,ノリアワセレン
つまされれる	動詞,自立,*,*,一段・可能,基本形,つまされれる,ツマサレレル,ツマサレレル
つまされれ	動詞,自立,*,*,一段・可能,未然形,つまされれる,ツマサレレ,ツマサレレ
つまされれ	動詞,自立,*,*,一段・可能,連用形,つまされれる,ツマサレレ,ツマサレレ
つまされれれ	動詞,自立,*,*,一段・可能,仮定形,つまされれる,ツマサレレレ,ツマサレレレ
つまされれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,つまされれる,ツマサレレリャ,ツマサレレリャ
つまされれん	動詞,自立,*,*,一段・可能,体言接続特殊,つまされれる,ツマサレレン,ツマサレレン
和えれる	動詞,自立,*,*,一段・可能,基本形,和えれる,アエレル,アエレル
和えれ	動詞,自立,*,*,一段・可能,未然形,和えれる,アエレ,アエレ
和えれ	動詞,自立,*,*,一段・可能,連用形,和えれる,アエレ,アエレ
和えれれ	動詞,自立,*,*,一段・可能,仮定形,和えれる,アエレレ,アエレレ
和えれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,和えれる,アエレリャ,アエレリャ
和えれん	動詞,自立,*,*,一段・可能,体言接続特殊,和えれる,アエレン,アエレン
収めれる	動詞,自立,*,*,一段・可能,基本形,収めれる,オサメレル,オサメレル
収めれ	動詞,自立,*,*,一段・可能,未然形,収めれる,オサメレ,オサメレ
収めれ	動詞,自立,*,*,一段・可能,連用形,収めれる,オサメレ,オサメレ
収めれれ	動詞,自立,*,*,一段・可能,仮定形,収めれる,オサメレレ,オサメレレ
収めれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,収めれる,オサメレリャ,オサメレリャ
収めれん	動詞,自立,*,*,一段・可能,体言接続特殊,収めれる,オサメレン,オサメレン
もたれれる	動詞,自立,*,*,一段・可能,基本形,もたれれる,モタレレル,モタレレル
もたれれ	動詞,自立,*,*,一段・可能,未然形,もたれれる,モタレレ,モタレレ
もたれれ	動詞,自立,*,*,一段・可能,連用形,もたれれる,モタレレ,モタレレ
もたれれれ	動詞,自立,*,*,一段・可能,仮定形,もたれれる,モタレレレ,モタレレレ
もたれれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,もたれれる,モタレレリャ,モタレレリャ
もたれれん	動詞,自立,*,*,一段・可能,体言接続特殊,もたれれる,モタレレン,モタレレン
よなれれる	動詞,自立,*,*,一段・可能,基本形,よなれれる,ヨナレレル,ヨナレレル
よなれれ	動詞,自立,*,*,一段・可能,未然形,よなれれる,ヨナレレ,ヨナレレ
よなれれ	動詞,自立,*,*,一段・可能,連用形,よなれれる,ヨナレレ,ヨナレレ
よなれれれ	動詞,自立,*,*,一段・可能,仮定形,よなれれる,ヨナレレレ,ヨナレレレ
よなれれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,よなれれる,ヨナレレリャ,ヨナレレリャ
よなれれん	動詞,自立,*,*,一段・可能,体言接続特殊,よなれれる,ヨナレレン,ヨナレレン
寝れる	動詞,自立,*,*,一段・可能,基本形,寝れる,ネレル,ネレル
寝れ	動詞,自立,*,*,一段・可能,未然形,寝れる,ネレ,ネレ
寝れ	動詞,自立,*,*,一段・可能,連用形,寝れる,ネレ,ネレ
寝れれ	動詞,自立,*,*,一段・可能,仮定形,寝れる,ネレレ,ネレレ
寝れりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,寝れる,ネレリャ,ネレリャ
寝れん	動詞,自立,*,*,一段・可能,体言接続特殊,寝れる,ネレン,ネレン
めでれる	動詞,自立,*,*,一段・可能,基本形,めでれる,メデレル,メデレル
めでれ	動詞,自立,*,*,一段・可能,未然形,めでれる,メデレ,メデレ
めでれ	動詞,自立,*,*,一段・可能,連用形,めでれる,メデレ,メデレ
めでれれ	動詞,自立,*,*,一段・可能,仮定形,めでれる,メデレレ,メデレレ
めでれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,めでれる,メデレリャ,メデレリャ
めでれん	動詞,自立,*,*,一段・可能,体言接続特殊,めでれる,メデレン,メデレン
投捨てれる	動詞,自立,*,*,一段・可能,基本形,投捨てれる,ナゲステレル,ナゲステレル
投捨てれ	動詞,自立,*,*,一段・可能,未然形,投捨てれる,ナゲステレ,ナゲステレ
投捨てれ	動詞,自立,*,*,一段・可能,連用形,投捨てれる,ナゲステレ,ナゲステレ
投捨てれれ	動詞,自立,*,*,一段・可能,仮定形,投捨てれる,ナゲステレレ,ナゲステレレ
投捨てれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,投捨てれる,ナゲステレリャ,ナゲステレリャ
投捨てれん	動詞,自立,*,*,一段・可能,体言接続特殊,投捨てれる,ナゲステレン,ナゲステレン
届出れる	動詞,自立,*,*,一段・可能,基本形,届出れる,トドケデレル,トドケデレル
届出れ	動詞,自立,*,*,一段・可能,未然形,届出れる,トドケデレ,トドケデレ
届出れ	動詞,自立,*,*,一段・可能,連用形,届出れる,トドケデレ,トドケデレ
届出れれ	動詞,自立,*,*,一段・可能,仮定形,届出れる,トドケデレレ,トドケデレレ
届出れりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,届出れる,トドケデレリャ,トドケデレリャ
届出れん	動詞,自立,*,*,一段・可能,体言接続特殊,届出れる,トドケデレン,トドケデレン
しらばくれれる	動詞,自立,*,*,一段・可能,基本形,しらばくれれる,シラバクレレル,シラバクレレル
しらばくれれ	動詞,自立,*,*,一段・可能,未然形,しらばくれれる,シラバクレレ,シラバクレレ
しらばくれれ	動詞,自立,*,*,一段・可能,連用形,しらばくれれる,シラバクレレ,シラバクレレ
しらばくれれれ	動詞,自立,*,*,一段・可能,仮定形,しらばくれれる,シラバクレレレ,シラバクレレレ
しらばくれれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,しらばくれれる,シラバクレレリャ,シラバクレレリャ
しらばくれれん	動詞,自立,*,*,一段・可能,体言接続特殊,しらばくれれる,シラバクレレン,シラバクレレン
元気づけれる	動詞,自立,*,*,一段・可能,基本形,元気づけれる,ゲンキヅケレル,ゲンキズケレル
元気づけれ	動詞,自立,*,*,一段・可能,未然形,元気づけれる,ゲンキヅケレ,ゲンキズケレ
元気づけれ	動詞,自立,*,*,一段・可能,連用形,元気づけれる,ゲンキヅケレ,ゲンキズケレ
元気づけれれ	動詞,自立,*,*,一段・可能,仮定形,元気づけれる,ゲンキヅケレレ,ゲンキズケレレ
元気づけれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,元気づけれる,ゲンキヅケレリャ,ゲンキズケレリャ
元気づけれん	動詞,自立,*,*,一段・可能,体言接続特殊,元気づけれる,ゲンキヅケレン,ゲンキズケレン
時化れる	動詞,自立,*,*,一段・可能,基本形,時化れる,シケレル,シケレル
時化れ	動詞,自立,*,*,一段・可能,未然形,時化れる,シケレ,シケレ
時化れ	動詞,自立,*,*,一段・可能,連用形,時化れる,シケレ,シケレ
時化れれ	動詞,自立,*,*,一段・可能,仮定形,時化れる,シケレレ,シケレレ
時化れりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,時化れる,シケレリャ,シケレリャ
時化れん	動詞,自立,*,*,一段・可能,体言接続特殊,時化れる,シケレン,シケレン
慣れれる	動詞,自立,*,*,一段・可能,基本形,慣れれる,ナレレル,ナレレル
慣れれ	動詞,自立,*,*,一段・可能,未然形,慣れれる,ナレレ,ナレレ
慣れれ	動詞,自立,*,*,一段・可能,連用形,慣れれる,ナレレ,ナレレ
慣れれれ	動詞,自立,*,*,一段・可能,仮定形,慣れれる,ナレレレ,ナレレレ
慣れれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,慣れれる,ナレレリャ,ナレレリャ
慣れれん	動詞,自立,*,*,一段・可能,体言接続特殊,慣れれる,ナレレン,ナレレン
暈けれる	動詞,自立,*,*,一段・可能,基本形,暈けれる,ボケレル,ボケレル
暈けれ	動詞,自立,*,*,一段・可能,未然形,暈けれる,ボケレ,ボケレ
暈けれ	動詞,自立,*,*,一段・可能,連用形,暈けれる,ボケレ,ボケレ
暈けれれ	動詞,自立,*,*,一段・可能,仮定形,暈けれる,ボケレレ,ボケレレ
暈けれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,暈けれる,ボケレリャ,ボケレリャ
暈けれん	動詞,自立,*,*,一段・可能,体言接続特殊,暈けれる,ボケレン,ボケレン
備付けれる	動詞,自立,*,*,一段・可能,基本形,備付けれる,ソナエツケレル,ソナエツケレル
備付けれ	動詞,自立,*,*,一段・可能,未然形,備付けれる,ソナエツケレ,ソナエツケレ
備付けれ	動詞,自立,*,*,一段・可能,連用形,備付けれる,ソナエツケレ,ソナエツケレ
備付けれれ	動詞,自立,*,*,一段・可能,仮定形,備付けれる,ソナエツケレレ,ソナエツケレレ
備付けれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,備付けれる,ソナエツケレリャ,ソナエツケレリャ
備付けれん	動詞,自立,*,*,一段・可能,体言接続特殊,備付けれる,ソナエツケレン,ソナエツケレン
ふっかけれる	動詞,自立,*,*,一段・可能,基本形,ふっかけれる,フッカケレル,フッカケレル
ふっかけれ	動詞,自立,*,*,一段・可能,未然形,ふっかけれる,フッカケレ,フッカケレ
ふっかけれ	動詞,自立,*,*,一段・可能,連用形,ふっかけれる,フッカケレ,フッカケレ
ふっかけれれ	動詞,自立,*,*,一段・可能,仮定形,ふっかけれる,フッカケレレ,フッカケレレ
ふっかけれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,ふっかけれる,フッカケレリャ,フッカケレリャ
ふっかけれん	動詞,自立,*,*,一段・可能,体言接続特殊,ふっかけれる,フッカケレン,フッカケレン
のっけれる	動詞,自立,*,*,一段・可能,基本形,のっけれる,ノッケレル,ノッケレル
のっけれ	動詞,自立,*,*,一段・可能,未然形,のっけれる,ノッケレ,ノッケレ
のっけれ	動詞,自立,*,*,一段・可能,連用形,のっけれる,ノッケレ,ノッケレ
のっけれれ	動詞,自立,*,*,一段・可能,仮定形,のっけれる,ノッケレレ,ノッケレレ
のっけれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,のっけれる,ノッケレリャ,ノッケレリャ
のっけれん	動詞,自立,*,*,一段・可能,体言接続特殊,のっけれる,ノッケレン,ノッケレン
例えれる	動詞,自立,*,*,一段・可能,基本形,例えれる,タトエレル,タトエレル
例えれ	動詞,自立,*,*,一段・可能,未然形,例えれる,タトエレ,タトエレ
例えれ	動詞,自立,*,*,一段・可能,連用形,例えれる,タトエレ,タトエレ
例えれれ	動詞,自立,*,*,一段・可能,仮定形,例えれる,タトエレレ,タトエレレ
例えれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,例えれる,タトエレリャ,タトエレリャ
例えれん	動詞,自立,*,*,一段・可能,体言接続特殊,例えれる,タトエレン,タトエレン
燻べれる	動詞,自立,*,*,一段・可能,基本形,燻べれる,クスベレル,クスベレル
燻べれ	動詞,自立,*,*,一段・可能,未然形,燻べれる,クスベレ,クスベレ
燻べれ	動詞,自立,*,*,一段・可能,連用形,燻べれる,クスベレ,クスベレ
燻べれれ	動詞,自立,*,*,一段・可能,仮定形,燻べれる,クスベレレ,クスベレレ
燻べれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,燻べれる,クスベレリャ,クスベレリャ
燻べれん	動詞,自立,*,*,一段・可能,体言接続特殊,燻べれる,クスベレン,クスベレン
燻べれる	動詞,自立,*,*,一段・可能,基本形,燻べれる,フスベレル,フスベレル
燻べれ	動詞,自立,*,*,一段・可能,未然形,燻べれる,フスベレ,フスベレ
燻べれ	動詞,自立,*,*,一段・可能,連用形,燻べれる,フスベレ,フスベレ
燻べれれ	動詞,自立,*,*,一段・可能,仮定形,燻べれる,フスベレレ,フスベレレ
燻べれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,燻べれる,フスベレリャ,フスベレリャ
燻べれん	動詞,自立,*,*,一段・可能,体言接続特殊,燻べれる,フスベレン,フスベレン
わるびれれる	動詞,自立,*,*,一段・可能,基本形,わるびれれる,ワルビレレル,ワルビレレル
わるびれれ	動詞,自立,*,*,一段・可能,未然形,わるびれれる,ワルビレレ,ワルビレレ
わるびれれ	動詞,自立,*,*,一段・可能,連用形,わるびれれる,ワルビレレ,ワルビレレ
わるびれれれ	動詞,自立,*,*,一段・可能,仮定形,わるびれれる,ワルビレレレ,ワルビレレレ
わるびれれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,わるびれれる,ワルビレレリャ,ワルビレレリャ
わるびれれん	動詞,自立,*,*,一段・可能,体言接続特殊,わるびれれる,ワルビレレン,ワルビレレン
まちぶせれる	動詞,自立,*,*,一段・可能,基本形,まちぶせれる,マチブセレル,マチブセレル
まちぶせれ	動詞,自立,*,*,一段・可能,未然形,まちぶせれる,マチブセレ,マチブセレ
まちぶせれ	動詞,自立,*,*,一段・可能,連用形,まちぶせれる,マチブセレ,マチブセレ
まちぶせれれ	動詞,自立,*,*,一段・可能,仮定形,まちぶせれる,マチブセレレ,マチブセレレ
まちぶせれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,まちぶせれる,マチブセレリャ,マチブセレリャ
まちぶせれん	動詞,自立,*,*,一段・可能,体言接続特殊,まちぶせれる,マチブセレン,マチブセレン
銜えれる	動詞,自立,*,*,一段・可能,基本形,銜えれる,クワエレル,クワエレル
銜えれ	動詞,自立,*,*,一段・可能,未然形,銜えれる,クワエレ,クワエレ
銜えれ	動詞,自立,*,*,一段・可能,連用形,銜えれる,クワエレ,クワエレ
銜えれれ	動詞,自立,*,*,一段・可能,仮定形,銜えれる,クワエレレ,クワエレレ
銜えれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,銜えれる,クワエレリャ,クワエレリャ
銜えれん	動詞,自立,*,*,一段・可能,体言接続特殊,銜えれる,クワエレン,クワエレン
瘠せれる	動詞,自立,*,*,一段・可能,基本形,瘠せれる,ヤセレル,ヤセレル
瘠せれ	動詞,自立,*,*,一段・可能,未然形,瘠せれる,ヤセレ,ヤセレ
瘠せれ	動詞,自立,*,*,一段・可能,連用形,瘠せれる,ヤセレ,ヤセレ
瘠せれれ	動詞,自立,*,*,一段・可能,仮定形,瘠せれる,ヤセレレ,ヤセレレ
瘠せれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,瘠せれる,ヤセレリャ,ヤセレリャ
瘠せれん	動詞,自立,*,*,一段・可能,体言接続特殊,瘠せれる,ヤセレン,ヤセレン
手懸けれる	動詞,自立,*,*,一段・可能,基本形,手懸けれる,テガケレル,テガケレル
手懸けれ	動詞,自立,*,*,一段・可能,未然形,手懸けれる,テガケレ,テガケレ
手懸けれ	動詞,自立,*,*,一段・可能,連用形,手懸けれる,テガケレ,テガケレ
手懸けれれ	動詞,自立,*,*,一段・可能,仮定形,手懸けれる,テガケレレ,テガケレレ
手懸けれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,手懸けれる,テガケレリャ,テガケレリャ
手懸けれん	動詞,自立,*,*,一段・可能,体言接続特殊,手懸けれる,テガケレン,テガケレン
はじめれる	動詞,自立,*,*,一段・可能,基本形,はじめれる,ハジメレル,ハジメレル
はじめれ	動詞,自立,*,*,一段・可能,未然形,はじめれる,ハジメレ,ハジメレ
はじめれ	動詞,自立,*,*,一段・可能,連用形,はじめれる,ハジメレ,ハジメレ
はじめれれ	動詞,自立,*,*,一段・可能,仮定形,はじめれる,ハジメレレ,ハジメレレ
はじめれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,はじめれる,ハジメレリャ,ハジメレリャ
はじめれん	動詞,自立,*,*,一段・可能,体言接続特殊,はじめれる,ハジメレン,ハジメレン
取混ぜれる	動詞,自立,*,*,一段・可能,基本形,取混ぜれる,トリマゼレル,トリマゼレル
取混ぜれ	動詞,自立,*,*,一段・可能,未然形,取混ぜれる,トリマゼレ,トリマゼレ
取混ぜれ	動詞,自立,*,*,一段・可能,連用形,取混ぜれる,トリマゼレ,トリマゼレ
取混ぜれれ	動詞,自立,*,*,一段・可能,仮定形,取混ぜれる,トリマゼレレ,トリマゼレレ
取混ぜれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,取混ぜれる,トリマゼレリャ,トリマゼレリャ
取混ぜれん	動詞,自立,*,*,一段・可能,体言接続特殊,取混ぜれる,トリマゼレン,トリマゼレン
生ながらえれる	動詞,自立,*,*,一段・可能,基本形,生ながらえれる,イキナガラエレル,イキナガラエレル
生ながらえれ	動詞,自立,*,*,一段・可能,未然形,生ながらえれる,イキナガラエレ,イキナガラエレ
生ながらえれ	動詞,自立,*,*,一段・可能,連用形,生ながらえれる,イキナガラエレ,イキナガラエレ
生ながらえれれ	動詞,自立,*,*,一段・可能,仮定形,生ながらえれる,イキナガラエレレ,イキナガラエレレ
生ながらえれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,生ながらえれる,イキナガラエレリャ,イキナガラエレリャ
生ながらえれん	動詞,自立,*,*,一段・可能,体言接続特殊,生ながらえれる,イキナガラエレン,イキナガラエレン
傳えれる	動詞,自立,*,*,一段・可能,基本形,傳えれる,ツタエレル,ツタエレル
傳えれ	動詞,自立,*,*,一段・可能,未然形,傳えれる,ツタエレ,ツタエレ
傳えれ	動詞,自立,*,*,一段・可能,連用形,傳えれる,ツタエレ,ツタエレ
傳えれれ	動詞,自立,*,*,一段・可能,仮定形,傳えれる,ツタエレレ,ツタエレレ
傳えれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,傳えれる,ツタエレリャ,ツタエレリャ
傳えれん	動詞,自立,*,*,一段・可能,体言接続特殊,傳えれる,ツタエレン,ツタエレン
剽げれる	動詞,自立,*,*,一段・可能,基本形,剽げれる,ヒョウゲレル,ヒョーゲレル
剽げれ	動詞,自立,*,*,一段・可能,未然形,剽げれる,ヒョウゲレ,ヒョーゲレ
剽げれ	動詞,自立,*,*,一段・可能,連用形,剽げれる,ヒョウゲレ,ヒョーゲレ
剽げれれ	動詞,自立,*,*,一段・可能,仮定形,剽げれる,ヒョウゲレレ,ヒョーゲレレ
剽げれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,剽げれる,ヒョウゲレリャ,ヒョーゲレリャ
剽げれん	動詞,自立,*,*,一段・可能,体言接続特殊,剽げれる,ヒョウゲレン,ヒョーゲレン
取下げれる	動詞,自立,*,*,一段・可能,基本形,取下げれる,トリサゲレル,トリサゲレル
取下げれ	動詞,自立,*,*,一段・可能,未然形,取下げれる,トリサゲレ,トリサゲレ
取下げれ	動詞,自立,*,*,一段・可能,連用形,取下げれる,トリサゲレ,トリサゲレ
取下げれれ	動詞,自立,*,*,一段・可能,仮定形,取下げれる,トリサゲレレ,トリサゲレレ
取下げれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,取下げれる,トリサゲレリャ,トリサゲレリャ
取下げれん	動詞,自立,*,*,一段・可能,体言接続特殊,取下げれる,トリサゲレン,トリサゲレン
遅れれる	動詞,自立,*,*,一段・可能,基本形,遅れれる,オクレレル,オクレレル
遅れれ	動詞,自立,*,*,一段・可能,未然形,遅れれる,オクレレ,オクレレ
遅れれ	動詞,自立,*,*,一段・可能,連用形,遅れれる,オクレレ,オクレレ
遅れれれ	動詞,自立,*,*,一段・可能,仮定形,遅れれる,オクレレレ,オクレレレ
遅れれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,遅れれる,オクレレリャ,オクレレリャ
遅れれん	動詞,自立,*,*,一段・可能,体言接続特殊,遅れれる,オクレレン,オクレレン
銜めれる	動詞,自立,*,*,一段・可能,基本形,銜めれる,ククメレル,ククメレル
銜めれ	動詞,自立,*,*,一段・可能,未然形,銜めれる,ククメレ,ククメレ
銜めれ	動詞,自立,*,*,一段・可能,連用形,銜めれる,ククメレ,ククメレ
銜めれれ	動詞,自立,*,*,一段・可能,仮定形,銜めれる,ククメレレ,ククメレレ
銜めれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,銜めれる,ククメレリャ,ククメレリャ
銜めれん	動詞,自立,*,*,一段・可能,体言接続特殊,銜めれる,ククメレン,ククメレン
耳馴れれる	動詞,自立,*,*,一段・可能,基本形,耳馴れれる,ミミナレレル,ミミナレレル
耳馴れれ	動詞,自立,*,*,一段・可能,未然形,耳馴れれる,ミミナレレ,ミミナレレ
耳馴れれ	動詞,自立,*,*,一段・可能,連用形,耳馴れれる,ミミナレレ,ミミナレレ
耳馴れれれ	動詞,自立,*,*,一段・可能,仮定形,耳馴れれる,ミミナレレレ,ミミナレレレ
耳馴れれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,耳馴れれる,ミミナレレリャ,ミミナレレリャ
耳馴れれん	動詞,自立,*,*,一段・可能,体言接続特殊,耳馴れれる,ミミナレレン,ミミナレレン
途切れれる	動詞,自立,*,*,一段・可能,基本形,途切れれる,トギレレル,トギレレル
途切れれ	動詞,自立,*,*,一段・可能,未然形,途切れれる,トギレレ,トギレレ
途切れれ	動詞,自立,*,*,一段・可能,連用形,途切れれる,トギレレ,トギレレ
途切れれれ	動詞,自立,*,*,一段・可能,仮定形,途切れれる,トギレレレ,トギレレレ
途切れれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,途切れれる,トギレレリャ,トギレレリャ
途切れれん	動詞,自立,*,*,一段・可能,体言接続特殊,途切れれる,トギレレン,トギレレン
停めれる	動詞,自立,*,*,一段・可能,基本形,停めれる,トメレル,トメレル
停めれ	動詞,自立,*,*,一段・可能,未然形,停めれる,トメレ,トメレ
停めれ	動詞,自立,*,*,一段・可能,連用形,停めれる,トメレ,トメレ
停めれれ	動詞,自立,*,*,一段・可能,仮定形,停めれる,トメレレ,トメレレ
停めれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,停めれる,トメレリャ,トメレリャ
停めれん	動詞,自立,*,*,一段・可能,体言接続特殊,停めれる,トメレン,トメレン
攻懸けれる	動詞,自立,*,*,一段・可能,基本形,攻懸けれる,セメカケレル,セメカケレル
攻懸けれ	動詞,自立,*,*,一段・可能,未然形,攻懸けれる,セメカケレ,セメカケレ
攻懸けれ	動詞,自立,*,*,一段・可能,連用形,攻懸けれる,セメカケレ,セメカケレ
攻懸けれれ	動詞,自立,*,*,一段・可能,仮定形,攻懸けれる,セメカケレレ,セメカケレレ
攻懸けれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,攻懸けれる,セメカケレリャ,セメカケレリャ
攻懸けれん	動詞,自立,*,*,一段・可能,体言接続特殊,攻懸けれる,セメカケレン,セメカケレン
伝へれる	動詞,自立,*,*,一段・可能,基本形,伝へれる,ツタヘレル,ツタエレル
伝へれ	動詞,自立,*,*,一段・可能,未然形,伝へれる,ツタヘレ,ツタエレ
伝へれ	動詞,自立,*,*,一段・可能,連用形,伝へれる,ツタヘレ,ツタエレ
伝へれれ	動詞,自立,*,*,一段・可能,仮定形,伝へれる,ツタヘレレ,ツタエレレ
伝へれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,伝へれる,ツタヘレリャ,ツタエレリャ
伝へれん	動詞,自立,*,*,一段・可能,体言接続特殊,伝へれる,ツタヘレン,ツタエレン
着せれる	動詞,自立,*,*,一段・可能,基本形,着せれる,キセレル,キセレル
着せれ	動詞,自立,*,*,一段・可能,未然形,着せれる,キセレ,キセレ
着せれ	動詞,自立,*,*,一段・可能,連用形,着せれる,キセレ,キセレ
