あつこわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,あつかう,アツコワ,アツコワ
おそわわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,おそわる,オソヲワ,オソヲワ
濯わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,濯う,アロワ,アロワ
泊まわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,泊まる,トモワ,トモワ
出っぱわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,出っぱる,デウパワ,デウパワ
召しあがわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,召しあがる,メシアゴワ,メシアゴワ
もちよわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,もちよる,モチヨワ,モチヨワ
立向かわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,立向かう,タチムコワ,タチムコワ
培わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,培う,ツチコワ,ツチコワ
降り掛かわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,降り掛かる,フリカコワ,フリカコワ
おもわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,おもる,オモワ,オモワ
ほうむわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,ほうむる,ホウムワ,ホームワ
揃わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,揃う,ソロワ,ソロワ
ゆるまわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,ゆるまる,ユルモワ,ユルモワ
のぼわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,のぼる,ノボワ,ノボワ
うれのこわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,うれのこる,ウレノコワ,ウレノコワ
酔っ払わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,酔っ払う,ヨウパロワ,ヨウパロワ
たちまじわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,たちまじる,タチマジワ,タチマジワ
けむたがわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,けむたがる,ケムタゴワ,ケムタゴワ
凝固まわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,凝固まる,コリカタモワ,コリカタモワ
すりあがわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,すりあがる,スリアゴワ,スリアゴワ
引下がわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,引下がる,ヒキサゴワ,ヒキサゴワ
綾取わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,綾取る,アヤドワ,アヤドワ
迂わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,迂る,マゴワ,マゴワ
すき通わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,すき通る,スキトオワ,スキトーワ
支払わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,支払う,シハロワ,シハロワ
つけいわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,つけいる,ツケイワ,ツケイワ
気に入わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,気に入る,キニイワ,キニイワ
ばわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,ばる,ボワ,ボワ
おもてだわ	動詞,自立,*,*,五段・タ行,未然形,おもてだつ,オモテドワ,オモテドワ
せおわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,せおう,セオワ,セオワ
はりきわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,はりきる,ハリキワ,ハリキワ
連立わ	動詞,自立,*,*,五段・タ行,未然形,連立つ,ツレドワ,ツレドワ
執り行わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,執り行う,トリオコノワ,トリオコノワ
走り去わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,走り去る,ハシリシヨワ,ハシリシヨワ
やり合わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,やり合う,ヤリオワ,ヤリオワ
見守わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,見守る,ミマモワ,ミマモワ
ほわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,ほる,ホワ,ホワ
障わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,障る,サヲワ,サヲワ
笑わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,笑う,ワロワ,ワロワ
差しかかわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,差しかかる,サシカコワ,サシカコワ
そそわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,そそる,ソソワ,ソソワ
殺わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,殺る,ヤワ,ヤワ
捩じ切わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,捩じ切る,ネジキワ,ネジキワ
先ばしわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,先ばしる,サキバシワ,サキバシワ
当たわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,当たる,アトワ,アトワ
浮足立わ	動詞,自立,*,*,五段・タ行,未然形,浮足立つ,ウキアシドワ,ウキアシドワ
死そこなわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,死そこなう,シニソコノワ,シニソコノワ
寄り合わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,寄り合う,ヨリオワ,ヨリオワ
列なわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,列なる,ツラノワ,ツラノワ
くたばわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,くたばる,クタボワ,クタボワ
加わわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,加わる,クワヲワ,クワヲワ
釣わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,釣る,ツワ,ツワ
取計らわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,取計らう,トリハカロワ,トリハカロワ
言い終わわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,言い終わる,イイオヲワ,イーオヲワ
読み取わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,読み取る,ヨミトワ,ヨミトワ
立わ	動詞,自立,*,*,五段・タ行,未然形,立つ,トワ,トワ
おっしゃわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,おっしゃる,オウシャワ,オウシャワ
弱わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,弱る,ヨヲワ,ヨヲワ
写し取わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,写し取る,ウツシトワ,ウツシトワ
サボわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,サボる,サボワ,サボワ
張合わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,張合う,ハリオワ,ハリオワ
掻い潜わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,掻い潜る,カイクグワ,カイクグワ
差し迫わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,差し迫る,サシセモワ,サシセモワ
撲わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,撲る,ナグワ,ナグワ
擲わ	動詞,自立,*,*,五段・タ行,未然形,擲つ,ナゲウワ,ナゲウワ
割り振わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,割り振る,ワリフワ,ワリフワ
鳴りわたわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,鳴りわたる,ナリワトワ,ナリワトワ
いざなわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,いざなう,イザノワ,イザノワ
あけのこわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,あけのこる,アケノコワ,アケノコワ
ぶん殴わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,ぶん殴る,ブンナグワ,ブンナグワ
まにあわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,まにあう,マニオワ,マニオワ
下がわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,下がる,サゴワ,サゴワ
ぶった斬わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,ぶった斬る,ブウタギワ,ブウタギワ
鳴き頻わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,鳴き頻る,ナキシキワ,ナキシキワ
たどわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,たどる,タドワ,タドワ
時代掛わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,時代掛る,ジダイガコワ,ジダイガコワ
頭立わ	動詞,自立,*,*,五段・タ行,未然形,頭立つ,カシラドワ,カシラドワ
もの問わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,もの問う,モノトワ,モノトワ
貯まわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,貯まる,タモワ,タモワ
格式張わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,格式張る,カクシキボワ,カクシキボワ
いわわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,いわう,イヲワ,イヲワ
攻寄わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,攻寄る,セメヨワ,セメヨワ
贈わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,贈る,オクワ,オクワ
上回わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,上回る,ウワマヲワ,ウワマヲワ
起こわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,起こる,オコワ,オコワ
たけわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,たける,タケワ,タケワ
隔たわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,隔たる,ヘダトワ,ヘダトワ
ちぬわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,ちぬる,チヌワ,チヌワ
絡み合わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,絡み合う,カラミオワ,カラミオワ
差かかわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,差かかる,サシカコワ,サシカコワ
ねしずまわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,ねしずまる,ネシズモワ,ネシズモワ
打ちきわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,打ちきる,ウチキワ,ウチキワ
とりあつかわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,とりあつかう,トリアツコワ,トリアツコワ
突っ張わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,突っ張る,ツウパワ,ツウパワ
たのみいわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,たのみいる,タノミイワ,タノミイワ
差し掛わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,差し掛る,サシカコワ,サシカコワ
せめあわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,せめあう,セメオワ,セメオワ
込入わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,込入る,コミイワ,コミイワ
広まわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,広まる,ヒロモワ,ヒロモワ
引きちぎわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,引きちぎる,ヒキチギワ,ヒキチギワ
ふっきわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,ふっきる,フウキワ,フウキワ
そうけだわ	動詞,自立,*,*,五段・タ行,未然形,そうけだつ,ソウケドワ,ソーケドワ
あやかわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,あやかる,アヤコワ,アヤコワ
ふりきわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,ふりきる,フリキワ,フリキワ
せめよわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,せめよる,セメヨワ,セメヨワ
のっとわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,のっとる,ノウトワ,ノウトワ
へし合わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,へし合う,ヘシオワ,ヘシオワ
とりはらわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,とりはらう,トリハロワ,トリハロワ
刈取わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,刈取る,カリトワ,カリトワ
ともわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,ともる,トモワ,トモワ
撃ちまくわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,撃ちまくる,ウチマクワ,ウチマクワ
申し送わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,申し送る,モウシオクワ,モーシオクワ
あいなわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,あいなる,アイノワ,アイノワ
置き換わわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,置き換わる,オキカヲワ,オキカヲワ
沸き起こわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,沸き起こる,ワキオコワ,ワキオコワ
ねぐわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,ねぐる,ネグワ,ネグワ
樵わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,樵る,コワ,コワ
脂ぎわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,脂ぎる,アブラギワ,アブラギワ
ぬかわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,ぬかる,ヌコワ,ヌコワ
かいとわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,かいとる,カイトワ,カイトワ
遮わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,遮る,サエギワ,サエギワ
せき入わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,せき入る,セキイワ,セキイワ
澄み渡わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,澄み渡る,スミワトワ,スミワトワ
のさばわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,のさばる,ノサボワ,ノサボワ
おしかぶさわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,おしかぶさる,オシカブシヨワ,オシカブシヨワ
絶え入わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,絶え入る,タエイワ,タエイワ
持ち切わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,持ち切る,モチキワ,モチキワ
はげ上がわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,はげ上がる,ハゲアゴワ,ハゲアゴワ
付け入わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,付け入る,ツケイワ,ツケイワ
おもねわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,おもねる,オモネワ,オモネワ
云わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,云う,イワ,イワ
云わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,云う,ユワ,ユワ
ぶっつかわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,ぶっつかる,ブウツコワ,ブウツコワ
立ち添わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,立ち添う,タチソワ,タチソワ
重わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,重る,オモワ,オモワ
ふけわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,ふける,フケワ,フケワ
希わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,希う,コイネゴワ,コイネゴワ
ぶったくわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,ぶったくる,ブウタクワ,ブウタクワ
かち取わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,かち取る,カチトワ,カチトワ
追使わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,追使う,オイツコワ,オイツコワ
差し当わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,差し当る,サシアトワ,サシアトワ
聴き入わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,聴き入る,キキイワ,キキイワ
言い合わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,言い合う,イイオワ,イーオワ
ことなわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,ことなる,コトノワ,コトノワ
いりまじわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,いりまじる,イリマジワ,イリマジワ
お目にかかわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,お目にかかる,オメニカコワ,オメニカコワ
とびあがわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,とびあがる,トビアゴワ,トビアゴワ
寄添わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,寄添う,ヨリソワ,ヨリソワ
とおざかわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,とおざかる,トオザコワ,トーザコワ
ハヤわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,ハヤる,ハヤワ,ハヤワ
しにそこなわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,しにそこなう,シニソコノワ,シニソコノワ
乗わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,乗る,ノワ,ノワ
引き締わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,引き締る,ヒキシモワ,ヒキシモワ
煮立わ	動詞,自立,*,*,五段・タ行,未然形,煮立つ,ニトワ,ニトワ
そぼふわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,そぼふる,ソボフワ,ソボフワ
はげあがわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,はげあがる,ハゲアゴワ,ハゲアゴワ
差掛わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,差掛る,サシカコワ,サシカコワ
折合わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,折合う,オリオワ,オリオワ
にじり寄わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,にじり寄る,ニジリヨワ,ニジリヨワ
苦りきわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,苦りきる,ニガリキワ,ニガリキワ
愚痴わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,愚痴る,グチワ,グチワ
毟わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,毟る,ムシワ,ムシワ
稔わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,稔る,ミノワ,ミノワ
いつわわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,いつわる,イツヲワ,イツヲワ
飛かけわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,飛かける,トビカケワ,トビカケワ
取り締まわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,取り締まる,トリシモワ,トリシモワ
そそりたわ	動詞,自立,*,*,五段・タ行,未然形,そそりたつ,ソソリトワ,ソソリトワ
ぬくもわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,ぬくもる,ヌクモワ,ヌクモワ
ちぢみあがわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,ちぢみあがる,チヂミアゴワ,チジミアゴワ
厭わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,厭う,イトワ,イトワ
たまわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,たまる,タモワ,タモワ
為さわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,為さる,ナシヨワ,ナシヨワ
つうがわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,つうがる,ツウゴワ,ツーゴワ
立ち上わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,立ち上る,タチノボワ,タチノボワ
ひろがわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,ひろがる,ヒロゴワ,ヒロゴワ
行き逢わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,行き逢う,イキオワ,イキオワ
行き逢わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,行き逢う,ユキオワ,ユキオワ
溜まわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,溜まる,タモワ,タモワ
燃え盛わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,燃え盛る,モエサコワ,モエサコワ
触れ合わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,触れ合う,フレオワ,フレオワ
火取わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,火取る,ヒドワ,ヒドワ
切わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,切る,キワ,キワ
弥立わ	動詞,自立,*,*,五段・タ行,未然形,弥立つ,ヨドワ,ヨドワ
よわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,よる,ヨワ,ヨワ
きかざわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,きかざる,キカジヨワ,キカジヨワ
いきりたわ	動詞,自立,*,*,五段・タ行,未然形,いきりたつ,イキリトワ,イキリトワ
細わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,細る,ホソワ,ホソワ
跳あがわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,跳あがる,ハネアゴワ,ハネアゴワ
アガわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,アガる,アゴワ,アゴワ
絞まわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,絞まる,シモワ,シモワ
寝転がわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,寝転がる,ネコロゴワ,ネコロゴワ
ぬけあがわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,ぬけあがる,ヌケアゴワ,ヌケアゴワ
実わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,実る,ミノワ,ミノワ
縮みあがわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,縮みあがる,チヂミアゴワ,チジミアゴワ
またがわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,またがる,マタゴワ,マタゴワ
まなびとわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,まなびとる,マナビトワ,マナビトワ
起き上がわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,起き上がる,オキアゴワ,オキアゴワ
降り頻わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,降り頻る,フリシキワ,フリシキワ
引き繕わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,引き繕う,ヒキツクロワ,ヒキツクロワ
連れ添わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,連れ添う,ツレソワ,ツレソワ
いばわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,いばる,イボワ,イボワ
底知わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,底知る,ソコシワ,ソコシワ
乗切わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,乗切る,ノリキワ,ノリキワ
登わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,登る,ノボワ,ノボワ
言合わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,言合う,イイオワ,イーオワ
でまわわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,でまわる,デマヲワ,デマヲワ
寄すがわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,寄すがる,ヨリスゴワ,ヨリスゴワ
謗わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,謗る,ソシワ,ソシワ
閉こもわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,閉こもる,トジコモワ,トジコモワ
うかわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,うかる,ウコワ,ウコワ
間ぎわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,間ぎる,マギワ,マギワ
みなぎわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,みなぎる,ミナギワ,ミナギワ
寸たわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,寸たる,スントワ,スントワ
合わさわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,合わさる,アワシヨワ,アワシヨワ
鞘走わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,鞘走る,サヤバシワ,サヤバシワ
あぶわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,あぶる,アブワ,アブワ
つみかさなわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,つみかさなる,ツミカサノワ,ツミカサノワ
拗わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,拗る,ネジワ,ネジワ
怒鳴わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,怒鳴る,ドノワ,ドノワ
扱わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,扱う,アツコワ,アツコワ
まさわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,まさる,マシヨワ,マシヨワ
鎧わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,鎧う,ヨロワ,ヨロワ
早まわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,早まる,ハヤモワ,ハヤモワ
かむわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,かむる,カムワ,カムワ
討ちとわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,討ちとる,ウチトワ,ウチトワ
血塗わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,血塗る,チヌワ,チヌワ
もちあがわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,もちあがる,モチアゴワ,モチアゴワ
吸わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,吸う,スワ,スワ
奪わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,奪う,ウボワ,ウボワ
ねぎらわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,ねぎらう,ネギロワ,ネギロワ
たかまわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,たかまる,タカモワ,タカモワ
よみとわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,よみとる,ヨミトワ,ヨミトワ
あげつらわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,あげつらう,アゲツロワ,アゲツロワ
際立わ	動詞,自立,*,*,五段・タ行,未然形,際立つ,キワドワ,キワドワ
はれわたわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,はれわたる,ハレワトワ,ハレワトワ
つどわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,つどう,ツドワ,ツドワ
漲わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,漲る,ミナギワ,ミナギワ
横切わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,横切る,ヨコギワ,ヨコギワ
勘ぐわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,勘ぐる,カングワ,カングワ
遊び回わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,遊び回る,アソビマヲワ,アソビマヲワ
のたまわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,のたまう,ノタモワ,ノタモワ
行き交わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,行き交う,イキコワ,イキコワ
行き交わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,行き交う,ユキコワ,ユキコワ
降わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,降る,フワ,フワ
降わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,降る,クドワ,クドワ
買いかぶわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,買いかぶる,カイカブワ,カイカブワ
受かわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,受かる,ウコワ,ウコワ
具わわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,具わる,ソナヲワ,ソナヲワ
仕わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,仕る,ツカマツワ,ツカマツワ
つきあわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,つきあう,ツキオワ,ツキオワ
しゃちこばわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,しゃちこばる,シャチコボワ,シャチコボワ
選りすぐわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,選りすぐる,エリスグワ,エリスグワ
思い止まわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,思い止まる,オモイトドモワ,オモイトドモワ
沸き立わ	動詞,自立,*,*,五段・タ行,未然形,沸き立つ,ワキトワ,ワキトワ
すわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,すう,スワ,スワ
受け取わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,受け取る,ウケトワ,ウケトワ
たくわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,たくる,タクワ,タクワ
透通わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,透通る,スキトオワ,スキトーワ
見倣わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,見倣う,ミナロワ,ミナロワ
限わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,限る,カギワ,カギワ
図わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,図る,ハコワ,ハコワ
あるきつめわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,あるきつめる,アルキツメワ,アルキツメワ
忘れ去わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,忘れ去る,ワスレシヨワ,ワスレシヨワ
