悠介	名詞,固有名詞,人名,名,*,*,悠介,ユウスケ,ユースケ
ミニチュアシュナウザー	名詞,固有名詞,一般,*,*,*,ミニチュアシュナウザー,ミニチュアシュナウザー,ミニチュアシュナウザー
イヤホン	名詞,一般,*,*,*,*,イヤホン,イヤホン,イヤホン
ボサ	名詞,固有名詞,人名,名,*,*,ボサ,ボサ,ボサ
おばちゃん	名詞,一般,*,*,*,*,おばちゃん,オバチャン,オバチャン
午来	名詞,固有名詞,一般,*,*,*,午来,午来,午来
源五郎	名詞,固有名詞,人名,名,*,*,源五郎,源五郎,源五郎
Ｔ	名詞,一般,*,*,*,*,Ｔ,Ｔ,Ｔ
ボッチ	名詞,一般,*,*,*,*,ボッチ,ボッチ,ボッチ
ファームステイ	名詞,一般,*,*,*,*,ファームステイ,ファームステイ,ファームステイ
キッズワールド	名詞,固有名詞,組織,*,*,*,キッズワールド,キッズワールド,キッズワールド
FPS	名詞,固有名詞,一般,*,*,*,FPS,FPS,FPS
FP	名詞,固有名詞,一般,*,*,*,FP,FP,FP
ファイナンシャルプランナー	名詞,固有名詞,一般,*,*,*,ファイナンシャルプランナー,ファイナンシャルプランナー,ファイナンシャルプランナー
ワーホリ	名詞,一般,*,*,*,*,ワーホリ,ワーホリ,ワーホリ
レッサーパンダ	名詞,固有名詞,一般,*,*,*,レッサーパンダ,レッサーパンダ,レッサーパンダ
ドード	名詞,固有名詞,一般,*,*,*,ドード,ドード,ドード
CG	名詞,固有名詞,一般,*,*,*,CG,CG,CG
ドードリオ	名詞,固有名詞,一般,*,*,*,ドードリオ,ドードリオ,ドードリオ
フミヒコ	名詞,固有名詞,人名,名,*,*,フミヒコ,フミヒコ,フミヒコ
ソウセイ	名詞,固有名詞,一般,*,*,*,ソウセイ,ソウセイ,ソウセイ
松陰	名詞,固有名詞,組織,*,*,*,松陰,松陰,松陰
ちん毛	名詞,一般,*,*,*,*,ちん毛,チン毛,チン毛
クオリティー	名詞,一般,*,*,*,*,クオリティー,クオリティー,クオリティー
シュウジ	名詞,一般,*,*,*,*,シュウジ,シュウジ,シュウジ
シュージ	名詞,固有名詞,一般,*,*,*,シュージ,シュージ,シュージ
アキラ	名詞,固有名詞,一般,*,*,*,アキラ,アキラ,アキラ
ごんべん	名詞,一般,*,*,*,*,ごんべん,ゴンベン,ゴンベン
キンダーサプライズ	名詞,固有名詞,一般,*,*,*,キンダーサプライズ,キンダーサプライズ,キンダーサプライズ
開成	名詞,固有名詞,組織,*,*,*,開成,開成,開成
龍谷	名詞,固有名詞,組織,*,*,*,龍谷,龍谷,龍谷
マート	名詞,固有名詞,組織,*,*,*,マート,マート,マート
クワ	名詞,固有名詞,人名,名,*,*,クワ,クワ,クワ
ウィル・スミス	名詞,固有名詞,人名,名,*,*,ウィル・スミス,ウィル・スミス,ウィル・スミス
ラコステ	名詞,一般,*,*,*,*,ラコステ,ラコステ,ラコステ
ブレイク	名詞,一般,*,*,*,*,ブレイク,ブレイク,ブレイク
クニ	名詞,固有名詞,人名,名,*,*,クニ,クニ,クニ
コマネチ	名詞,一般,*,*,*,*,コマネチ,コマネチ,コマネチ
マイケルジャクソン	名詞,固有名詞,人名,名,*,*,マイケルジャクソン,マイケルジャクソン,マイケルジャクソン
おっぴろげ	名詞,一般,*,*,*,*,おっぴろげ,オッピロゲ,オッピロゲ
ザビエル	名詞,固有名詞,一般,*,*,*,ザビエル,ザビエル,ザビエル
ウルトラマンセブン	名詞,固有名詞,一般,*,*,*,ウルトラマンセブン,ウルトラマンセブン,ウルトラマンセブン
アイウエオ	名詞,一般,*,*,*,*,アイウエオ,アイウエオ,アイウエオ
ジャンカラ	名詞,固有名詞,一般,*,*,*,ジャンカラ,ジャンカラ,ジャンカラ
アニソン	名詞,固有名詞,一般,*,*,*,アニソン,アニソン,アニソン
ざ	名詞,*,*,*,*,*,*,*,*
チャプチェー	名詞,一般,*,*,*,*,チャプチェー,チャプチェー,チャプチェー
ナムル	名詞,一般,*,*,*,*,ナムル,ナムル,ナムル
ハリウッドドリーム	名詞,固有名詞,一般,*,*,*,ハリウッドドリーム,ハリウッドドリーム,ハリウッドドリーム
ジョーズ	名詞,固有名詞,一般,*,*,*,ジョーズ,ジョーズ,ジョーズ
シュレック	名詞,固有名詞,一般,*,*,*,シュレック,シュレック,シュレック
ツ	名詞,一般,*,*,*,*,ツ,ツ,ツ
ヅ	名詞,一般,*,*,*,*,ヅ,ヅ,ヅ
チュ	名詞,一般,*,*,*,*,チュ,チュ,チュ
ズ	名詞,一般,*,*,*,*,ズ,ズ,ズ
トッポギ	名詞,一般,*,*,*,*,トッポギ,トッポギ,トッポギ
コチュジャン	名詞,一般,*,*,*,*,コチュジャン,コチュジャン,コチュジャン
NEWS	名詞,固有名詞,組織,*,*,*,NEWS,NEWS,NEWS
KAT-TUN	名詞,固有名詞,組織,*,*,*,KAT-TUN,KAT-TUN,KAT-TUN
CLUB	名詞,固有名詞,組織,*,*,*,CLUB,CLUB,CLUB
るるぶ	名詞,固有名詞,一般,*,*,*,るるぶ,ルルブ,ルルブ
つ	名詞,一般,*,*,*,*,つ,ツ,ツ
ニッポンチャチャチャ	名詞,固有名詞,一般,*,*,*,ニッポンチャチャチャ,ニッポンチャチャチャ,ニッポンチャチャチャ
ケチョン	名詞,固有名詞,地域,一般,*,*,ケチョン,ケチョン,ケチョン
イヴ	名詞,固有名詞,人名,名,*,*,イヴ,イヴ,イヴ
メルケル	名詞,固有名詞,人名,名,*,*,メルケル,メルケル,メルケル
晋三	名詞,固有名詞,人名,名,*,*,晋三,晋三,晋三
川平	名詞,固有名詞,人名,名,*,*,川平,川平,川平
慈英	名詞,固有名詞,人名,名,*,*,慈英,慈英,慈英
ラピュタ	名詞,固有名詞,一般,*,*,*,ラピュタ,ラピュタ,ラピュタ
ナスカ	名詞,固有名詞,一般,*,*,*,ナスカ,ナスカ,ナスカ
ギアナ	名詞,固有名詞,地域,一般,*,*,ギアナ,ギアナ,ギアナ
トタラ	名詞,固有名詞,地域,一般,*,*,トタラ,トタラ,トタラ
ダライ・ラマ	名詞,固有名詞,人名,名,*,*,ダライ・ラマ,ダライ・ラマ,ダライ・ラマ
内蒙古	名詞,固有名詞,地域,一般,*,*,内蒙古,内蒙古,内蒙古
スティーブ・ジョブズ	名詞,固有名詞,人名,名,*,*,スティーブ・ジョブズ,スティーブ・ジョブズ,スティーブ・ジョブズ
ビー	名詞,固有名詞,人名,名,*,*,ビー,ビー,ビー
4minutes	名詞,固有名詞,組織,*,*,*,4minutes,4minutes,4minutes
fx	名詞,固有名詞,組織,*,*,*,fx,fx,fx
マイブーム	名詞,一般,*,*,*,*,マイブーム,マイブーム,マイブーム
スノボー	名詞,一般,*,*,*,*,スノボー,スノボー,スノボー
スクワット	名詞,一般,*,*,*,*,スクワット,スクワット,スクワット
クローゼット	名詞,一般,*,*,*,*,クローゼット,クローゼット,クローゼット
しりとり	名詞,一般,*,*,*,*,しりとり,シリトリ,シリトリ
BEATLES	名詞,固有名詞,組織,*,*,*,BEATLES,BEATLES,BEATLES
パルティ	名詞,一般,*,*,*,*,パルティ,パルティ,パルティ
チェルシー	名詞,固有名詞,人名,名,*,*,チェルシー,チェルシー,チェルシー
ドログバ	名詞,固有名詞,一般,*,*,*,ドログバ,ドログバ,ドログバ
レプリカ	名詞,固有名詞,一般,*,*,*,レプリカ,レプリカ,レプリカ
シンゴ	名詞,固有名詞,人名,名,*,*,シンゴ,シンゴ,シンゴ
チャームポイント	名詞,一般,*,*,*,*,チャームポイント,チャームポイント,チャームポイント
アイコン	名詞,一般,*,*,*,*,アイコン,アイコン,アイコン
ナルシスト	名詞,一般,*,*,*,*,ナルシスト,ナルシスト,ナルシスト
マンチェスタユナイテッド	名詞,固有名詞,組織,*,*,*,マンチェスタユナイテッド,マンチェスタユナイテッド,マンチェスタユナイテッド
ポストカードケース	名詞,一般,*,*,*,*,ポストカードケース,ポストカードケース,ポストカードケース
ボイパ	名詞,固有名詞,一般,*,*,*,ボイパ,ボイパ,ボイパ
マシーン	名詞,一般,*,*,*,*,マシーン,マシーン,マシーン
なんば	名詞,一般,*,*,*,*,なんば,ナンバ,ナンバ
セブイレ	名詞,一般,*,*,*,*,セブイレ,セブイレ,セブイレ
ふふん	名詞,固有名詞,一般,*,*,*,ふふん,フフン,フフン
ハンカーガイ	名詞,固有名詞,一般,*,*,*,ハンカーガイ,ハンカーガイ,ハンカーガイ
KーPOP	名詞,一般,*,*,*,*,KーPOP,KーPOP,KーPOP
No	名詞,一般,*,*,*,*,No,No,No
テク	名詞,一般,*,*,*,*,テク,テク,テク
ゴールデンレトリバー	名詞,固有名詞,一般,*,*,*,ゴールデンレトリバー,ゴールデンレトリバー,ゴールデンレトリバー
ビブレ	名詞,固有名詞,一般,*,*,*,ビブレ,ビブレ,ビブレ
こじき	名詞,一般,*,*,*,*,こじき,コジキ,コジキ
アルカゲル	名詞,固有名詞,一般,*,*,*,アルカゲル,アルカゲル,アルカゲル
アルシカゲル	名詞,固有名詞,一般,*,*,*,アルシカゲル,アルシカゲル,アルシカゲル
シリカゲル	名詞,固有名詞,一般,*,*,*,シリカゲル,シリカゲル,シリカゲル
シルバニアファミリー	名詞,固有名詞,一般,*,*,*,シルバニアファミリー,シルバニアファミリー,シルバニアファミリー
ティーチャ	名詞,一般,*,*,*,*,ティーチャ,ティーチャ,ティーチャ
ティーチャー	名詞,一般,*,*,*,*,ティーチャー,ティーチャー,ティーチャー
キッズイングリッシュコンテスト	名詞,固有名詞,一般,*,*,*,キッズイングリッシュコンテスト,キッズイングリッシュコンテスト,キッズイングリッシュコンテスト
ブラス	名詞,一般,*,*,*,*,ブラス,ブラス,ブラス
サクスフォーン	名詞,一般,*,*,*,*,サクスフォーン,サクスフォーン,サクスフォーン
モナカ	名詞,固有名詞,一般,*,*,*,モナカ,モナカ,モナカ
アンガールズ	名詞,固有名詞,一般,*,*,*,アンガールズ,アンガールズ,アンガールズ
ブラマヨ	名詞,固有名詞,一般,*,*,*,ブラマヨ,ブラマヨ,ブラマヨ
ヒーハー	名詞,固有名詞,一般,*,*,*,ヒーハー,ヒーハー,ヒーハー
のん	名詞,固有名詞,人名,名,*,*,のん,ノン,ノン
専	名詞,一般,*,*,*,*,専,専,専
オールザッツ	名詞,固有名詞,一般,*,*,*,オールザッツ,オールザッツ,オールザッツ
ノートル	名詞,固有名詞,組織,*,*,*,ノートル,ノートル,ノートル
ノートルダム	名詞,固有名詞,組織,*,*,*,ノートルダム,ノートルダム,ノートルダム
マヨ	名詞,固有名詞,一般,*,*,*,マヨ,マヨ,マヨ
深中	名詞,固有名詞,組織,*,*,*,深中,深中,深中
ライオンズローズマンション	名詞,固有名詞,一般,*,*,*,ライオンズローズマンション,ライオンズローズマンション,ライオンズローズマンション
ローズライオンズマンション	名詞,固有名詞,一般,*,*,*,ローズライオンズマンション,ローズライオンズマンション,ローズライオンズマンション
ロザン	名詞,固有名詞,組織,*,*,*,ロザン,ロザン,ロザン
ランディーズ	名詞,固有名詞,一般,*,*,*,ランディーズ,ランディーズ,ランディーズ
しんすけ	名詞,固有名詞,人名,名,*,*,しんすけ,シンスケ,シンスケ
カジ	名詞,固有名詞,一般,*,*,*,カジ,カジ,カジ
ピーポー	名詞,一般,*,*,*,*,ピーポー,ピーポー,ピーポー
エンジェルブルー	名詞,固有名詞,一般,*,*,*,エンジェルブルー,エンジェルブルー,エンジェルブルー
エンシェルブルー	名詞,固有名詞,一般,*,*,*,エンシェルブルー,エンシェルブルー,エンシェルブルー
バービー	名詞,固有名詞,一般,*,*,*,バービー,バービー,バービー
GAP	名詞,固有名詞,組織,*,*,*,GAP,GAP,GAP
BENNETON	名詞,固有名詞,組織,*,*,*,BENNETON,BENNETON,BENNETON
UNIQLO	名詞,固有名詞,組織,*,*,*,UNIQLO,UNIQLO,UNIQLO
セシル	名詞,固有名詞,一般,*,*,*,セシル,セシル,セシル
カナディアン	名詞,一般,*,*,*,*,カナディアン,カナディアン,カナディアン
トレーヌ	名詞,固有名詞,一般,*,*,*,トレーヌ,トレーヌ,トレーヌ
ノンスタイル	名詞,固有名詞,一般,*,*,*,ノンスタイル,ノンスタイル,ノンスタイル
オセロ	名詞,固有名詞,一般,*,*,*,オセロ,オセロ,オセロ
釉	名詞,一般,*,*,*,*,釉,釉,釉
フォレストガーデン	名詞,固有名詞,一般,*,*,*,フォレストガーデン,フォレストガーデン,フォレストガーデン
わんぱく	名詞,固有名詞,一般,*,*,*,わんぱく,ワンパク,ワンパク
ハイジ	名詞,固有名詞,一般,*,*,*,ハイジ,ハイジ,ハイジ
ひかり	名詞,固有名詞,人名,名,*,*,ひかり,ヒカリ,ヒカリ
マドレーヌ	名詞,一般,*,*,*,*,マドレーヌ,マドレーヌ,マドレーヌ
ペイジンドウ	名詞,固有名詞,一般,*,*,*,ペイジンドウ,ペイジンドウ,ペイジンドウ
ナンガン	名詞,固有名詞,一般,*,*,*,ナンガン,ナンガン,ナンガン
ハルカス	名詞,固有名詞,一般,*,*,*,ハルカス,ハルカス,ハルカス
モッツァレラ	名詞,一般,*,*,*,*,モッツァレラ,モッツァレラ,モッツァレラ
とも	名詞,固有名詞,人名,名,*,*,とも,トモ,トモ
土佐駒	名詞,固有名詞,一般,*,*,*,土佐駒,土佐駒,土佐駒
パチスロ	名詞,固有名詞,一般,*,*,*,パチスロ,パチスロ,パチスロ
チャングム	名詞,固有名詞,一般,*,*,*,チャングム,チャングム,チャングム
ソンギュンガン	名詞,固有名詞,一般,*,*,*,ソンギュンガン,ソンギュンガン,ソンギュンガン
PL	名詞,固有名詞,一般,*,*,*,PL,PL,PL
ふくらはぎ	名詞,一般,*,*,*,*,ふくらはぎ,フクラハギ,フクラハギ
アム	名詞,一般,*,*,*,*,アム,アム,アム
ダンジリ	名詞,一般,*,*,*,*,ダンジリ,ダンジリ,ダンジリ
だっちょ	名詞,一般,*,*,*,*,だっちょ,ダッチョ,ダッチョ
パールハーバー	名詞,固有名詞,地域,一般,*,*,パールハーバー,パールハーバー,パールハーバー
ブラトップ	名詞,一般,*,*,*,*,ブラトップ,ブラトップ,ブラトップ
マザ	名詞,一般,*,*,*,*,マザ,マザ,マザ
ゼミッシ	名詞,固有名詞,一般,*,*,*,ゼミッシ,ゼミッシ,ゼミッシ
CA	名詞,一般,*,*,*,*,CA,CA,CA
ピロティ	名詞,固有名詞,一般,*,*,*,ピロティ,ピロティ,ピロティ
こはく揚げ	名詞,固有名詞,一般,*,*,*,こはく揚げ,コハク揚ゲ,コハク揚ゲ
ちくわ	名詞,一般,*,*,*,*,ちくわ,チクワ,チクワ
磯部揚げ	名詞,固有名詞,一般,*,*,*,磯部揚げ,磯部揚ゲ,磯部揚ゲ
かき玉汁	名詞,固有名詞,一般,*,*,*,かき玉汁,カキ玉汁,カキ玉汁
まっ黒け	名詞,一般,*,*,*,*,まっ黒け,マッ黒ケ,マッ黒ケ
白ごはん	名詞,一般,*,*,*,*,白ごはん,シロゴハン,シロゴハン
こっぺぱん	名詞,固有名詞,一般,*,*,*,こっぺぱん,コッペパン,コッペパン
ロールパン	名詞,一般,*,*,*,*,ロールパン,ロールパン,ロールパン
つっかけ	名詞,一般,*,*,*,*,つっかけ,ツッカケ,ツッカケ
ツイギー	名詞,固有名詞,一般,*,*,*,ツイギー,ツイギー,ツイギー
マッシュルームカット	名詞,一般,*,*,*,*,マッシュルームカット,マッシュルームカット,マッシュルームカット
ウルフヘア	名詞,一般,*,*,*,*,ウルフヘア,ウルフヘア,ウルフヘア
ウルフカット	名詞,一般,*,*,*,*,ウルフカット,ウルフカット,ウルフカット
ノンノ	名詞,固有名詞,一般,*,*,*,ノンノ,ノンノ,ノンノ
アンアン	名詞,固有名詞,一般,*,*,*,アンアン,アンアン,アンアン
ビスコ	名詞,固有名詞,一般,*,*,*,ビスコ,ビスコ,ビスコ
カスカード	名詞,固有名詞,一般,*,*,*,カスカード,カスカード,カスカード
サンアイ	名詞,固有名詞,一般,*,*,*,サンアイ,サンアイ,サンアイ
エスカレータ	名詞,一般,*,*,*,*,エスカレータ,エスカレータ,エスカレータ
ジュン	名詞,固有名詞,一般,*,*,*,ジュン,ジュン,ジュン
スカートスカート	名詞,固有名詞,一般,*,*,*,スカートスカート,スカートスカート,スカートスカート
タイガーズ	名詞,固有名詞,組織,*,*,*,タイガーズ,タイガーズ,タイガーズ
グルコメ	名詞,固有名詞,一般,*,*,*,グルコメ,グルコメ,グルコメ
グルーコメッツ	名詞,固有名詞,一般,*,*,*,グルーコメッツ,グルーコメッツ,グルーコメッツ
フォーリーブス	名詞,固有名詞,一般,*,*,*,フォーリーブス,フォーリーブス,フォーリーブス
ヤンリク	名詞,固有名詞,一般,*,*,*,ヤンリク,ヤンリク,ヤンリク
ヒットチャート	名詞,一般,*,*,*,*,ヒットチャート,ヒットチャート,ヒットチャート
グループサウンズ	名詞,固有名詞,一般,*,*,*,グループサウンズ,グループサウンズ,グループサウンズ
ニッセイ	名詞,固有名詞,組織,*,*,*,ニッセイ,ニッセイ,ニッセイ
とん	名詞,固有名詞,人名,名,*,*,とん,トン,トン
マイフェアレディー	名詞,固有名詞,一般,*,*,*,マイフェアレディー,マイフェアレディー,マイフェアレディー
マイフェアレディ	名詞,固有名詞,一般,*,*,*,マイフェアレディ,マイフェアレディ,マイフェアレディ
瀧本	名詞,固有名詞,人名,姓,*,*,瀧本,タキモト,タキモト
藤ヶ谷	名詞,固有名詞,人名,姓,*,*,藤ヶ谷,フジガヤ,フジガヤ
玉森	名詞,固有名詞,人名,姓,*,*,玉森,タマモリ,タマモリ
八乙女	名詞,固有名詞,人名,姓,*,*,八乙女,ヤオトメ,ヤオトメ
東方神起	名詞,固有名詞,組織,*,*,*,東方神起,トウホウシンキ,トーホーシンキ
女子高生	名詞,一般,*,*,*,*,女子高生,ジョシコウセイ,ジョシコーセー
青タン	名詞,一般,*,*,*,*,青タン,アオタン,アオタン
根暗	名詞,一般,*,*,*,*,根暗,ネクラ,ネクラ
外大	名詞,一般,*,*,*,*,外大,ガイダイ,ガイダイ
スマップ	名詞,固有名詞,組織,*,*,*,スマップ,スマップ,スマップ
ダ・ヴィンチ・コード	名詞,固有名詞,一般,*,*,*,ダ・ヴィンチ・コード,ダ・ヴィンチ・コード,ダ・ヴィンチ・コード
mixi	名詞,固有名詞,一般,*,*,*,mixi,mixi,mixi
ミート・ザ・ワールド・ビート	名詞,固有名詞,一般,*,*,*,ミート・ザ・ワールド・ビート,ミート・ザ・ワールド・ビート,ミート・ザ・ワールド・ビート
SFM	名詞,固有名詞,一般,*,*,*,SFM,SFM,SFM
カエラ	名詞,固有名詞,一般,*,*,*,カエラ,カエラ,カエラ
バイオハザードシリーズ	名詞,固有名詞,一般,*,*,*,バイオハザードシリーズ,バイオハザードシリーズ,バイオハザードシリーズ
ゾンビ	名詞,一般,*,*,*,*,ゾンビ,ゾンビ,ゾンビ
ミッション・インポッシブル	名詞,固有名詞,一般,*,*,*,ミッション・インポッシブル,ミッション・インポッシブル,ミッション・インポッシブル
ミスター・ビーン	名詞,固有名詞,一般,*,*,*,ミスター・ビーン,ミスター・ビーン,ミスター・ビーン
三國無双	名詞,固有名詞,一般,*,*,*,三國無双,三國無双,三國無双
パワプロ	名詞,固有名詞,一般,*,*,*,パワプロ,パワプロ,パワプロ
ウイイレ	名詞,固有名詞,一般,*,*,*,ウイイレ,ウイイレ,ウイイレ
ヘタレ	名詞,一般,*,*,*,*,ヘタレ,ヘタレ,ヘタレ
シャイニングウィザード	名詞,固有名詞,一般,*,*,*,シャイニングウィザード,シャイニングウィザード,シャイニングウィザード
シッポ	名詞,一般,*,*,*,*,シッポ,シッポ,シッポ
こも	名詞,一般,*,*,*,*,こも,コモ,コモ
莚	名詞,一般,*,*,*,*,莚,ムシロ,ムシロ
隧道	名詞,一般,*,*,*,*,隧道,スイドウ,スイドー
メリカ	名詞,固有名詞,一般,*,*,*,メリカ,メリカ,メリカ
NP	名詞,固有名詞,一般,*,*,*,NP,NP,NP
ようしょく	名詞,一般,*,*,*,*,ようしょく,ヨウショク,ヨウショク
シャリ	名詞,一般,*,*,*,*,シャリ,シャリ,シャリ
つし	名詞,一般,*,*,*,*,つし,ツシ,ツシ
すきやき	名詞,固有名詞,一般,*,*,*,すきやき,スキヤキ,スキヤキ
からす	名詞,一般,*,*,*,*,からす,カラス,カラス
くわづつ	名詞,一般,*,*,*,*,くわづつ,クワヅツ,クワヅツ
からすき	名詞,一般,*,*,*,*,からすき,カラスキ,カラスキ
もみすり	名詞,一般,*,*,*,*,もみすり,モミスリ,モミスリ
クミホ	名詞,固有名詞,一般,*,*,*,クミホ,クミホ,クミホ
FTisland	名詞,固有名詞,一般,*,*,*,FTisland,FTisland,FTisland
少女時代	名詞,固有名詞,組織,*,*,*,少女時代,少女時代,少女時代
AFTERSCHOOL	名詞,固有名詞,一般,*,*,*,AFTERSCHOOL,AFTERSCHOOL,AFTERSCHOOL
SISTER	名詞,固有名詞,一般,*,*,*,SISTER,SISTER,SISTER
JUNIEL	名詞,固有名詞,一般,*,*,*,JUNIEL,JUNIEL,JUNIEL
パク・シネ	名詞,固有名詞,人名,名,*,*,パク・シネ,パク・シネ,パク・シネ
ソン・ジュンギ	名詞,固有名詞,人名,名,*,*,ソン・ジュンギ,ソン・ジュンギ,ソン・ジュンギ
キム・シフ	名詞,固有名詞,人名,名,*,*,キム・シフ,キム・シフ,キム・シフ
美男ですね	名詞,固有名詞,一般,*,*,*,美男ですね,美男デスネ,美男デスネ
コ・ミナム	名詞,固有名詞,人名,名,*,*,コ・ミナム,コ・ミナム,コ・ミナム
ふんだら	名詞,固有名詞,一般,*,*,*,ふんだら,フンダラ,フンダラ
テギョン	名詞,固有名詞,人名,名,*,*,テギョン,テギョン,テギョン
ファン・テギョン	名詞,固有名詞,人名,名,*,*,ファン・テギョン,ファン・テギョン,ファン・テギョン
カン・シヌ	名詞,固有名詞,人名,名,*,*,カン・シヌ,カン・シヌ,カン・シヌ
ジェルミ	名詞,固有名詞,人名,名,*,*,ジェルミ,ジェルミ,ジェルミ
明洞	名詞,固有名詞,地域,一般,*,*,明洞,明洞,明洞
シヌ	名詞,固有名詞,人名,名,*,*,シヌ,シヌ,シヌ
ミナム	名詞,固有名詞,人名,名,*,*,ミナム,ミナム,ミナム
ユヘイ	名詞,固有名詞,人名,名,*,*,ユヘイ,ユヘイ,ユヘイ
ジョリー	名詞,固有名詞,人名,名,*,*,ジョリー,ジョリー,ジョリー
ミニョン	名詞,固有名詞,人名,名,*,*,ミニョン,ミニョン,ミニョン
ホンギ	名詞,固有名詞,人名,名,*,*,ホンギ,ホンギ,ホンギ
ペンパボ	名詞,一般,*,*,*,*,ペンパボ,ペンパボ,ペンパボ
FT	名詞,固有名詞,一般,*,*,*,FT,FT,FT
キスマイ	名詞,固有名詞,組織,*,*,*,キスマイ,キスマイ,キスマイ
クソ	名詞,一般,*,*,*,*,クソ,クソ,クソ
クオリティ	名詞,一般,*,*,*,*,クオリティ,クオリティ,クオリティ
ニノ	名詞,固有名詞,一般,*,*,*,ニノ,ニノ,ニノ
ユチョン	名詞,固有名詞,人名,名,*,*,ユチョン,ユチョン,ユチョン
AOA	名詞,固有名詞,組織,*,*,*,AOA,AOA,AOA
ジョンフン	名詞,固有名詞,人名,名,*,*,ジョンフン,ジョンフン,ジョンフン
ジェジン	名詞,固有名詞,人名,名,*,*,ジェジン,ジェジン,ジェジン
スンヒョン	名詞,固有名詞,人名,名,*,*,スンヒョン,スンヒョン,スンヒョン
ミンファン	名詞,固有名詞,人名,名,*,*,ミンファン,ミンファン,ミンファン
ジョンギ	名詞,固有名詞,人名,名,*,*,ジョンギ,ジョンギ,ジョンギ
ツイート	名詞,一般,*,*,*,*,ツイート,ツイート,ツイート
ブラッディマンデー	名詞,固有名詞,一般,*,*,*,ブラッディマンデー,ブラッディマンデー,ブラッディマンデー
SM	名詞,固有名詞,一般,*,*,*,SM,SM,SM
SHINee	名詞,固有名詞,組織,*,*,*,SHINee,SHINee,SHINee
ウギョル	名詞,固有名詞,一般,*,*,*,ウギョル,ウギョル,ウギョル
エムネット	名詞,固有名詞,一般,*,*,*,エムネット,エムネット,エムネット
CS	名詞,固有名詞,一般,*,*,*,CS,CS,CS
RAINBOW	名詞,固有名詞,組織,*,*,*,RAINBOW,RAINBOW,RAINBOW
テルミーテルミー	名詞,固有名詞,一般,*,*,*,テルミーテルミー,テルミーテルミー,テルミーテルミー
Gee	名詞,固有名詞,一般,*,*,*,Gee,Gee,Gee
ジニー	名詞,固有名詞,一般,*,*,*,ジニー,ジニー,ジニー
アイガット	名詞,固有名詞,一般,*,*,*,アイガット,アイガット,アイガット
アイゴットアボーイ	名詞,固有名詞,一般,*,*,*,アイゴットアボーイ,アイゴットアボーイ,アイゴットアボーイ
なんなん	名詞,固有名詞,一般,*,*,*,なんなん,ナンナン,ナンナン
EX	名詞,固有名詞,一般,*,*,*,EX,EX,EX
しりもち	名詞,一般,*,*,*,*,しりもち,シリモチ,シリモチ
こうてい	名詞,固有名詞,一般,*,*,*,こうてい,コウテイ,コウテイ
ぐれん	名詞,一般,*,*,*,*,ぐれん,グレン,グレン
なすび	名詞,一般,*,*,*,*,なすび,ナスビ,ナスビ
てごき	名詞,一般,*,*,*,*,てごき,テゴキ,テゴキ
ごもく	名詞,一般,*,*,*,*,ごもく,ゴモク,ゴモク
パンドラ	名詞,固有名詞,一般,*,*,*,パンドラ,パンドラ,パンドラ
マッサン	名詞,固有名詞,一般,*,*,*,マッサン,マッサン,マッサン
アカドラ	名詞,固有名詞,一般,*,*,*,アカドラ,アカドラ,アカドラ
カシワッチャ	名詞,固有名詞,一般,*,*,*,カシワッチャ,カシワッチャ,カシワッチャ
勲禄	名詞,一般,*,*,*,*,勲禄,勲禄,勲禄
といたり	名詞,固有名詞,一般,*,*,*,といたり,トイタリ,トイタリ
といたに	名詞,固有名詞,一般,*,*,*,といたに,トイタニ,トイタニ
ドッグフード	名詞,一般,*,*,*,*,ドッグフード,ドッグフード,ドッグフード
キャット	名詞,一般,*,*,*,*,キャット,キャット,キャット
ドッグ	名詞,一般,*,*,*,*,ドッグ,ドッグ,ドッグ
スピーラー	名詞,固有名詞,一般,*,*,*,スピーラー,スピーラー,スピーラー
フェードアウト	名詞,一般,*,*,*,*,フェードアウト,フェードアウト,フェードアウト
アコギ	名詞,一般,*,*,*,*,アコギ,アコギ,アコギ
ロケットダイブ	名詞,一般,*,*,*,*,ロケットダイブ,ロケットダイブ,ロケットダイブ
hide	名詞,一般,*,*,*,*,hide,hide,hide
ガラ	名詞,一般,*,*,*,*,ガラ,ガラ,ガラ
千国線	名詞,固有名詞,一般,*,*,*,千国線,千国線,千国線
ワンナイトラブ	名詞,固有名詞,一般,*,*,*,ワンナイトラブ,ワンナイトラブ,ワンナイトラブ
メエー	名詞,固有名詞,一般,*,*,*,メエー,メエー,メエー
ボルビック	名詞,固有名詞,一般,*,*,*,ボルビック,ボルビック,ボルビック
プチホラー	名詞,一般,*,*,*,*,プチホラー,プチホラー,プチホラー
ヅラ	名詞,固有名詞,一般,*,*,*,ヅラ,ヅラ,ヅラ
キルビル	名詞,固有名詞,一般,*,*,*,キルビル,キルビル,キルビル
シュファー	名詞,固有名詞,一般,*,*,*,シュファー,シュファー,シュファー
レゴ	名詞,一般,*,*,*,*,レゴ,レゴ,レゴ
あつし	名詞,固有名詞,人名,名,*,*,あつし,アツシ,アツシ
あいうえお	名詞,一般,*,*,*,*,あいうえお,アイウエオ,アイウエオ
LDK	名詞,一般,*,*,*,*,LDK,LDK,LDK
タイタニック	名詞,固有名詞,一般,*,*,*,タイタニック,タイタニック,タイタニック
